"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SADBL","2022-05-05","343.5","352.9","335","338","-3.57","62662"
"SADBL","2022-05-04","357","361","349","350.5","-2.04","19649"
"SADBL","2022-05-02","360.1","364","351.1","357.8","-2.51","31530"
"SADBL","2022-04-28","377","380","366.2","367","-2.39","28182"
"SADBL","2022-04-27","365","377","363","376","2.70","18040"
"SADBL","2022-04-26","371","376","365","366.1","-1.32","18831"
"SADBL","2022-04-25","389.6","389.6","370","371","-2.88","46884"
"SADBL","2022-04-24","367","395.7","360","382","6.11","50838"
"SADBL","2022-04-21","350.5","368","346.5","360","1.12","24780"
"SADBL","2022-04-20","370","370","352","356","-3.52","25800"
"SADBL","2022-04-19","376.2","379","362.1","369","0.03","30632"
"SADBL","2022-04-18","371","375","364","368.9","-2.15","35075"
"SADBL","2022-04-17","385","386.2","372.4","377","-0.53","14327"
"SADBL","2022-04-13","376.9","391","373","379","0.56","20909"
"SADBL","2022-04-12","372.5","384","372.2","376.9","-0.03","21609"
"SADBL","2022-04-11","391","396.8","376","377","-1.82","45826"
"SADBL","2022-04-07","385.1","392.8","378","384","1.69","31360"
"SADBL","2022-04-06","378","387","376","377.6","-1.15","26930"
"SADBL","2022-04-05","380.2","385","375","382","-0.91","41823"
"SADBL","2022-04-04","382","397.5","379","385.5","-0.05","29620"
"SADBL","2022-04-03","391","397","384","385.7","-2.11","33346"
"SADBL","2022-03-31","407","407","392.1","394","-1.75","35497"
"SADBL","2022-03-30","388","405","386.2","401","3.35","35782"
"SADBL","2022-03-29","388","395.1","384","388","0.00","22969"
"SADBL","2022-03-28","388","396.7","382.1","388","-1.75","55212"
"SADBL","2022-03-27","419","419","392","394.9","-4.38","60275"
"SADBL","2022-03-24","416","418","408","413","-1.20","60613"
"SADBL","2022-03-23","414.1","421","411.3","418","-0.24","76874"
"SADBL","2022-03-22","415","422.9","407","419","2.44","176568"
"SADBL","2022-03-21","393","412.8","392","409","4.87","81314"
"SADBL","2022-03-20","400","400.1","388.3","390","-2.16","47952"
"SADBL","2022-03-16","409","409","397","398.6","-0.60","52175"
"SADBL","2022-03-15","393","407.9","386","401","2.04","181829"
"SADBL","2022-03-14","383","397.2","380.3","393","1.29","46719"
"SADBL","2022-03-13","379.5","394","375","388","3.74","73745"
"SADBL","2022-03-10","352","374.9","350.1","374","5.35","37303"
"SADBL","2022-03-09","370","372","353.6","355","-2.20","25596"
"SADBL","2022-03-07","373","374","363","363","-0.82","26292"
"SADBL","2022-03-06","369","374.9","360","366","0.97","34144"
"SADBL","2022-03-02","380","380","362.5","362.5","-3.33","42606"
"SADBL","2022-02-28","387","387.6","368","375","-1.32","32975"
"SADBL","2022-02-27","389.6","392","375","380","-0.52","35304"
"SADBL","2022-02-24","391.5","391.5","378.3","382","-2.55","39755"
"SADBL","2022-02-23","397","403","390.9","392","-1.26","29027"
"SADBL","2022-02-22","388","402","388","397","1.79","34329"
"SADBL","2022-02-21","395.7","395.7","388.1","390","0.52","25811"
"SADBL","2022-02-20","390.1","396.5","383","388","-2.51","43585"
"SADBL","2022-02-17","397","400","396","398","0.25","23349"
"SADBL","2022-02-16","410","410.8","396","397","-2.46","43432"
"SADBL","2022-02-15","400","407","396.1","407","3.30","24641"
"SADBL","2022-02-14","402","410","390.2","394","-0.13","34342"
"SADBL","2022-02-13","402","402","388","394.5","-3.78","83125"
"SADBL","2022-02-10","418.9","420","407.3","410","-0.73","43850"
"SADBL","2022-02-09","416","420","402","413","-0.48","63791"
"SADBL","2022-02-08","429.4","437.9","414","415","0.00","72039"
"SADBL","2022-02-07","421","430","420","421","0.00","42801"
"SADBL","2022-02-06","418.8","430","418.8","421","-1.41","68814"
"SADBL","2022-02-03","436","443","426","427","-0.33","96366"
"SADBL","2022-02-01","423","433.4","420","428.4","1.28","81330"
"SADBL","2022-01-31","444","444","423","423","-2.98","81066"
