"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SAEF","2022-05-05","12.95","12.95","12.6","12.75","-1.62","59850"
"SAEF","2022-05-04","13.1","13.1","12.85","12.96","-0.99","220693"
"SAEF","2022-05-02","13.28","13.28","12.95","13.09","0.08","18300"
"SAEF","2022-04-28","13.12","13.12","12.86","13.08","1.63","177875"
"SAEF","2022-04-27","13.2","13.32","12.87","12.87","-3.88","40320"
"SAEF","2022-04-26","13.1","13.39","13.1","13.39","0.68","2010"
"SAEF","2022-04-25","13.2","13.3","13.2","13.3","0.38","3400"
"SAEF","2022-04-24","13.1","13.25","12.94","13.25","2.32","44100"
"SAEF","2022-04-21","12.9","12.95","12.56","12.95","1.81","71050"
"SAEF","2022-04-20","12.73","12.88","12.7","12.72","-1.09","87000"
"SAEF","2022-04-19","12.95","12.95","12.8","12.86","0.08","21600"
"SAEF","2022-04-18","13","13","12.8","12.85","-1.15","7200"
"SAEF","2022-04-17","12.85","13.14","12.85","13","-0.61","10100"
"SAEF","2022-04-13","12.75","13.08","12.75","13.08","1.32","41350"
"SAEF","2022-04-12","13","13","12.86","12.91","-1.60","26400"
"SAEF","2022-04-11","13.23","13.23","13.12","13.12","-2.81","3700"
"SAEF","2022-04-07","12.82","13.5","12.82","13.5","3.85","17530"
"SAEF","2022-04-06","13.01","13.25","12.91","13","-1.89","108850"
"SAEF","2022-04-05","13.24","13.26","13.18","13.25","-1.78","114200"
"SAEF","2022-04-04","13.34","13.54","13.33","13.49","-0.52","102174"
"SAEF","2022-04-03","13.6","13.6","13.45","13.56","-0.07","57825"
"SAEF","2022-03-31","13.32","13.57","13.32","13.57","0.89","18000"
"SAEF","2022-03-30","13.26","13.5","13.26","13.45","0.37","7400"
"SAEF","2022-03-29","13.45","13.5","13.4","13.4","-0.74","73000"
"SAEF","2022-03-28","13.52","13.6","13.5","13.5","0.00","73100"
"SAEF","2022-03-27","13.51","13.88","13.5","13.5","-1.39","22400"
"SAEF","2022-03-24","13.51","13.69","13.35","13.69","0.59","44500"
"SAEF","2022-03-23","13.6","13.69","13.6","13.61","0.07","31264"
"SAEF","2022-03-22","13.4","13.7","13.4","13.6","1.72","46350"
"SAEF","2022-03-21","13.55","13.68","13.35","13.37","0.22","50700"
"SAEF","2022-03-20","13.39","13.39","13.25","13.34","1.29","3207"
"SAEF","2022-03-16","13.02","13.36","13.02","13.17","-0.53","13700"
"SAEF","2022-03-15","13.26","13.4","13.23","13.24","-1.85","117538"
"SAEF","2022-03-14","13.25","13.49","13.25","13.49","-0.22","13500"
"SAEF","2022-03-13","12.81","13.52","12.81","13.52","4.00","128795"
"SAEF","2022-03-10","12.82","13","12.82","13","1.48","4500"
"SAEF","2022-03-09","12.92","12.92","12.81","12.81","-0.70","15300"
"SAEF","2022-03-07","12.78","12.91","12.78","12.9","0.86","79900"
"SAEF","2022-03-06","12.8","12.9","12.79","12.79","-0.70","75400"
"SAEF","2022-03-02","13.1","13.15","12.87","12.88","-1.75","169762"
"SAEF","2022-02-28","13.23","13.32","13.09","13.11","-1.80","162828"
"SAEF","2022-02-27","13.22","13.45","13.2","13.35","-0.60","75565"
