"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SAHAS","2022-05-05","505","522","502","507","-0.78","16838"
"SAHAS","2022-05-04","512.1","530","510","511","-2.11","20203"
"SAHAS","2022-05-02","545.8","555","521.1","522","-6.27","20430"
"SAHAS","2022-04-28","555","580","555","556.9","-0.91","24675"
"SAHAS","2022-04-27","539","565","539","562","2.74","27402"
"SAHAS","2022-04-26","542","564","535.1","547","-1.08","7800"
"SAHAS","2022-04-25","575","575","548.8","553","-2.81","30096"
"SAHAS","2022-04-24","533","575","533","569","6.73","19968"
"SAHAS","2022-04-21","520","540","512","533.1","0.58","13030"
"SAHAS","2022-04-20","540","553","528","530","-3.46","16860"
"SAHAS","2022-04-19","550","566","541","549","-0.18","10862"
"SAHAS","2022-04-18","567.2","575","550","550","-3.03","17393"
"SAHAS","2022-04-17","595","595","567","567.2","-4.19","33719"
"SAHAS","2022-04-13","572","593","565","592","3.50","19205"
"SAHAS","2022-04-12","575","585","571","572","-2.22","17615"
"SAHAS","2022-04-11","606.9","615","585","585","-1.68","30470"
"SAHAS","2022-04-07","583","610","583","595","0.32","30004"
"SAHAS","2022-04-06","594","604.9","583","593.1","0.00","13404"
"SAHAS","2022-04-05","594","602","587.1","593.1","-1.80","35236"
"SAHAS","2022-04-04","602","613","602","604","-0.98","18906"
"SAHAS","2022-04-03","602","615","602","610","-0.02","13321"
"SAHAS","2022-03-31","620","632","610.1","610.1","-1.60","18745"
"SAHAS","2022-03-30","605","624","605","620","1.96","15281"
"SAHAS","2022-03-29","610","619","600.1","608.1","-0.31","17194"
"SAHAS","2022-03-28","607","620","600.2","610","0.28","29475"
"SAHAS","2022-03-27","615.1","629","608","608.3","-2.98","31294"
"SAHAS","2022-03-24","627","640","626.5","627","-1.72","18812"
"SAHAS","2022-03-23","632.1","642","632.1","638","-1.09","15415"
"SAHAS","2022-03-22","621.5","656","621.5","645","1.74","51779"
"SAHAS","2022-03-21","600","641","600","634","3.93","33593"
"SAHAS","2022-03-20","620","625","608","610","-0.81","23212"
"SAHAS","2022-03-16","627.3","638","615","615","-1.96","34061"
"SAHAS","2022-03-15","637","642","626","627.3","-1.55","29790"
"SAHAS","2022-03-14","650","650","632.5","637.2","-1.67","12016"
"SAHAS","2022-03-13","639.9","650","625","648","3.18","37429"
"SAHAS","2022-03-10","594","630","591","628","5.55","36156"
"SAHAS","2022-03-09","610","617","595","595","-2.46","30491"
"SAHAS","2022-03-07","627","627","608","610","-0.81","22758"
"SAHAS","2022-03-06","612.5","634","603","615","-1.60","42341"
"SAHAS","2022-03-02","650","650","620","625","-2.37","58139"
"SAHAS","2022-02-28","684","694","640.1","640.2","-4.59","64135"
"SAHAS","2022-02-27","674","685","651.9","671","0.87","44118"
"SAHAS","2022-02-24","673","690","660","665.2","-3.03","66226"
"SAHAS","2022-02-23","690","700","681","686","-0.87","37756"
"SAHAS","2022-02-22","703.8","715","690","692","0.29","103869"
"SAHAS","2022-02-21","638","695","638","690","6.12","88463"
"SAHAS","2022-02-20","648","681","625","650.2","-1.48","69901"
"SAHAS","2022-02-17","648.1","675","648.1","660","0.00","29969"
"SAHAS","2022-02-16","675","684","651","660","-2.22","39735"
"SAHAS","2022-02-15","635","678","635","675","5.52","31341"
"SAHAS","2022-02-14","629","648","629","639.7","1.54","37280"
"SAHAS","2022-02-13","660","661","625","630","-6.44","95498"
"SAHAS","2022-02-10","689","693","671","673.4","-2.26","51427"
"SAHAS","2022-02-09","690","700","676","689","0.00","50041"
"SAHAS","2022-02-08","714","734","682.1","689","0.00","81890"
"SAHAS","2022-02-07","734.4","734.4","700","701","-2.64","101453"
"SAHAS","2022-02-06","698","734","680","720","2.86","169085"
"SAHAS","2022-02-03","673.2","726","673.2","700","6.06","243194"
"SAHAS","2022-02-01","626","664.9","615","660","5.45","99983"
"SAHAS","2022-01-31","632","632","610.3","625.9","0.95","40002"
"SAHAS","2022-01-30","590","620","590","620","7.08","54130"
"SAHAS","2022-01-27","585","593","567.5","579","0.64","19650"
"SAHAS","2022-01-26","584","597","570","575.3","-1.49","37192"
"SAHAS","2022-01-25","590","604","584","584","-2.01","45434"
"SAHAS","2022-01-24","630","634","585","596","-4.49","61455"
"SAHAS","2022-01-23","640","650","624","624","-1.34","28508"
"SAHAS","2022-01-20","615.1","636","615.1","632.5","1.20","44219"
"SAHAS","2022-01-19","635","650","621.2","625","-3.10","39319"
"SAHAS","2022-01-18","650","663","636","645","-0.92","39260"
"SAHAS","2022-01-17","648","660","637","651","0.46","50062"
"SAHAS","2022-01-16","651","675","645","648","-0.46","73826"
"SAHAS","2022-01-13","630","662","630","651","2.84","49360"
"SAHAS","2022-01-12","640","680","630","633","-1.09","69261"
"SAHAS","2022-01-11","639","659.9","628","640","-0.16","55114"
"SAHAS","2022-01-10","626","652.8","618.1","641","2.40","98654"
"SAHAS","2022-01-09","610","655.8","610","626","3.13","70612"
"SAHAS","2022-01-06","570","608","569","607","4.66","67178"
"SAHAS","2022-01-05","565","608","560.6","580","2.47","69522"
"SAHAS","2022-01-04","541","568","536","566","4.04","27443"
"SAHAS","2022-01-03","545","559","539","544","-0.91","46593"
"SAHAS","2022-01-02","540","565","534.2","549","0.73","15457"
"SAHAS","2021-12-29","537","548","530","545","1.49","16170"
"SAHAS","2021-12-28","523","540","515","537","0.71","21213"
"SAHAS","2021-12-27","555","564","530","533.2","-4.27","50149"
"SAHAS","2021-12-26","551","572","542.1","557","1.09","27500"
"SAHAS","2021-12-23","565","571.5","540.2","551","-1.41","41614"
"SAHAS","2021-12-22","522.6","560","522.6","558.9","4.82","25566"
"SAHAS","2021-12-21","514.1","540","514.1","533.2","1.66","23307"
"SAHAS","2021-12-20","530","545.2","514","524.5","-2.87","18596"
"SAHAS","2021-12-16","548","570","523","540","-1.46","36059"
"SAHAS","2021-12-15","566","600","545","548","-2.66","30603"
"SAHAS","2021-12-14","505","564","505","563","9.75","14615"
"SAHAS","2021-12-13","535","542","500","513","-5.87","38196"
"SAHAS","2021-12-12","570.1","584.6","545","545","-6.20","39265"
"SAHAS","2021-12-09","595","619","572","581","-2.35","44125"
"SAHAS","2021-12-08","622.3","634","594","595","-6.30","31289"
"SAHAS","2021-12-07","661","673.9","616.2","635","-2.16","59575"
"SAHAS","2021-12-06","591","649","575","649","8.17","55590"
"SAHAS","2021-12-05","608","618","592","600","-3.23","41265"
"SAHAS","2021-12-02","648","653","616.6","620","-4.47","38173"
"SAHAS","2021-12-01","636.1","666.6","636.1","649","0.00","24083"
"SAHAS","2021-11-30","655","678.3","640","649","-1.37","42982"
"SAHAS","2021-11-29","675","683","655","658","-3.52","59294"
"SAHAS","2021-11-28","692","704","679","682","-3.40","61690"
"SAHAS","2021-11-25","716","730","705","706","-1.40","36247"
