"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SAND2085","2022-04-27","985","985","985","985","-1.95","50"
"SAND2085","2022-04-25","1004.6","1004.6","1004.6","1004.6","-2.00","150"
"SAND2085","2022-01-12","1025.1","1025.1","1025.1","1025.1","2.00","50"
"SAND2085","2022-01-05","1005","1005","1005","1005","-1.37","25"
"SAND2085","2021-12-27","1020","1020","1019","1019","0.00","250"
"SAND2085","2021-12-23","1019","1019","1019","1019","0.00","75"
"SAND2085","2021-12-20","1019","1019","1019","1019","0.00","25"
"SAND2085","2021-12-08","1019","1019","1019","1019","-0.05","100"
"SAND2085","2021-12-07","1019.5","1019.5","1019.5","1019.5","0.00","200"
"SAND2085","2021-11-25","1019.5","1019.5","1019.5","1019.5","0.00","25"
"SAND2085","2021-11-17","1019.5","1019.5","1019.5","1019.5","1.99","175"
"SAND2085","2021-11-16","999.6","999.6","999.6","999.6","-0.14","25"
"SAND2085","2021-11-15","1001","1001","1001","1001","-0.40","25"
"SAND2085","2021-11-14","1001","1005","1001","1005","-0.10","50"
"SAND2085","2021-11-11","1006","1006","1006","1006","0.00","25"
"SAND2085","2021-11-09","1005","1006","1000.1","1006","0.09","200"
"SAND2085","2021-11-08","1021","1021","1005.1","1005.1","-1.46","50"
"SAND2085","2021-10-27","1020","1020","1020","1020","2.00","50"
"SAND2085","2021-10-26","1000","1000","1000","1000","-1.96","25"
"SAND2085","2021-10-10","1020","1020","1020","1020","-0.49","25"
"SAND2085","2021-10-05","1025","1025","1025","1025","0.49","25"
"SAND2085","2021-10-04","1020","1020","1020","1020","-1.45","25"
"SAND2085","2021-10-03","1035","1035","1035","1035","0.00","150"
"SAND2085","2021-09-29","1035","1035","1035","1035","0.00","890"
"SAND2085","2021-09-23","1035","1035","1035","1035","0.00","50"
"SAND2085","2021-09-20","1030","1035","1030","1035","0.19","75"
"SAND2085","2021-09-16","1026","1033","1026","1033","0.77","765"
"SAND2085","2021-09-14","1026","1026","1025.1","1025.1","-1.43","100"
"SAND2085","2021-09-13","1050","1050","1040","1040","-0.95","50"
"SAND2085","2021-09-12","1050","1050","1050","1050","0.10","130"
"SAND2085","2021-09-09","1049","1049","1049","1049","0.00","25"
"SAND2085","2021-09-08","1049","1049","1049","1049","-0.10","60"
"SAND2085","2021-09-06","1050","1050","1050","1050","0.00","75"
"SAND2085","2021-09-05","1050","1050","1050","1050","0.00","100"
"SAND2085","2021-09-02","1050","1050","1050","1050","0.00","416"
"SAND2085","2021-09-01","1049","1070","1049","1050","0.00","180"
"SAND2085","2021-08-31","1049","1050","1049","1050","1.55","215"
"SAND2085","2021-08-26","1055","1055","1034","1034","-1.99","200"
"SAND2085","2021-08-25","1055","1055","1055","1055","0.75","340"
"SAND2085","2021-08-19","1047.1","1047.1","1047.1","1047.1","0.00","175"
"SAND2085","2021-08-18","1047.1","1047.1","1047.1","1047.1","0.00","80"
"SAND2085","2021-08-16","1047.1","1047.1","1047.1","1047.1","0.01","75"
"SAND2085","2021-08-15","1046","1050","1046","1047","-0.29","125"
"SAND2085","2021-08-12","1055","1050","1050","1050","-0.47","75"
"SAND2085","2021-08-09","1055","1055","1055","1055","0.00","50"
"SAND2085","2021-08-08","1046","1055","1046","1055","0.95","75"
"SAND2085","2021-08-05","1045.1","1045.1","1045.1","1045.1","-0.02","50"
"SAND2085","2021-08-04","1045.2","1045.3","1045.2","1045.3","0.01","75"
"SAND2085","2021-08-03","1045","1045.2","1045","1045.2","0.02","175"
"SAND2085","2021-08-02","1029.1","1045","1029.1","1045","1.55","225"
"SAND2085","2021-08-01","1029","1029","1029","1029","-2.00","25"
"SAND2085","2021-07-29","1050","1050","1050","1050","0.00","25"
"SAND2085","2021-07-28","1050","1050","1050","1050","0.00","100"
"SAND2085","2021-07-27","1067.1","1067.1","1050","1050","-1.60","480"
"SAND2085","2021-07-26","1067.1","1067.1","1067.1","1067.1","0.00","25"
"SAND2085","2021-07-25","1067.1","1067.1","1067.1","1067.1","-1.99","524"
"SAND2085","2021-07-20","1088.8","1088.8","1088.8","1088.8","-2.00","710"
"SAND2085","2021-07-13","1069","1111","1069","1111","5.91","165"
"SAND2085","2021-07-12","1045","1049","1045","1049","0.58","75"
"SAND2085","2021-07-07","1035","1043","1035","1043","-0.67","525"
"SAND2085","2021-07-06","1050","1050","1050","1050","-0.47","25"
"SAND2085","2021-07-05","1055","1055","1055","1055","0.00","25"
"SAND2085","2021-07-04","1055","1055","1055","1055","0.00","25"
"SAND2085","2021-07-01","1055","1055","1055","1055","-0.94","50"
"SAND2085","2021-06-30","1045","1065","1045","1065","0.85","275"
"SAND2085","2021-06-28","1056","1056","1056","1056","0.09","25"
"SAND2085","2021-06-22","1045","1055","1045","1055","0.48","100"
"SAND2085","2021-06-20","1050","1050","1050","1050","-1.41","25"
"SAND2085","2021-06-17","1065","1065","1065","1065","0.38","25"
"SAND2085","2021-06-16","1061","1061","1061","1061","0.00","100"
"SAND2085","2021-06-15","1060","1061","1060","1061","0.09","50"
"SAND2085","2021-06-14","1057","1060","1057","1060","-0.19","100"
"SAND2085","2021-06-13","1033","1062","1033","1062","1.05","175"
"SAND2085","2021-06-10","1050","1051","1050","1051","0.10","75"
"SAND2085","2021-06-09","1050","1050","1032","1050","0.00","99"
"SAND2085","2021-06-08","1050","1060","1050","1050","0.00","175"
"SAND2085","2021-06-07","1050","1050","1050","1050","-0.19","25"
"SAND2085","2021-06-06","1050","1052","1050","1052","-0.75","50"
"SAND2085","2021-06-03","1040","1060","1040","1060","0.76","50"
"SAND2085","2021-06-02","1052","1052","1052","1052","0.00","125"
"SAND2085","2021-06-01","1053","1052","1052","1052","-0.09","15"
"SAND2085","2021-05-31","1060","1060","1053","1053","0.29","150"
"SAND2085","2021-05-30","1055","1055","1050","1050","0.00","125"
"SAND2085","2021-05-27","1050","1050","1050","1050","0.00","50"
"SAND2085","2021-05-25","1050","1050","1050","1050","-0.10","25"
"SAND2085","2021-05-24","1052","1052","1051","1051","-0.10","60"
"SAND2085","2021-05-20","1040","1052","1040","1052","0.19","60"
"SAND2085","2021-05-19","1042","1050","1042","1050","0.86","75"
"SAND2085","2021-05-17","1040","1050","1040","1041","-0.76","175"
"SAND2085","2021-05-16","1029","1049","1029","1049","0.19","50"
"SAND2085","2021-05-12","1047","1047","1047","1047","0.00","25"
"SAND2085","2021-05-11","1047","1047","1047","1047","0.00","100"
"SAND2085","2021-05-09","1047","1047","1047","1047","0.00","25"
"SAND2085","2021-05-06","1047","1047","1047","1047","0.10","25"
"SAND2085","2021-05-04","1048","1048","1046","1046","0.00","75"
"SAND2085","2021-05-03","1040","1046","1040","1046","-1.41","50"
"SAND2085","2021-05-02","1061","1061","1061","1061","0.00","50"
"SAND2085","2021-04-29","1061","1061","1061","1061","0.00","630"
"SAND2085","2021-04-28","1061","1061","1061","1061","0.00","500"
