"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SAPDBL","2022-05-05","255","265","252.1","255","-1.96","6995"
"SAPDBL","2022-05-04","270","276","259","260.1","-5.38","4961"
"SAPDBL","2022-05-02","280","280","270","274.9","-3.54","5203"
"SAPDBL","2022-04-28","295","306.9","285","285","-3.06","6651"
"SAPDBL","2022-04-27","283.5","306","283.1","294","1.66","3209"
"SAPDBL","2022-04-26","297","298","289","289.2","-1.63","4498"
"SAPDBL","2022-04-25","309","315.1","292.2","294","-3.29","12065"
"SAPDBL","2022-04-24","283","306.2","280","304","9.20","10782"
"SAPDBL","2022-04-21","274","278.4","259","278.4","1.61","7843"
"SAPDBL","2022-04-20","288","288","268","274","-4.53","5932"
"SAPDBL","2022-04-19","280","292","274.4","287","2.50","8024"
"SAPDBL","2022-04-18","299","300","271.9","280","-5.72","6311"
"SAPDBL","2022-04-17","300","304.8","292","297","-1.66","4984"
"SAPDBL","2022-04-13","297","308","297","302","1.41","6927"
"SAPDBL","2022-04-12","300","300","290.2","297.8","-1.06","8736"
"SAPDBL","2022-04-11","317.2","318","301","301","-3.22","15603"
"SAPDBL","2022-04-07","316","321.3","304.1","311","0.32","10992"
"SAPDBL","2022-04-06","308","315","304","310","0.65","12880"
"SAPDBL","2022-04-05","313","314","303.6","308","-1.60","11683"
"SAPDBL","2022-04-04","315","322","312","313","-0.95","2123"
"SAPDBL","2022-04-03","318","318","312","316","-0.63","4013"
"SAPDBL","2022-03-31","330","334","318","318","-4.22","8473"
"SAPDBL","2022-03-30","315","332","315","332","6.07","10476"
"SAPDBL","2022-03-29","321","322.5","312.5","313","-1.45","5625"
"SAPDBL","2022-03-28","330","330","317.6","317.6","-3.76","13836"
"SAPDBL","2022-03-27","333","333.9","324","330","-1.17","13522"
"SAPDBL","2022-03-24","338","343.5","333.6","333.9","-2.94","12275"
"SAPDBL","2022-03-23","345.1","352","338.2","344","-1.99","15535"
"SAPDBL","2022-03-22","360","360.9","350.1","351","-0.82","15464"
"SAPDBL","2022-03-21","351","354","347","353.9","2.58","23735"
"SAPDBL","2022-03-20","330","346","330","345","4.48","14784"
"SAPDBL","2022-03-16","332.2","337","330.2","330.2","-2.02","8461"
"SAPDBL","2022-03-15","338","338","331","337","-0.30","28140"
"SAPDBL","2022-03-14","347","348","330","338","-2.59","9242"
"SAPDBL","2022-03-13","335.5","348.7","330","347","5.47","23362"
"SAPDBL","2022-03-10","311","329","303","329","7.87","23582"
"SAPDBL","2022-03-09","310.1","312","298.9","305","-3.17","11685"
"SAPDBL","2022-03-07","314","320","311","315","0.00","8531"
"SAPDBL","2022-03-06","320","325","315","315","0.32","9334"
"SAPDBL","2022-03-02","321.1","321.1","313","314","-3.38","14188"
"SAPDBL","2022-02-28","341","345","323.4","325","-2.99","8352"
"SAPDBL","2022-02-27","335","350","335","335","-0.03","6646"
"SAPDBL","2022-02-24","340","341","335","335.1","-2.87","10850"
"SAPDBL","2022-02-23","353","353","343","345","-0.72","6467"
"SAPDBL","2022-02-22","346","358.9","346","347.5","0.14","10386"
"SAPDBL","2022-02-21","345.1","358","343.5","347","0.58","7578"
"SAPDBL","2022-02-20","341.1","349","340","345","-0.86","15769"
"SAPDBL","2022-02-17","351","360","345","348","-1.44","7005"
"SAPDBL","2022-02-16","360","368","352.8","353.1","-2.43","12482"
"SAPDBL","2022-02-15","345","366","345","361.9","4.93","14698"
"SAPDBL","2022-02-14","336","350","336","344.9","2.56","25189"
"SAPDBL","2022-02-13","346","346","335","336.3","-4.73","31820"
"SAPDBL","2022-02-10","357","357","348.9","353","-0.56","9430"
"SAPDBL","2022-02-09","360","361","353","355","-3.27","14008"
"SAPDBL","2022-02-08","373.3","387","358.3","367","0.00","29264"
"SAPDBL","2022-02-07","354","366","354","366","1.39","13092"
"SAPDBL","2022-02-06","360","361","350.1","361","-0.55","18230"
"SAPDBL","2022-02-03","377","382.9","362.6","363","-1.89","42159"
"SAPDBL","2022-02-01","360","374","356","370","1.09","26984"
"SAPDBL","2022-01-31","378","378","360","366","-1.61","26458"
"SAPDBL","2022-01-30","352","373.4","352","372","7.79","42354"
"SAPDBL","2022-01-27","361","366","343","345.1","-4.14","29440"
"SAPDBL","2022-01-26","360","364","350","360","-1.37","22469"
"SAPDBL","2022-01-25","364","372","350","365","0.16","26508"
"SAPDBL","2022-01-24","383","383","360","364.4","-4.86","33759"
"SAPDBL","2022-01-23","400.8","408","382.1","383","-2.54","20374"
"SAPDBL","2022-01-20","382","393.5","378.3","393","1.81","21100"
"SAPDBL","2022-01-19","390","399","373.1","386","-1.03","28809"
"SAPDBL","2022-01-18","400","401","386","390","-2.96","22411"
"SAPDBL","2022-01-17","400","410","388","401.9","0.47","44134"
"SAPDBL","2022-01-16","391.6","405","384","400","4.17","57926"
"SAPDBL","2022-01-13","372","385","370","384","3.23","19904"
"SAPDBL","2022-01-12","387","392.7","370.7","372","-3.88","59126"
"SAPDBL","2022-01-11","375","390","373","387","3.75","46816"
"SAPDBL","2022-01-10","373.8","395","371","373","-2.18","25131"
"SAPDBL","2022-01-09","360.1","381.3","360.1","381.3","5.92","37432"
"SAPDBL","2022-01-06","354.8","365","347.8","360","-0.55","15440"
"SAPDBL","2022-01-05","359","378","343","362","0.95","33791"
"SAPDBL","2022-01-04","326","358.6","315","358.6","10.00","59731"
"SAPDBL","2022-01-03","308","326","300","326","6.89","39111"
"SAPDBL","2022-01-02","300.7","308","294.7","305","-0.59","21914"
"SAPDBL","2021-12-29","306","310","303","306.8","2.27","5399"
"SAPDBL","2021-12-28","301.9","311","300","300","-2.60","14849"
"SAPDBL","2021-12-27","326","326","308","308","-3.75","10882"
"SAPDBL","2021-12-26","318","325","316.6","320","0.95","11035"
"SAPDBL","2021-12-23","325","327.4","317","317","-1.83","18632"
"SAPDBL","2021-12-22","312","323","312","322.9","5.52","13064"
"SAPDBL","2021-12-21","306","312","303.2","306","2.00","8843"
"SAPDBL","2021-12-20","296","305","290","300","-0.63","3698"
"SAPDBL","2021-12-16","324","324","301.9","301.9","-5.06","11197"
"SAPDBL","2021-12-15","316.4","339","306.8","318","2.51","31812"
"SAPDBL","2021-12-14","287.6","310.2","287.6","310.2","10.00","11570"
"SAPDBL","2021-12-13","305","306","279","282","-8.14","25289"
"SAPDBL","2021-12-12","332.3","339","305","307","-7.81","12581"
"SAPDBL","2021-12-09","325.9","340","320","333","0.15","21432"
"SAPDBL","2021-12-08","344","344","328.3","332.5","-3.34","15052"
"SAPDBL","2021-12-07","368","373","342.1","344","-4.71","15081"
"SAPDBL","2021-12-06","350","364.1","316","361","4.64","29708"
"SAPDBL","2021-12-05","364","364.4","345","345","-5.99","13683"
"SAPDBL","2021-12-02","369","383.8","366","367","-2.47","11255"
"SAPDBL","2021-12-01","386.4","388.6","376.3","376.3","-0.71","6923"
"SAPDBL","2021-11-30","384.5","384.5","373.2","379","-0.26","7760"
"SAPDBL","2021-11-29","377","391","377","380","0.80","8551"
"SAPDBL","2021-11-28","383.3","388","373","377","-3.61","27086"
"SAPDBL","2021-11-25","398.8","405","390.1","391.1","0.03","16619"
"SAPDBL","2021-11-24","388","403.4","378","391","0.77","17614"
"SAPDBL","2021-11-23","391","397.9","384","388","-1.27","18138"
"SAPDBL","2021-11-22","395","410","393","393","0.00","18447"
