"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SBBLJ","2019-07-07","196","197","196","197","2.07","245"
"SBBLJ","2019-07-04","193","193","193","193","0.00","55"
"SBBLJ","2019-07-03","193","193","192","193","0.00","1115"
"SBBLJ","2019-07-02","190","193","190","193","0.52","190"
"SBBLJ","2019-06-26","192","192","192","192","-1.54","30"
"SBBLJ","2019-06-25","195","195","195","195","-1.52","720"
"SBBLJ","2019-06-23","198","198","198","198","1.54","100"
"SBBLJ","2019-06-20","195","195","195","195","1.56","100"
"SBBLJ","2019-06-18","197","197","192","192","-3.03","962"
"SBBLJ","2019-06-17","198","198","198","198","1.54","11"
"SBBLJ","2019-06-16","195","195","195","195","0.52","500"
"SBBLJ","2019-06-13","191","194","191","194","0.52","1958"
"SBBLJ","2019-06-12","198","198","191","193","-3.98","2450"
"SBBLJ","2019-06-11","201","201","201","201","1.01","10"
"SBBLJ","2019-06-10","197","199","196","199","-0.50","1180"
"SBBLJ","2019-06-06","198","200","198","200","2.56","540"
"SBBLJ","2019-06-04","195","195","194","195","-1.52","730"
"SBBLJ","2019-06-02","201","201","198","198","0.00","110"
"SBBLJ","2019-05-30","206","206","198","198","-1.98","1536"
"SBBLJ","2019-05-29","195","202","195","202","3.06","133"
"SBBLJ","2019-05-28","196","196","196","196","-1.01","780"
"SBBLJ","2019-05-27","195","198","194","198","0.51","9310"
"SBBLJ","2019-05-26","198","201","196","197","-2.48","2850"
"SBBLJ","2019-05-23","202","202","202","202","-1.94","93"
"SBBLJ","2019-05-22","205","208","205","206","0.49","1100"
"SBBLJ","2019-05-21","201","205","200","205","0.49","2186"
"SBBLJ","2019-05-20","201","204","201","204","3.03","5270"
"SBBLJ","2019-05-19","199","199","198","198","-1.98","632"
"SBBLJ","2019-05-16","206","212","202","202","0.00","2295"
"SBBLJ","2019-05-15","195","202","195","202","3.59","5300"
"SBBLJ","2019-05-14","198","198","195","195","-2.99","2900"
"SBBLJ","2019-05-13","195","201","195","201","3.08","462"
"SBBLJ","2019-05-12","198","198","195","195","-3.47","600"
"SBBLJ","2019-05-09","200","202","200","202","2.54","165"
"SBBLJ","2019-05-08","200","200","197","197","-1.01","2711"
"SBBLJ","2019-05-07","197","199","196","199","2.05","1162"
"SBBLJ","2019-05-05","194","195","194","195","-0.51","2502"
"SBBLJ","2019-05-02","196","196","196","196","-1.01","848"
"SBBLJ","2019-04-30","199","202","198","198","1.02","4074"
"SBBLJ","2019-04-29","200","200","196","196","-3.45","310"
"SBBLJ","2019-04-28","205","209","203","203","-2.40","7855"
"SBBLJ","2019-04-25","210","210","201","208","0.00","1540"
"SBBLJ","2019-04-24","196","208","196","208","6.67","1364"
"SBBLJ","2019-04-23","195","195","195","195","-1.52","400"
"SBBLJ","2019-04-22","200","200","198","198","0.51","700"
"SBBLJ","2019-04-21","195","197","195","197","1.03","1200"
"SBBLJ","2019-04-18","194","199","194","195","-0.51","1299"
"SBBLJ","2019-04-17","198","196","196","196","-1.01","560"
