"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SBBLPO","2022-04-24","185","185","185","185","0.00","1000000"
"SBBLPO","2022-03-22","185","185","185","185","0.00","14918"
"SBBLPO","2022-03-02","185","185","185","185","0.00","5300"
"SBBLPO","2021-09-20","267.1","267.1","261.8","261.8","-3.93","235460"
"SBBLPO","2021-09-15","272.5","272.5","272.5","272.5","0.00","35000"
"SBBLPO","2020-10-14","180","180","180","180","0.00","100000"
"SBBLPO","2020-01-21","180","180","180","180","0.00","220000"
"SBBLPO","2020-01-12","180","180","180","180","-0.55","80000"
"SBBLPO","2019-05-12","180","181","181","181","0.00","913835"
"SBBLPO","2019-05-09","180","181","181","181","0.00","1805000"
"SBBLPO","2019-04-29","181","181","181","181","-1.63","700"
"SBBLPO","2018-08-13","170","170","170","170","0.00","20262"
"SBBLPO","2017-05-28","265","265","265","265","0.00","30"
"SBBLPO","2017-05-22","260","265","260","265","0.00","25956"
"SBBLPO","2017-04-10","265","265","265","265","-1.85","74170"
"SBBLPO","2016-06-06","450","450","450","450","0.00","132996"
"SBBLPO","2016-05-26","458","450","450","450","-1.75","69679"
"SBBLPO","2016-04-10","172","172","172","172","0.00","69679"
"SBBLPO","2014-06-23","164","172","172","172","4.88","1560"
"SBBLPO","2014-06-12","161","164","164","164","1.86","58440"
"SBBLPO","2014-06-09","158","161","161","161","1.90","40000"
"SBBLPO","2013-09-24","158","158","158","158","0.00","17214"
"SBBLPO","2013-02-25","151","158","158","158","4.64","200"
"SBBLPO","2013-02-20","149","151","151","151","1.34","62800"
"SBBLPO","2012-07-02","140","149","147","149","6.43","2000"
"SBBLPO","2012-06-27","130","140","136","140","7.69","4000"
"SBBLPO","2012-06-26","122","130","124","130","6.56","6000"
"SBBLPO","2012-06-06","115","122","120","122","6.09","3000"
"SBBLPO","2012-05-31","111","115","113","115","3.60","50000"
"SBBLPO","2012-05-24","109","111","111","111","1.83","65000"
"SBBLPO","2012-05-10","109","109","109","109","0.00","153000"
"SBBLPO","2012-05-09","115","113","109","109","-5.22","300000"
"SBBLPO","2012-05-07","127","121","115","115","-9.45","632000"
"SBBLPO","2012-05-03","129","127","127","127","-1.55","300"
"SBBLPO","2012-05-02","135","133","129","129","-4.44","300"
"SBBLPO","2012-04-29","149","147","135","135","-9.40","700"
"SBBLPO","2012-04-26","164","161","149","149","-9.15","500"
"SBBLPO","2012-04-24","275","167","164","164","-40.36","200"
