"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SBCF","2022-05-05","8.2","8.35","8.12","8.35","0.00","23933"
"SBCF","2022-05-04","8.11","8.35","7.95","8.35","0.97","7600"
"SBCF","2022-05-02","8.6","8.6","8.27","8.27","-2.71","31175"
"SBCF","2022-04-28","8.27","8.5","8.19","8.5","1.19","7600"
"SBCF","2022-04-27","8.19","8.4","8.11","8.4","0.60","10300"
"SBCF","2022-04-26","8.19","8.35","8.19","8.35","0.24","18370"
"SBCF","2022-04-25","8.29","8.45","8.29","8.33","-1.07","9350"
"SBCF","2022-04-24","8.44","8.6","8.13","8.42","1.69","46664"
"SBCF","2022-04-21","8.1","8.28","8.1","8.28","0.73","15875"
"SBCF","2022-04-20","8.19","8.47","8.05","8.22","0.37","18600"
"SBCF","2022-04-19","8.12","8.33","8.12","8.19","-0.12","4230"
"SBCF","2022-04-18","8.2","8.25","8.2","8.2","-1.56","20305"
"SBCF","2022-04-17","8.4","8.52","8.3","8.33","0.12","13450"
"SBCF","2022-04-13","8.27","8.42","8.27","8.32","-1.30","18900"
"SBCF","2022-04-12","8.17","8.49","8.17","8.43","1.20","8180"
"SBCF","2022-04-11","8.39","8.7","8.33","8.33","-2.57","45300"
"SBCF","2022-04-07","8.23","8.55","8.23","8.55","2.27","5920"
"SBCF","2022-04-06","8.4","8.45","8.36","8.36","-0.95","27480"
"SBCF","2022-04-05","8.4","8.72","8.4","8.44","-0.71","15001"
"SBCF","2022-04-04","8.53","8.7","8.5","8.5","-2.30","12700"
"SBCF","2022-04-03","8.53","8.87","8.53","8.7","0.00","2500"
"SBCF","2022-03-31","8.78","8.78","8.63","8.7","-2.79","7270"
"SBCF","2022-03-30","8.46","8.95","8.46","8.95","3.83","4100"
"SBCF","2022-03-29","8.5","8.95","8.5","8.62","-0.58","22200"
"SBCF","2022-03-28","8.78","8.8","8.66","8.67","0.58","9400"
"SBCF","2022-03-27","8.75","8.8","8.5","8.62","-3.15","34650"
"SBCF","2022-03-24","8.71","8.9","8.71","8.9","1.14","11400"
"SBCF","2022-03-23","8.68","8.99","8.68","8.8","-0.56","5750"
"SBCF","2022-03-22","8.7","8.89","8.7","8.85","-0.23","21582"
"SBCF","2022-03-21","8.63","8.88","8.63","8.87","1.37","4700"
"SBCF","2022-03-20","8.7","8.94","8.7","8.75","-1.13","12100"
"SBCF","2022-03-16","8.51","8.85","8.51","8.85","2.19","4500"
"SBCF","2022-03-15","8.93","8.97","8.65","8.66","-1.59","33600"
"SBCF","2022-03-14","8.65","8.82","8.65","8.8","0.00","650"
"SBCF","2022-03-13","8.51","8.82","8.51","8.8","1.50","25600"
"SBCF","2022-03-10","8.43","8.67","8.43","8.67","0.81","13200"
"SBCF","2022-03-09","8.46","8.67","8.46","8.6","0.00","7848"
"SBCF","2022-03-07","8.7","8.81","8.5","8.6","-0.58","14752"
"SBCF","2022-03-06","8.4","8.66","8.4","8.65","1.41","6550"
"SBCF","2022-03-02","8.43","8.53","8.43","8.53","-0.81","16100"
"SBCF","2022-02-28","8.5","8.83","8.23","8.6","1.65","212211"
"SBCF","2022-02-27","8.8","8.84","8.33","8.46","-2.76","385125"
"SBCF","2022-02-24","8.86","9","8.51","8.7","-3.33","127025"
"SBCF","2022-02-23","9","9","8.86","9","-1.10","33000"
"SBCF","2022-02-22","9","9.1","8.95","9.1","1.11","26900"
"SBCF","2022-02-21","9","9.06","8.9","9","0.33","18200"
"SBCF","2022-02-20","8.86","9.02","8.86","8.97","0.00","9900"
"SBCF","2022-02-17","8.9","9.12","8.9","8.97","-0.77","6216"
"SBCF","2022-02-16","9.07","9.1","9.03","9.04","-2.27","2100"
"SBCF","2022-02-15","9.01","9.25","8.92","9.25","2.66","7806"
"SBCF","2022-02-14","9.05","9.05","9.01","9.01","-2.07","9625"
"SBCF","2022-02-13","9","9.2","9","9.2","1.10","15500"
"SBCF","2022-02-10","9.02","9.3","9.02","9.1","-0.33","13200"
"SBCF","2022-02-09","9.02","9.29","9.02","9.13","-0.54","6450"
"SBCF","2022-02-08","9.37","9.42","9","9.18","0.00","50300"
"SBCF","2022-02-07","9.06","9.32","9.06","9.32","1.86","5850"
"SBCF","2022-02-06","9.06","9.25","9.06","9.15","-0.33","14750"
"SBCF","2022-02-03","9.08","9.39","9.08","9.18","-0.65","22890"
"SBCF","2022-02-01","9.21","9.29","9.21","9.24","-1.60","19810"
"SBCF","2022-01-31","9.01","9.39","9.01","9.39","2.51","34815"
"SBCF","2022-01-30","9","9.25","9","9.16","0.44","28958"
"SBCF","2022-01-27","9.05","9.35","9.05","9.12","-0.87","29600"
"SBCF","2022-01-26","9.2","9.3","9.08","9.2","0.00","15750"
"SBCF","2022-01-25","9.21","9.25","9.05","9.2","-2.02","25750"
"SBCF","2022-01-24","9.26","9.39","9.08","9.39","0.00","16000"
"SBCF","2022-01-23","9.22","9.4","9.22","9.39","-0.11","22670"
"SBCF","2022-01-20","9.3","9.4","9.23","9.4","0.11","7665"
"SBCF","2022-01-19","9.5","9.5","9.2","9.39","-2.29","35295"
"SBCF","2022-01-18","9.69","9.7","9.59","9.61","-2.73","11520"
"SBCF","2022-01-17","9.1","9.88","9.1","9.88","8.33","97625"
"SBCF","2022-01-16","9.08","9.54","9","9.12","0.44","18580"
"SBCF","2022-01-13","8.96","9.13","8.95","9.08","0.11","16550"
"SBCF","2022-01-12","9.15","9.2","9.02","9.07","-1.20","29185"
"SBCF","2022-01-11","8.95","9.18","8.95","9.18","2.00","21139"
"SBCF","2022-01-10","8.98","9.1","8.96","9","0.00","33050"
"SBCF","2022-01-09","8.91","9","8.75","9","1.93","33416"
"SBCF","2022-01-06","8.5","8.84","8.5","8.83","1.85","20829"
"SBCF","2022-01-05","8.61","8.93","8.61","8.67","-1.03","25439"
"SBCF","2022-01-04","8.7","8.77","8.51","8.76","1.86","51099"
"SBCF","2022-01-03","8.67","8.83","8.56","8.6","1.18","23281"
"SBCF","2022-01-02","8.61","8.61","8.45","8.5","0.59","7230"
"SBCF","2021-12-29","8.31","8.45","8.22","8.45","0.24","183437"
"SBCF","2021-12-28","8.47","8.48","8.33","8.43","-0.59","19500"
"SBCF","2021-12-27","8.18","8.9","8.18","8.48","1.92","125050"
"SBCF","2021-12-26","8.61","8.78","8.32","8.32","-1.54","65783"
"SBCF","2021-12-23","8.51","8.7","8.4","8.45","-1.86","157419"
"SBCF","2021-12-22","8.7","8.7","8.45","8.61","-0.58","104259"
"SBCF","2021-12-21","8.79","8.79","8.5","8.66","0.46","52145"
"SBCF","2021-12-20","8.55","8.72","8.55","8.62","-0.92","18700"
"SBCF","2021-12-16","8.6","8.81","8.6","8.7","-0.57","29400"
"SBCF","2021-12-15","8.63","8.94","8.63","8.75","1.63","46037"
"SBCF","2021-12-14","8.72","8.72","8.61","8.61","0.70","12000"
"SBCF","2021-12-13","8.68","8.8","8.55","8.55","-1.72","34898"
"SBCF","2021-12-12","8.85","9.18","8.68","8.7","-3.33","35310"
"SBCF","2021-12-09","8.89","9.05","8.85","9","1.24","62417"
"SBCF","2021-12-08","9.01","9.02","8.87","8.89","-1.22","5445"
"SBCF","2021-12-07","8.82","9","8.82","9","0.00","42672"
"SBCF","2021-12-06","8.9","9","8.75","9","-0.55","9407"
