"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SBD87","2022-05-04","859","859","859","859","1.91","30"
"SBD87","2022-05-02","843.5","843.5","842.9","842.9","0.19","50"
"SBD87","2022-04-25","841.4","841.4","841.3","841.3","0.21","30"
"SBD87","2022-04-13","839.5","839.5","839.5","839.5","0.12","15"
"SBD87","2022-04-11","838.6","838.6","838.5","838.5","-0.14","25"
"SBD87","2022-04-07","841","841","839.7","839.7","-2.00","30"
"SBD87","2022-04-04","855","856.8","855","856.8","2.00","101"
"SBD87","2022-03-30","840","840","840","840","-1.75","25"
"SBD87","2022-03-23","840.3","855","840.2","855","1.17","40"
"SBD87","2022-03-22","855.2","855.2","845.1","845.1","-2.86","126"
"SBD87","2022-03-16","870","870","870","870","-1.92","25"
"SBD87","2022-03-09","887","887","887","887","1.95","100"
"SBD87","2022-03-02","870","870","870","870","0.00","25"
"SBD87","2022-02-24","870.1","870.1","870","870","-0.06","30"
"SBD87","2022-02-23","874","874","870.5","870.5","-0.40","100"
"SBD87","2022-02-21","874","874","874","874","0.10","50"
"SBD87","2022-02-17","874","874","873.1","873.1","-1.58","50"
"SBD87","2022-02-10","887.1","887.1","887.1","887.1","-1.43","25"
"SBD87","2022-02-08","900","900","885.1","900","0.00","75"
"SBD87","2022-02-06","914","914","914","914","0.00","25"
"SBD87","2022-02-03","914","914","914","914","-1.93","25"
"SBD87","2022-02-01","932","932","932","932","0.00","200"
"SBD87","2022-01-27","932","932","932","932","0.00","160"
"SBD87","2022-01-25","932","932","932","932","-1.99","200"
"SBD87","2022-01-24","950.9","950.9","950.9","950.9","-1.99","10"
"SBD87","2022-01-18","970.2","970.2","970.2","970.2","-2.00","10"
"SBD87","2022-01-12","990","990","990","990","1.02","100"
"SBD87","2022-01-11","980","980","980","980","0.00","15"
"SBD87","2022-01-10","995","995","980","980","-1.01","75"
"SBD87","2022-01-09","965","990","965","990","1.02","495"
"SBD87","2022-01-06","980","980","980","980","0.51","50"
"SBD87","2022-01-05","975","975","975","975","0.00","300"
"SBD87","2022-01-04","975","975","975","975","0.62","50"
"SBD87","2022-01-03","969","969","969","969","2.00","50"
"SBD87","2022-01-02","965","969","950","950","0.00","100"
"SBD87","2021-12-29","969","969","950","950","-1.96","50"
"SBD87","2021-12-26","969","969","969","969","2.00","50"
"SBD87","2021-12-23","950","950","950","950","0.00","200"
"SBD87","2021-12-20","950","950","950","950","0.00","25"
"SBD87","2021-12-13","950","950","950","950","0.00","45"
"SBD87","2021-12-12","950","950","950","950","0.84","25"
"SBD87","2021-12-05","945","945","942.1","942.1","-0.31","50"
"SBD87","2021-12-02","945","945","945","945","-0.01","55"
"SBD87","2021-11-29","945.1","945.1","945.1","945.1","-0.52","25"
"SBD87","2021-11-25","950","950","950","950","-1.35","30"
"SBD87","2021-11-24","963","963","963","963","1.58","20"
"SBD87","2021-11-23","948","948","948","948","-0.21","30"
"SBD87","2021-11-18","950","950","950","950","-1.04","50"
"SBD87","2021-11-15","960","966.9","960","960","1.05","65"
"SBD87","2021-11-14","950.1","950.1","948","950","0.21","225"
"SBD87","2021-11-08","948","948","948","948","-0.12","10"
"SBD87","2021-11-01","949.1","949.1","949.1","949.1","0.00","100"
"SBD87","2021-10-31","949.1","949.1","949.1","949.1","0.01","30"
"SBD87","2021-10-26","949","949","949","949","0.21","50"
"SBD87","2021-10-25","947","947","947","947","-0.63","25"
"SBD87","2021-10-24","948","953","948","953","-0.10","50"
"SBD87","2021-10-21","954","954","954","954","-0.44","25"
"SBD87","2021-10-04","958.2","958.2","958.2","958.2","-0.19","15"
"SBD87","2021-10-03","960.1","960.1","960","960","-1.94","145"
"SBD87","2021-09-29","960","979","960","979","0.93","60"
"SBD87","2021-09-28","970","970","970","970","0.00","25"
"SBD87","2021-09-26","970","970","970","970","0.31","50"
"SBD87","2021-09-22","967","967","967","967","0.21","30"
"SBD87","2021-09-21","965","965","965","965","-1.03","25"
"SBD87","2021-09-16","980","980","975","975","0.41","55"
"SBD87","2021-09-15","971","971","971","971","-1.31","25"
"SBD87","2021-09-14","983.9","983.9","983.9","983.9","1.12","300"
"SBD87","2021-09-13","985","985","973","973","-1.22","70"
"SBD87","2021-09-12","985","985","985","985","-0.40","25"
"SBD87","2021-09-09","970","989","970","989","0.82","55"
"SBD87","2021-09-08","981","981","981","981","0.41","25"
"SBD87","2021-09-06","975.2","980","975.2","977","0.72","105"
"SBD87","2021-09-05","970","970","970","970","-1.32","30"
"SBD87","2021-09-01","983","983","983","983","-0.71","30"
