"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SBIBD86","2022-04-26","931.5","931.5","931.2","931.2","0.01","50"
"SBIBD86","2022-04-21","931.1","931.1","931.1","931.1","0.06","25"
"SBIBD86","2022-04-11","930.6","930.6","930.5","930.5","0.09","50"
"SBIBD86","2022-03-29","929.7","929.7","929.7","929.7","-0.25","25"
"SBIBD86","2022-03-27","932","932","932","932","-0.85","25"
"SBIBD86","2022-03-22","940","940","940","940","0.00","50"
"SBIBD86","2022-02-20","940","940","940","940","-0.35","25"
"SBIBD86","2022-02-14","945","945","943.3","943.3","-1.99","50"
"SBIBD86","2022-02-09","980","980","962.5","962.5","-3.75","75"
"SBIBD86","2022-01-30","1000","1000","1000","1000","0.00","125"
"SBIBD86","2022-01-23","1000","1000","1000","1000","0.00","25"
"SBIBD86","2022-01-19","1000","1000","1000","1000","-0.99","620"
"SBIBD86","2022-01-10","1010","1010","1010","1010","0.00","20"
"SBIBD86","2022-01-09","1010","1010","1010","1010","-1.42","20"
"SBIBD86","2022-01-06","1004.5","1024.5","1004.5","1024.5","-0.05","230"
"SBIBD86","2021-12-28","1021","1025","1021","1025","1.49","390"
"SBIBD86","2021-12-27","1000","1010","1000","1010","2.02","550"
"SBIBD86","2021-12-09","990","990","990","990","-1.98","25"
"SBIBD86","2021-11-25","1010","1010","1010","1010","0.90","50"
"SBIBD86","2021-11-16","1005","1005","1001","1001","-2.34","90"
"SBIBD86","2021-11-08","1025","1025","1025","1025","0.00","35"
"SBIBD86","2021-10-06","1025","1025","1025","1025","-0.49","25"
"SBIBD86","2021-09-30","1030","1030","1030","1030","0.00","25"
"SBIBD86","2021-09-29","1030","1030","1030","1030","-1.44","125"
"SBIBD86","2021-09-26","1045","1045","1045","1045","-0.57","375"
"SBIBD86","2021-09-15","1051","1051","1051","1051","0.57","1000"
"SBIBD86","2021-09-13","1045","1045","1045","1045","0.00","500"
"SBIBD86","2021-09-12","1050","1050","1045","1045","0.00","125"
"SBIBD86","2021-09-09","1045","1045","1045","1045","0.00","75"
"SBIBD86","2021-09-08","1045","1045","1045","1045","-0.19","25"
"SBIBD86","2021-09-07","1047","1047","1047","1047","-0.30","25"
"SBIBD86","2021-09-05","1050.1","1050.1","1050.1","1050.1","0.01","25"
"SBIBD86","2021-09-02","1050","1050","1050","1050","0.00","75"
"SBIBD86","2021-09-01","1045","1050","1045","1050","0.48","355"
"SBIBD86","2021-08-31","1045","1045","1045","1045","-0.48","50"
"SBIBD86","2021-08-29","1050","1050","1050","1050","0.00","50"
"SBIBD86","2021-08-26","1055","1056","1050","1050","-0.47","875"
"SBIBD86","2021-08-25","1055","1055","1055","1055","-0.47","1000"
"SBIBD86","2021-08-24","1060","1060","1060","1060","0.00","25"
"SBIBD86","2021-08-19","1060","1060","1060","1060","0.00","25"
"SBIBD86","2021-08-12","1060","1060","1060","1060","0.00","50"
"SBIBD86","2021-08-11","1060","1060","1060","1060","0.00","25"
"SBIBD86","2021-08-10","1044.1","1060","1044.1","1060","1.81","1775"
"SBIBD86","2021-08-08","1050","1050","1038","1041.2","-0.93","1200"
"SBIBD86","2021-08-05","1051","1051","1051","1051","0.86","207"
"SBIBD86","2021-08-04","1042","1042","1042","1042","0.00","25"
"SBIBD86","2021-08-03","1042","1042","1042","1042","0.68","33"
"SBIBD86","2021-08-02","1035","1035","1035","1035","-0.83","1000"
"SBIBD86","2021-08-01","1043.7","1043.7","1043.7","1043.7","-2.00","25"
"SBIBD86","2021-07-27","1065","1065","1065","1065","0.00","735"
"SBIBD86","2021-07-26","1065","1065","1065","1065","0.00","225"
"SBIBD86","2021-07-25","1065","1065","1065","1065","0.00","40"
"SBIBD86","2021-07-05","1060","1065","1060","1065","0.47","225"
