"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SBI","2022-05-05","325","325","319.2","324","0.00","7541"
"SBI","2022-05-04","323.6","327","323.5","324","-1.82","5475"
"SBI","2022-05-02","331","331","327","330","-1.49","4761"
"SBI","2022-04-28","339","339","330","335","0.00","5468"
"SBI","2022-04-27","335","335","325","335","-1.18","3464"
"SBI","2022-04-26","332.3","342","332.3","339","0.15","10208"
"SBI","2022-04-25","341","342.1","331.4","338.5","-1.60","6888"
"SBI","2022-04-24","336","345","330","344","4.24","15928"
"SBI","2022-04-21","330.4","330.4","320","330","1.85","24466"
"SBI","2022-04-20","323.8","335","323.6","324","-1.82","11890"
"SBI","2022-04-19","330","336","324.1","330","0.00","17107"
"SBI","2022-04-18","331","336","324","330","-2.08","8304"
"SBI","2022-04-17","354.9","354.9","332","337","-3.16","2305"
"SBI","2022-04-13","335","348","326.5","348","5.42","13794"
"SBI","2022-04-12","335","336","329","330.1","-2.88","14978"
"SBI","2022-04-11","342","348","332","339.9","-0.47","13494"
"SBI","2022-04-07","341","343","337","341.5","0.44","15596"
"SBI","2022-04-06","340","343","335","340","0.00","26992"
"SBI","2022-04-05","337","343.7","335","340","-0.87","13135"
"SBI","2022-04-04","338","343","337.3","343","0.03","4491"
"SBI","2022-04-03","341","343","337.1","342.9","0.56","3883"
"SBI","2022-03-31","348","348","340.1","341","-1.45","16233"
"SBI","2022-03-30","342","347","340.5","346","0.03","7493"
"SBI","2022-03-29","347","347.4","343","345.9","-0.32","3806"
"SBI","2022-03-28","350","350","342","347","-0.29","4282"
"SBI","2022-03-27","347.1","354.5","347.1","348","-0.91","20604"
"SBI","2022-03-24","355","355","351.1","351.2","-1.07","6093"
"SBI","2022-03-23","362","362","352","355","-2.47","23031"
"SBI","2022-03-22","365","365","356.1","364","-0.03","5222"
"SBI","2022-03-21","355","364.1","350.1","364.1","2.28","14567"
"SBI","2022-03-20","359","359","352","356","-1.11","3486"
"SBI","2022-03-16","353.5","360","353","360","0.70","8434"
"SBI","2022-03-15","365","365","355","357.5","-0.17","15839"
"SBI","2022-03-14","354","358.1","351.2","358.1","0.03","5001"
"SBI","2022-03-13","346","358.5","345","358","2.29","4992"
"SBI","2022-03-10","340","350","340","350","2.34","11456"
"SBI","2022-03-09","345","348","340","342","-1.98","4569"
"SBI","2022-03-07","355.1","355.1","348","348.9","-0.88","6704"
"SBI","2022-03-06","350","353","346.1","352","-0.28","4132"
"SBI","2022-03-02","352","354","348","353","-0.28","7801"
"SBI","2022-02-28","357","358","350.1","354","-1.39","5130"
"SBI","2022-02-27","360","367.2","352.8","359","-0.28","10963"
"SBI","2022-02-24","362.6","362.6","356","360","-2.70","9716"
"SBI","2022-02-23","370","370","361","370","0.54","4929"
"SBI","2022-02-22","377.9","378","364","368","-1.42","6816"
"SBI","2022-02-21","363","373.3","362","373.3","1.74","10271"
"SBI","2022-02-20","369.9","370","360","366.9","-1.90","14190"
"SBI","2022-02-17","380","380","372","374","-1.58","4677"
"SBI","2022-02-16","379","386.9","373","380","2.15","5838"
"SBI","2022-02-15","371.1","380.4","367","372","-0.53","46769"
"SBI","2022-02-14","380","380","368","374","0.27","5889"
"SBI","2022-02-13","377.1","380","366.5","373","-2.86","18616"
"SBI","2022-02-10","383","387","377","384","0.10","11463"
"SBI","2022-02-09","386","388","382.2","383.6","-0.85","14206"
"SBI","2022-02-08","395.7","403","385","386.9","0.00","20372"
"SBI","2022-02-07","390.1","393","386.5","388","-1.52","5421"
"SBI","2022-02-06","392","394","383.2","394","-1.01","10655"
"SBI","2022-02-03","400","401","391","398","0.13","41619"
"SBI","2022-02-01","389","400.8","385","397.5","0.63","16084"
"SBI","2022-01-31","398","398","385.2","395","-0.98","16218"
"SBI","2022-01-30","395","402","388.1","398.9","2.81","25771"
"SBI","2022-01-27","385","390","385","388","0.00","16629"
"SBI","2022-01-26","395","399","386","388","-2.00","24181"
"SBI","2022-01-25","390","395.9","385","395.9","0.00","13132"
"SBI","2022-01-24","401","405","389","395.9","-2.97","102382"
"SBI","2022-01-23","400","411.8","400","408","0.99","72858"
"SBI","2022-01-20","401","406","398","404","-0.47","41592"
"SBI","2022-01-19","422","422","402.5","405.9","-2.89","40717"
