"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SBLD84","2022-05-04","871.5","871.5","871.5","871.5","-1.99","25"
"SBLD84","2022-04-25","889","889.2","889","889.2","2.00","50"
"SBLD84","2022-04-21","871.8","871.8","871.8","871.8","-1.99","25"
"SBLD84","2022-04-20","889.4","889.5","889.4","889.5","1.98","50"
"SBLD84","2022-04-19","872.2","872.2","872.2","872.2","-2.00","75"
"SBLD84","2022-04-17","890","890","890","890","0.12","25"
"SBLD84","2022-04-12","888.9","888.9","888.9","888.9","-0.09","25"
"SBLD84","2022-02-16","889.7","889.7","889.7","889.7","1.99","75"
"SBLD84","2022-02-15","872.3","872.3","872.3","872.3","-0.59","25"
"SBLD84","2022-02-13","877.6","877.6","877.5","877.5","-1.96","50"
"SBLD84","2022-02-08","895","895","895","895","0.00","50"
"SBLD84","2022-01-26","910","910","910","910","-1.62","25"
"SBLD84","2022-01-25","925","925","925","925","-1.60","50"
"SBLD84","2022-01-24","950","950","940","940","-2.16","300"
"SBLD84","2022-01-11","960.8","960.8","960.8","960.8","2.00","25"
"SBLD84","2022-01-06","942","942","942","942","-1.94","30"
"SBLD84","2021-12-16","960.6","960.6","960.6","960.6","1.44","50"
"SBLD84","2021-12-13","941.1","947","941.1","947","-0.05","55"
"SBLD84","2021-12-07","947.5","947.5","947.5","947.5","0.00","150"
"SBLD84","2021-11-28","948","948","947","947.5","-0.06","75"
"SBLD84","2021-11-18","948.1","948.1","948.1","948.1","-0.33","25"
"SBLD84","2021-11-08","951.2","951.2","951.2","951.2","-0.50","25"
"SBLD84","2021-11-03","950.2","956","950.2","956","0.61","100"
"SBLD84","2021-10-31","950.2","950.2","950.2","950.2","0.18","30"
"SBLD84","2021-10-28","950","950","948.5","948.5","-0.26","50"
"SBLD84","2021-10-26","951","951","951","951","-0.52","25"
"SBLD84","2021-10-20","956","956","956","956","0.00","25"
"SBLD84","2021-10-17","957","956","956","956","-0.10","25"
"SBLD84","2021-10-10","957","957","957","957","-0.31","50"
"SBLD84","2021-10-04","960","960","960","960","-0.01","50"
"SBLD84","2021-10-03","961","961","960.1","960.1","-0.30","125"
"SBLD84","2021-09-30","960","963","960","963","-0.93","60"
"SBLD84","2021-09-27","970","972","970","972","-0.31","60"
"SBLD84","2021-09-26","975","975","975","975","1.04","50"
"SBLD84","2021-09-21","965","965","965","965","-1.03","25"
"SBLD84","2021-09-14","975","975","975","975","0.10","30"
"SBLD84","2021-09-13","975","975","974","974","-0.10","75"
"SBLD84","2021-09-12","970","975","970","975","0.41","50"
"SBLD84","2021-09-09","975","975","971","971","0.09","50"
"SBLD84","2021-09-08","970.1","970.1","970.1","970.1","-1.01","25"
"SBLD84","2021-09-06","980","980","980","980","0.10","25"
"SBLD84","2021-09-02","979","979","979","979","-0.61","100"
"SBLD84","2021-09-01","985","985","985","985","0.00","140"
"SBLD84","2021-08-31","981","985","981","985","0.30","100"
"SBLD84","2021-08-29","981","982.1","981","982.1","0.11","250"
"SBLD84","2021-08-26","980","990.4","980","981","0.10","125"
"SBLD84","2021-08-25","980","980","980","980","-0.10","25"
"SBLD84","2021-08-24","980","981","980","981","-0.41","50"
"SBLD84","2021-08-18","985","985","985","985","-0.10","75"
"SBLD84","2021-08-16","982.3","986","982.3","986","0.04","50"
"SBLD84","2021-08-15","985.4","985.6","985.4","985.6","0.04","85"
"SBLD84","2021-08-12","980","985.2","981","985.2","0.53","55"
"SBLD84","2021-08-11","980","980","980","980","-0.42","25"
"SBLD84","2021-08-10","983.1","984.1","983.1","984.1","0.16","75"
"SBLD84","2021-08-09","982.5","982.5","982.5","982.5","0.14","25"
"SBLD84","2021-08-08","981.1","981.1","981.1","981.1","-0.40","25"
"SBLD84","2021-08-05","985","985","985","985","0.38","60"
"SBLD84","2021-08-04","981.6","981.6","981.3","981.3","-0.38","240"
"SBLD84","2021-08-03","995","1003","985","985","0.00","85"
"SBLD84","2021-08-02","985","985","985","985","-1.01","25"
"SBLD84","2021-08-01","980","995","980","995","1.69","50"
"SBLD84","2021-07-29","978.5","978.5","978.5","978.5","-0.66","10"
"SBLD84","2021-07-27","985","985","985","985","0.00","25"
"SBLD84","2021-07-26","989","993","985","985","-0.40","665"
"SBLD84","2021-07-25","985","989","985","989","0.82","35"
"SBLD84","2021-07-18","981","981","981","981","-2.00","125"
