"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SBLPO","2022-04-28","270","270","270","270","0.00","56739"
"SBLPO","2022-03-07","270","270","270","270","0.00","11348"
"SBLPO","2022-02-10","270","270","270","270","0.00","50000"
"SBLPO","2022-01-20","270","270","270","270","0.00","54213"
"SBLPO","2021-12-27","270","270","270","270","0.00","100000"
"SBLPO","2021-12-23","270","270","270","270","-1.82","4362"
"SBLPO","2021-12-20","275","275","275","275","0.00","100000"
"SBLPO","2021-12-14","275","275","275","275","0.00","100000"
"SBLPO","2021-11-15","275","275","275","275","0.00","14000"
"SBLPO","2021-09-02","264.6","265","264.6","265","0.15","46318"
"SBLPO","2021-08-26","264.6","264.6","264.6","264.6","-2.00","71000"
"SBLPO","2021-07-05","270","270","270","270","0.00","61795"
"SBLPO","2021-04-04","190","190","190","190","0.00","15800"
"SBLPO","2021-02-08","190","190","190","190","0.00","21411"
"SBLPO","2021-01-04","190","190","190","190","0.00","66976"
"SBLPO","2020-12-31","190","190","190","190","0.00","14000"
"SBLPO","2020-12-03","190","190","190","190","0.00","39258"
"SBLPO","2020-11-08","190","190","190","190","0.00","46010"
"SBLPO","2020-07-26","190","190","190","190","0.00","24630"
"SBLPO","2020-07-14","190","190","190","190","0.00","58200"
"SBLPO","2020-07-06","190","190","190","190","0.00","26000"
"SBLPO","2020-07-05","190","190","190","190","0.00","86124"
"SBLPO","2020-03-12","190","190","190","190","0.00","15000"
"SBLPO","2019-12-03","190","190","190","190","-1.55","137345"
"SBLPO","2019-12-02","193","193","193","193","-1.53","24200"
"SBLPO","2019-09-24","196","196","196","196","0.00","159637"
"SBLPO","2019-08-19","196","196","196","196","0.00","131793"
"SBLPO","2019-07-30","196","196","196","196","-2.00","161545"
"SBLPO","2019-07-28","200","200","200","200","0.00","40274"
"SBLPO","2019-07-15","200","200","200","200","0.00","31736"
"SBLPO","2019-04-10","162","162","162","162","-1.82","30000"
"SBLPO","2019-03-24","165","165","165","165","1.85","63703"
"SBLPO","2019-03-18","162","162","162","162","0.00","15000"
"SBLPO","2018-12-17","195","195","195","195","0.00","13920"
"SBLPO","2018-07-03","195","195","195","195","0.00","118934"
"SBLPO","2018-05-27","195","195","195","195","0.00","100000"
"SBLPO","2018-04-26","195","195","195","195","0.00","99400"
"SBLPO","2018-03-20","195","195","195","195","0.00","3126"
"SBLPO","2018-02-12","195","195","195","195","0.00","89421"
"SBLPO","2018-02-04","195","195","195","195","0.00","35305"
"SBLPO","2018-01-09","195","195","195","195","0.00","11950"
"SBLPO","2018-01-07","195","195","195","195","0.00","14828"
"SBLPO","2017-12-31","195","195","195","195","-0.51","48092"
"SBLPO","2017-12-13","196","196","196","196","0.00","70000"
"SBLPO","2017-11-06","200","196","196","196","-2.00","10071"
"SBLPO","2017-11-05","200","200","200","200","0.00","10000"
"SBLPO","2017-10-29","200","200","200","200","-1.48","10000"
"SBLPO","2017-10-25","207","207","203","203","-3.79","8000"
"SBLPO","2017-10-10","211","211","211","211","-1.86","10708"
"SBLPO","2017-10-09","215","215","215","215","0.00","6738"
"SBLPO","2017-07-02","350","350","350","350","0.00","7924"
"SBLPO","2017-06-27","350","350","350","350","0.00","3566"
"SBLPO","2017-06-15","350","350","350","350","0.00","40419"
"SBLPO","2017-05-16","350","350","350","350","0.00","50000"
"SBLPO","2017-03-21","350","350","350","350","0.00","20319"
"SBLPO","2016-07-28","706","706","706","706","0.00","36000"
"SBLPO","2015-08-12","187","187","187","187","-1.58","63142"
"SBLPO","2015-07-16","210","206","190","190","-9.52","168453"
"SBLPO","2015-07-08","226","226","210","210","-8.70","550"
"SBLPO","2015-07-07","249","249","230","230","-9.45","18984"
"SBLPO","2015-07-05","274","274","254","254","-8.96","50"
"SBLPO","2015-07-02","300","300","279","279","-8.82","60"
"SBLPO","2015-07-01","328","328","306","306","-8.38","50"
"SBLPO","2014-08-18","108","106","106","106","-1.85","31208"
"SBLPO","2014-04-15","110","108","108","108","-1.82","11076"
"SBLPO","2013-02-04","108","110","110","110","1.85","22894"
