"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SBL","2022-05-05","380","382","378","380","-0.78","50245"
"SBL","2022-05-04","394.7","394.7","378.1","383","-1.03","21198"
"SBL","2022-05-02","394","396","385.4","387","-1.53","27540"
"SBL","2022-04-28","405.9","405.9","392.5","393","-1.26","21520"
"SBL","2022-04-27","395","399","394","398","-0.25","17927"
"SBL","2022-04-26","398","402","392","399","0.50","106362"
"SBL","2022-04-25","406","406.7","397","397","-1.24","27935"
"SBL","2022-04-24","399","402","395.2","402","2.55","27519"
"SBL","2022-04-21","391.2","398","388","392","-0.76","28318"
"SBL","2022-04-20","408","408","389","395","-1.25","108344"
"SBL","2022-04-19","396","400","386","400","3.01","48613"
"SBL","2022-04-18","398","398","388","388.3","-0.94","32142"
"SBL","2022-04-17","402.9","402.9","389","392","-0.76","31456"
"SBL","2022-04-13","393","398.9","390","395","0.51","29042"
"SBL","2022-04-12","389.9","395","389.5","393","-0.51","32157"
"SBL","2022-04-11","402","410","392.1","395","0.00","53861"
"SBL","2022-04-07","389","397.9","386.1","395","2.09","47077"
"SBL","2022-04-06","388","392","385","386.9","-1.30","38829"
"SBL","2022-04-05","403.9","403.9","389","392","-1.01","75026"
"SBL","2022-04-04","403.9","403.9","393","396","0.00","35593"
"SBL","2022-04-03","403","403","395","396","-0.75","32499"
"SBL","2022-03-31","400","403","395","399","0.50","56066"
"SBL","2022-03-30","396","398","392.1","397","0.51","41942"
"SBL","2022-03-29","396","398","393","395","0.00","26739"
"SBL","2022-03-28","405","405","393.3","395","-0.75","42554"
"SBL","2022-03-27","402","406.5","397","398","-1.04","88284"
"SBL","2022-03-24","409.9","409.9","402.1","402.2","-0.81","53080"
"SBL","2022-03-23","405.1","410","403","405.5","-0.86","38618"
"SBL","2022-03-22","410","413","406.8","409","0.25","39578"
"SBL","2022-03-21","414.8","414.8","403","408","0.32","39469"
"SBL","2022-03-20","410","410","403","406.7","0.67","36732"
"SBL","2022-03-16","412","415.8","403","404","-0.98","68113"
"SBL","2022-03-15","415","415","406.8","408","-0.97","48889"
"SBL","2022-03-14","418","418","406.3","412","0.49","23030"
"SBL","2022-03-13","408","415","402","410","2.50","88147"
"SBL","2022-03-10","396","400","394","400","1.27","39386"
"SBL","2022-03-09","401","404","395","395","-1.25","33024"
