"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SCB","2022-05-05","432","438","430.6","431","-0.81","6206"
"SCB","2022-05-04","430.1","436","430.1","434.5","-0.34","3455"
"SCB","2022-05-02","439","440","433.8","436","-0.68","13808"
"SCB","2022-04-28","447.2","447.2","438.1","439","0.11","4135"
"SCB","2022-04-27","437","441","436","438.5","-0.34","5895"
"SCB","2022-04-26","442","450","440","440","-0.45","4929"
"SCB","2022-04-25","454","456","442","442","-1.80","11976"
"SCB","2022-04-24","445.8","451","443","450.1","2.97","11729"
"SCB","2022-04-21","449.8","449.8","435","437.1","-0.88","10435"
"SCB","2022-04-20","445.7","446.5","438","441","0.92","16005"
"SCB","2022-04-19","435","440.9","432","437","0.00","5507"
"SCB","2022-04-18","440","448.8","436","437","-0.68","6545"
"SCB","2022-04-17","462.7","462.7","439.5","440","-3.02","7977"
"SCB","2022-04-13","433.1","462.9","433.1","453.7","3.58","13351"
"SCB","2022-04-12","440.1","442","435","438","-0.82","6359"
"SCB","2022-04-11","450","450","441.6","441.6","-0.76","13605"
"SCB","2022-04-07","434.5","447","434.5","445","1.60","11197"
"SCB","2022-04-06","440","450.9","436","438","-0.93","11599"
"SCB","2022-04-05","456.9","456.9","440.2","442.1","-1.32","6086"
"SCB","2022-04-04","459","459","446.1","448","-0.44","12225"
"SCB","2022-04-03","452","452","447.1","450","-0.44","5861"
"SCB","2022-03-31","465.9","466","450.6","452","-1.07","7396"
"SCB","2022-03-30","449","457","449","456.9","-0.02","6345"
"SCB","2022-03-29","459","459","450","457","1.51","11977"
"SCB","2022-03-28","458","458","450","450.2","-1.08","12475"
"SCB","2022-03-27","455","463","455","455.1","-1.71","12622"
"SCB","2022-03-24","455","470","455","463","0.00","14040"
"SCB","2022-03-23","461.5","471","461.5","463","0.22","10233"
"SCB","2022-03-22","459","463","459","462","0.65","11263"
"SCB","2022-03-21","465","465","455","459","-0.65","14937"
"SCB","2022-03-20","457","471","456.1","462","-0.22","4724"
"SCB","2022-03-16","460.1","470","460","463","-0.22","9332"
"SCB","2022-03-15","470","470","460.7","464","-1.30","5471"
"SCB","2022-03-14","478","478","463.1","470.1","0.02","2525"
"SCB","2022-03-13","460","478.1","460","470","2.17","10779"
"SCB","2022-03-10","450","468","450","460","1.77","19155"
"SCB","2022-03-09","459","459","450","452","-0.88","8075"
"SCB","2022-03-07","464","464.1","456","456","0.22","8992"
"SCB","2022-03-06","460","460","453.4","455","-1.09","10507"
"SCB","2022-03-02","464.2","464.2","455","460","-1.50","13631"
"SCB","2022-02-28","472","473.9","467","467","-1.27","13525"
"SCB","2022-02-27","470","479","464.1","473","0.64","8985"
"SCB","2022-02-24","479","479","468","470","-1.88","15830"
"SCB","2022-02-23","476","482","475","479","0.63","18738"
"SCB","2022-02-22","481","485","475","476","0.74","12049"
"SCB","2022-02-21","484","484","470","472.5","-0.78","14688"
"SCB","2022-02-20","473","482.8","464","476.2","-1.31","9988"
"SCB","2022-02-17","480","496","480","482.5","-0.92","14477"
"SCB","2022-02-16","482","514","482","487","0.41","6975"
"SCB","2022-02-15","486","487","480","485","0.21","9519"
"SCB","2022-02-14","471","490","470","484","0.83","8173"
"SCB","2022-02-13","485.1","488","475","480","-3.01","29854"
"SCB","2022-02-10","505","505","494.9","494.9","-0.04","13717"
"SCB","2022-02-09","504","505","493","495.1","-1.18","20092"
"SCB","2022-02-08","516.1","520","500","501","0.00","12327"
"SCB","2022-02-07","500","508","500","506","1.00","6140"
"SCB","2022-02-06","510","510","500","501","-1.40","25412"
"SCB","2022-02-03","506","515","501","508.1","0.42","16760"
"SCB","2022-02-01","502.1","512","500","506","-0.20","24303"
"SCB","2022-01-31","525","525","507","507","-2.10","9219"
"SCB","2022-01-30","510","525","500","517.9","3.37","21665"
"SCB","2022-01-27","496","520","495","501","-0.99","23094"
"SCB","2022-01-26","504","520","500.1","506","-1.59","13455"
"SCB","2022-01-25","520.2","520.2","505","514.2","0.82","11527"
"SCB","2022-01-24","522","523","501.6","510","-2.30","31246"
"SCB","2022-01-23","526","534","516.1","522","-0.57","24106"
"SCB","2022-01-20","529","529","516","525","-0.19","15295"
"SCB","2022-01-19","530","540.6","522","526","-1.85","19006"
"SCB","2022-01-18","530","545","530","535.9","0.36","42876"
"SCB","2022-01-17","561","561","530","534","-2.91","41753"
"SCB","2022-01-16","500","550","500.1","550","10.00","44540"
"SCB","2022-01-13","500","505","495","500","-0.99","14802"
"SCB","2022-01-12","520","520","505","505","-1.94","10647"
"SCB","2022-01-11","510","520","507","515","-0.96","10971"
"SCB","2022-01-10","510","530.4","510","520","0.00","32327"
"SCB","2022-01-09","519.9","530","515","520","1.96","38421"
"SCB","2022-01-06","480","525","480","510","4.29","31673"
"SCB","2022-01-05","488","515","482.2","489","-1.61","16531"
"SCB","2022-01-04","462","508.2","452.8","497","7.58","48028"
"SCB","2022-01-03","466.9","467","457.9","462","0.90","14593"
"SCB","2022-01-02","447","457.9","439.1","457.9","2.44","16214"
"SCB","2021-12-29","445.1","450","445","447","0.45","5116"
"SCB","2021-12-28","445","448","440","445","0.23","9536"
"SCB","2021-12-27","446","452","444","444","-1.33","18580"
"SCB","2021-12-26","457","457","448","450","0.42","16623"
"SCB","2021-12-23","460","461.5","448","448.1","-0.64","4444"
"SCB","2021-12-22","458.4","460","450","451","0.33","8603"
"SCB","2021-12-21","450","451","444","449.5","1.24","8163"
"SCB","2021-12-20","456.9","456.9","440","444","-0.89","17697"
"SCB","2021-12-16","454","457","446.5","448","-1.95","10145"
"SCB","2021-12-15","470","471","448","456.9","-0.85","11599"
"SCB","2021-12-14","448.1","460.8","443.5","460.8","2.40","3036"
"SCB","2021-12-13","443","454","434.5","450","0.40","23012"
"SCB","2021-12-12","468.9","472","444","448.2","-3.20","15316"
"SCB","2021-12-09","458","464.8","448.8","463","2.71","40527"
"SCB","2021-12-08","434","453.8","434","450.8","1.94","22437"
"SCB","2021-12-07","449","450","441.1","442.2","0.05","10254"
"SCB","2021-12-06","455","455","435","442","-1.34","9834"
"SCB","2021-12-05","457","465.9","442","448","-2.71","13840"
"SCB","2021-12-02","453.9","469.9","453.9","460.5","-0.56","6102"
"SCB","2021-12-01","463","470","463","463.1","0.02","10757"
"SCB","2021-11-30","462","472","462","463","-1.72","7677"
"SCB","2021-11-29","466.7","476","464","471.1","-1.07","26953"
"SCB","2021-11-28","476.8","485","464.6","476.2","-2.11","34180"
"SCB","2021-11-25","521","535.5","520","535.1","2.24","36086"
"SCB","2021-11-24","522","528","522","523.4","-0.30","21727"
"SCB","2021-11-23","525","527","523.1","525","-0.38","13563"
"SCB","2021-11-22","529","530","524","527","0.38","11595"
"SCB","2021-11-21","530","530","520","525","0.96","11567"
"SCB","2021-11-18","530","535","517","520","-0.95","9848"
"SCB","2021-11-17","535","535","525","525","-0.57","12407"
"SCB","2021-11-16","520","530","518.2","528","1.54","11875"
"SCB","2021-11-15","507.8","525","507.8","520","0.39","9612"
"SCB","2021-11-14","524.1","524.1","514.5","518","-1.33","22521"
"SCB","2021-11-11","538","538","520","525","-1.69","7607"
"SCB","2021-11-09","545","545","529.1","534","-0.19","9439"
"SCB","2021-11-08","547.7","558","530","535","-0.37","7622"
"SCB","2021-11-03","547","547","536.1","537","-0.19","14381"
"SCB","2021-11-02","535","542","530","538","0.67","11329"
"SCB","2021-11-01","532","535","527.1","534.4","0.64","13345"
"SCB","2021-10-31","525","535","525","531","-0.38","23387"
"SCB","2021-10-28","538","538","531","533","-0.93","7724"
"SCB","2021-10-27","541","545","535.1","538","0.00","7377"
"SCB","2021-10-26","533","561","530.1","538","0.77","20015"
"SCB","2021-10-25","539.8","539.8","526","533.9","0.57","8884"
"SCB","2021-10-24","520","531","520","530.9","1.32","8912"
"SCB","2021-10-21","528","530","520","524","-0.57","4576"
"SCB","2021-10-20","521","531","521","527","1.35","3047"
"SCB","2021-10-19","530","530","515","520","-2.07","16019"
