"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SDBD87","2022-04-28","884.5","884.5","884.5","884.5","0.00","50"
"SDBD87","2022-04-27","884.5","884.5","884.5","884.5","-1.99","50"
"SDBD87","2022-04-17","900","902.5","900","902.5","1.98","50"
"SDBD87","2022-04-11","882.3","885","882.3","885","2.31","75"
"SDBD87","2022-03-29","865","865","865","865","0.00","50"
"SDBD87","2022-03-27","861","865","860.3","865","-0.17","75"
"SDBD87","2022-03-22","866.1","867","866","866.5","0.06","55"
"SDBD87","2022-03-20","872.9","872.9","866","866","-1.03","50"
"SDBD87","2022-03-16","874.6","875","874","875","0.06","70"
"SDBD87","2022-03-15","874.5","874.5","874.5","874.5","-1.74","25"
"SDBD87","2022-03-09","890","890","890","890","1.37","100"
"SDBD87","2022-03-07","880","880","878","878","-0.79","125"
"SDBD87","2022-02-23","885.5","885.5","885","885","-0.56","35"
"SDBD87","2022-02-16","887","890","886.5","890","0.00","40"
"SDBD87","2022-02-15","887","890","886","890","-1.01","125"
"SDBD87","2022-02-01","895.5","899.1","895.5","899.1","0.23","50"
"SDBD87","2022-01-31","897","897","897","897","0.22","25"
"SDBD87","2022-01-30","895","895","895","895","0.00","50"
"SDBD87","2022-01-26","895","895","895","895","-0.44","25"
"SDBD87","2022-01-25","903","903","895","899","-1.21","175"
"SDBD87","2022-01-24","910","910","910","910","-1.41","75"
"SDBD87","2022-01-23","941.2","941.2","923","923","-3.89","85"
"SDBD87","2022-01-18","960.4","960.4","960.4","960.4","-2.00","100"
"SDBD87","2022-01-13","1000","1000","980","980","-0.51","125"
"SDBD87","2022-01-12","985","985","985","985","-1.51","25"
"SDBD87","2022-01-11","1000.1","1000.1","1000.1","1000.1","0.51","1000"
"SDBD87","2022-01-10","999.9","1000","995","995","-0.46","125"
"SDBD87","2022-01-09","990","999.6","990","999.6","2.00","250"
"SDBD87","2022-01-06","974.1","980","970","980","2.62","100"
"SDBD87","2022-01-05","955","955","955","955","-1.96","25"
"SDBD87","2022-01-04","974.1","974.1","974.1","974.1","2.00","10"
"SDBD87","2022-01-03","955","955","955","955","0.49","25"
"SDBD87","2022-01-02","949.6","950.9","949.6","950.3","-0.09","75"
"SDBD87","2021-12-26","951.2","951.2","951.2","951.2","-1.84","25"
"SDBD87","2021-12-22","950.4","969","950.4","969","-0.05","125"
"SDBD87","2021-12-20","969.5","969.5","969.5","969.5","0.05","25"
"SDBD87","2021-12-16","955","969","955","969","1.99","75"
"SDBD87","2021-12-15","950.2","950.2","950.1","950.1","-0.12","65"
"SDBD87","2021-12-14","950.2","951.2","950","951.2","0.13","110"
"SDBD87","2021-12-13","950","950","950","950","-0.12","50"
"SDBD87","2021-12-08","951.1","951.1","951.1","951.1","-0.43","25"
"SDBD87","2021-12-07","951.3","955.2","951.3","955.2","0.17","75"
"SDBD87","2021-12-05","954.6","954.6","953.6","953.6","-0.09","125"
"SDBD87","2021-12-02","954.5","954.5","954.5","954.5","-0.07","25"
"SDBD87","2021-12-01","955.2","955.2","955.2","955.2","-0.04","25"
"SDBD87","2021-11-29","960","960","955.6","955.6","-0.46","150"
"SDBD87","2021-11-28","960","960","960","960","0.00","50"
"SDBD87","2021-11-25","960","960","960","960","0.24","25"
"SDBD87","2021-11-21","960","960","957.7","957.7","-0.24","100"
"SDBD87","2021-11-18","960","960","960","960","0.00","25"
"SDBD87","2021-11-17","960","960","960","960","0.00","50"
"SDBD87","2021-11-16","960","960","960","960","-0.01","100"
"SDBD87","2021-11-15","960.1","960.1","960.1","960.1","0.01","50"
"SDBD87","2021-11-14","960","960","960","960","0.00","50"
"SDBD87","2021-11-11","960","960","960","960","-0.72","25"
"SDBD87","2021-11-09","967","967","967","967","0.00","25"
"SDBD87","2021-11-08","970","970","966","967","0.61","80"
"SDBD87","2021-11-01","960","976.1","960","961.1","0.43","395"
"SDBD87","2021-10-31","950","957","950","957","-0.52","105"
"SDBD87","2021-10-28","960","962","960","962","0.73","125"
"SDBD87","2021-10-27","954.1","955","954.1","955","-0.51","150"
"SDBD87","2021-10-26","950","960","950","959.9","-0.01","425"
"SDBD87","2021-10-25","980","980","945","960","-4.00","500"
"SDBD87","2021-10-21","1000","1000","1000","1000","0.00","25"
