"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SDESI","2020-08-13","800","817","800","800","-0.50","3118"
"SDESI","2020-08-12","813","820","797","804","-2.90","2503"
"SDESI","2020-08-11","840","863","815","828","-0.36","4046"
"SDESI","2020-08-10","828","841","813","831","2.34","1541"
"SDESI","2020-08-09","784","813","760","812","1.50","2537"
"SDESI","2020-08-06","811","811","796","800","-3.03","1463"
"SDESI","2020-08-05","856","856","822","830","-1.19","624"
"SDESI","2020-08-03","840","850","831","840","0.00","1299"
"SDESI","2020-08-02","857","857","825","840","-3.89","1405"
"SDESI","2020-07-30","865","882","835","874","0.34","1952"
"SDESI","2020-07-29","882","882","860","871","-3.22","3249"
"SDESI","2020-07-28","891","918","884","900","0.00","1874"
"SDESI","2020-07-27","911","914","895","896","-1.54","2283"
"SDESI","2020-07-26","900","910","895","910","0.22","2936"
"SDESI","2020-07-23","880","910","880","908","2.02","2180"
"SDESI","2020-07-22","905","956","880","890","-1.11","1685"
"SDESI","2020-07-21","909","930","893","900","-1.10","2305"
"SDESI","2020-07-20","938","938","892","910","-1.09","3159"
"SDESI","2020-07-19","911","920","911","920","0.99","20"
"SDESI","2020-07-16","934","943","910","911","-1.62","2023"
"SDESI","2020-07-15","950","955","922","926","-3.04","1477"
"SDESI","2020-07-14","960","974","930","955","-0.83","2084"
"SDESI","2020-07-13","985","1003","914","963","-0.31","2578"
"SDESI","2020-07-12","925","966","904","966","6.15","2335"
"SDESI","2020-07-09","882","910","870","910","1.22","1225"
"SDESI","2020-07-08","930","948","880","899","-1.43","3671"
"SDESI","2020-07-07","888","941","888","912","4.71","4477"
"SDESI","2020-07-06","795","873","790","871","9.70","1756"
"SDESI","2020-07-05","763","794","763","794","3.93","1376"
"SDESI","2020-07-02","800","816","764","764","-3.29","468"
"SDESI","2020-07-01","760","790","760","790","4.08","309"
"SDESI","2020-06-30","759","759","759","759","1.88","10"
"SDESI","2020-06-29","745","745","745","745","-1.97","336"
"SDESI","2020-05-13","760","760","760","760","-1.94","10"
"SDESI","2020-03-22","775","775","775","775","-1.65","99"
"SDESI","2020-03-19","769","818","765","788","0.51","2599"
"SDESI","2020-03-18","793","835","729","799","-1.24","1868"
"SDESI","2020-03-17","825","825","777","809","-3.69","3234"
"SDESI","2020-03-16","860","877","840","840","-1.18","3667"
"SDESI","2020-03-15","876","890","840","850","-4.82","3062"
"SDESI","2020-03-12","940","940","890","893","-5.00","4967"
"SDESI","2020-03-11","870","951","832","940","8.67","5037"
"SDESI","2020-03-10","918","918","865","865","-7.59","421"
"SDESI","2020-03-05","953","1020","898","936","-3.70","6716"
"SDESI","2020-03-04","1060","1060","972","972","-10.00","6216"
"SDESI","2020-03-03","1200","1176","1080","1080","-10.00","5564"
"SDESI","2020-03-01","1190","1209","1123","1200","0.84","7022"
"SDESI","2020-02-27","1229","1230","1176","1190","-3.49","6537"
"SDESI","2020-02-26","1210","1247","1199","1233","1.90","4706"
"SDESI","2020-02-25","1078","1210","1060","1210","10.00","9052"
"SDESI","2020-02-24","1108","1179","1086","1100","-0.72","11223"
"SDESI","2020-02-23","1000","1108","1000","1108","9.92","16198"
"SDESI","2020-02-20","983","1008","971","1008","2.54","18881"
"SDESI","2020-02-19","985","1000","928","983","0.92","8400"
"SDESI","2020-02-18","998","1017","940","959","-2.34","10323"
"SDESI","2020-02-17","1013","1050","963","982","-1.21","874"
"SDESI","2020-02-16","976","1015","950","994","3.33","5723"
"SDESI","2020-02-13","953","1010","915","962","2.34","10432"
"SDESI","2020-02-12","855","940","855","940","8.92","13188"
"SDESI","2020-02-11","850","866","842","863","2.74","6218"
"SDESI","2020-02-10","850","867","833","840","0.00","2232"
"SDESI","2020-02-09","850","850","834","840","-0.12","2190"
"SDESI","2020-02-06","880","880","841","841","-2.66","3511"
"SDESI","2020-02-05","880","880","856","864","0.00","1601"
"SDESI","2020-02-04","874","877","846","864","-1.14","5725"
"SDESI","2020-02-03","900","903","860","874","-1.47","2626"
"SDESI","2020-02-02","900","900","855","870","-1.47","8640"
"SDESI","2020-01-30","886","906","870","870","0.12","9646"
"SDESI","2020-01-29","821","869","820","869","5.85","11584"
"SDESI","2020-01-28","813","833","799","821","2.88","15536"
"SDESI","2020-01-27","779","800","763","798","4.45","4098"
"SDESI","2020-01-26","779","783","746","764","-3.78","6890"
"SDESI","2020-01-23","818","818","771","794","-1.00","3612"
"SDESI","2020-01-22","770","802","763","802","3.89","5100"
"SDESI","2020-01-21","790","800","760","772","-0.39","4344"
"SDESI","2020-01-20","851","851","760","760","-8.98","2732"
"SDESI","2020-01-19","820","860","805","835","3.86","4352"
"SDESI","2020-01-16","770","800","741","798","5.70","6301"
"SDESI","2020-01-15","750","760","727","745","0.95","1878"
"SDESI","2020-01-14","735","752","707","738","-1.34","2437"
"SDESI","2020-01-13","759","805","747","748","-3.23","7698"
"SDESI","2020-01-12","735","773","725","759","3.55","6359"
"SDESI","2020-01-09","687","741","662","733","8.75","9496"
"SDESI","2020-01-08","680","698","654","674","-0.15","6227"
"SDESI","2020-01-07","655","704","633","675","4.65","11643"
