"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SEF","2022-05-05","10.75","10.75","10.6","10.75","-0.46","43930"
"SEF","2022-05-04","10.84","10.84","10.64","10.8","-0.37","68400"
"SEF","2022-05-02","10.79","10.85","10.75","10.84","-1.28","65700"
"SEF","2022-04-28","10.77","10.98","10.77","10.98","0.18","3550"
"SEF","2022-04-27","11","11","10.58","10.96","-2.32","86200"
"SEF","2022-04-26","10.92","11.22","10.78","11.22","2.75","71175"
"SEF","2022-04-25","10.5","10.92","10.5","10.92","4.00","152698"
"SEF","2022-04-24","10.37","10.57","10.37","10.5","-0.57","9800"
"SEF","2022-04-21","10.58","10.58","10.42","10.56","-2.04","39030"
"SEF","2022-04-20","10.69","10.79","10.56","10.78","1.41","109500"
"SEF","2022-04-19","10.23","10.63","10.23","10.63","2.21","58350"
"SEF","2022-04-18","10.5","10.5","10.33","10.4","-0.76","64800"
"SEF","2022-04-17","10.5","10.9","10.31","10.48","0.77","63950"
"SEF","2022-04-13","10.4","10.52","10.4","10.4","0.68","6840"
"SEF","2022-04-12","10.59","10.6","10.33","10.33","-2.55","50300"
"SEF","2022-04-11","10.57","10.8","10.56","10.6","-1.40","307275"
"SEF","2022-04-07","10.7","10.89","10.7","10.75","-0.56","36875"
"SEF","2022-04-06","10.6","10.81","10.6","10.81","1.98","51632"
"SEF","2022-04-05","10.58","10.6","10.58","10.6","-0.93","2750"
"SEF","2022-04-04","10.79","10.9","10.57","10.7","-2.64","24200"
"SEF","2022-04-03","10.85","10.99","10.85","10.99","0.73","94075"
"SEF","2022-03-31","11.04","11.25","10.91","10.91","0.55","119720"
"SEF","2022-03-30","10.82","10.85","10.77","10.85","-1.18","54407"
"SEF","2022-03-29","10.85","10.98","10.81","10.98","0.27","19100"
"SEF","2022-03-28","10.87","10.95","10.86","10.95","1.01","45100"
"SEF","2022-03-27","10.81","10.9","10.81","10.84","-0.09","13454"
"SEF","2022-03-24","10.91","10.91","10.85","10.85","-1.18","37500"
"SEF","2022-03-23","10.85","10.99","10.85","10.98","0.37","26500"
"SEF","2022-03-22","11","11.1","10.94","10.94","-0.27","6500"
"SEF","2022-03-21","10.75","11.01","10.62","10.97","2.05","24300"
"SEF","2022-03-20","10.79","10.79","10.61","10.75","-2.09","22120"
"SEF","2022-03-16","10.99","10.99","10.78","10.98","-0.09","22380"
"SEF","2022-03-15","10.78","11","10.7","10.99","0.18","94345"
"SEF","2022-03-14","10.96","10.97","10.96","10.97","1.67","19000"
"SEF","2022-03-13","10.4","10.79","10.4","10.79","2.76","6900"
"SEF","2022-03-10","10.3","10.5","10.3","10.5","0.48","16970"
"SEF","2022-03-09","10.65","10.65","10.27","10.45","0.00","57900"
"SEF","2022-03-07","10.51","10.57","10.45","10.45","-1.14","48075"
"SEF","2022-03-06","10.44","10.7","10.43","10.57","0.19","38850"
"SEF","2022-03-02","10.61","10.61","10.5","10.55","-2.04","23400"
"SEF","2022-02-28","10.98","10.98","10.55","10.77","-1.91","85100"
"SEF","2022-02-27","11.16","11.18","10.77","10.98","0.09","22150"
"SEF","2022-02-24","10.86","10.97","10.67","10.97","-0.18","45250"
"SEF","2022-02-23","11","11","10.9","10.99","0.64","81000"
"SEF","2022-02-22","11.11","11.11","10.9","10.92","0.18","41600"
"SEF","2022-02-21","10.78","11.2","10.78","10.9","-0.91","9050"
"SEF","2022-02-20","11.11","11.17","10.8","11","-0.18","32710"
"SEF","2022-02-17","11.03","11.03","11.02","11.02","-0.72","8600"
