"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SENFLOAT","2022-05-05","155.55","139.72","136.92","137.79","0.00","1113612608.6"
"SENFLOAT","2022-05-04","141.79","141.78","139.53","139.66","0.00","806729932.8"
"SENFLOAT","2022-05-02","144.08","144.08","141.23","141.47","0.00","882864398.99"
"SENFLOAT","2022-04-28","145.94","146.78","143.98","144.09","0.00","912290237.9"
"SENFLOAT","2022-04-27","145.48","145.72","143.59","145.71","0.00","690197973.4"
"SENFLOAT","2022-04-26","145.4","146.88","143.97","145.37","0.00","678665741"
"SENFLOAT","2022-04-25","147.91","149.35","145.32","145.4","0.00","1227256585.3"
"SENFLOAT","2022-04-24","142.06","148.29","141.88","147.53","0.00","1421436317.8"
"SENFLOAT","2022-04-21","142.11","142.3","139.25","141.59","0.00","1021553998"
"SENFLOAT","2022-04-20","144.04","144.27","141.1","141.47","0.00","917058687.5"
"SENFLOAT","2022-04-19","142.99","144.27","140.67","143.4","0.00","879662737.9"
"SENFLOAT","2022-04-18","143.89","143.99","141.81","142.2","0.00","999340905.8"
"SENFLOAT","2022-04-17","146.36","146.91","143.66","143.81","0.00","914466688.2"
"SENFLOAT","2022-04-13","143.53","145.77","142.47","145.61","0.00","947450155.6"
"SENFLOAT","2022-04-12","145.37","145.53","142.93","143.47","0.00","980049637.3"
"SENFLOAT","2022-04-11","148.05","150.29","144.87","145.14","0.00","1530299797.9"
"SENFLOAT","2022-04-07","145.01","148","145","147.36","0.00","1353154275.4"
"SENFLOAT","2022-04-06","146.62","147.41","144.54","144.99","0.00","1336770747.99"
"SENFLOAT","2022-04-05","149.69","149.73","145.61","146.61","0.00","1911008860.9"
"SENFLOAT","2022-04-04","149.93","150.53","148.61","148.86","0.00","1072149725.2"
"SENFLOAT","2022-04-03","151.21","151.73","149.14","149.53","0.00","1011505746.1"
"SENFLOAT","2022-03-31","153.22","154.7","150.97","151.21","0.00","1213545905.9"
"SENFLOAT","2022-03-30","150.63","153.36","150.02","153.21","0.00","1448082845.26"
"SENFLOAT","2022-03-29","150.39","152.44","150.15","150.49","0.00","1137617797.3"
"SENFLOAT","2022-03-28","153.33","153.77","151.01","151.29","0.00","1586926939.06"
"SENFLOAT","2022-03-27","155.75","156.6","152.65","153.2","0.00","3373031525.6"
"SENFLOAT","2022-03-24","157.61","157.64","155.51","155.7","0.00","2010650059.2"
"SENFLOAT","2022-03-23","159.18","159.29","157.26","157.59","0.00","1359673623.9"
"SENFLOAT","2022-03-22","158.51","159.92","158.51","159.15","0.00","1573158585"
"SENFLOAT","2022-03-21","157.24","158.44","156.03","158.44","0.00","1641844910.9"
"SENFLOAT","2022-03-20","158.03","158.36","156.25","156.96","0.00","1493788019.5"
"SENFLOAT","2022-03-16","158.84","159.37","157.33","157.77","0.00","1840574688.8"
"SENFLOAT","2022-03-15","160.4","160.69","158.17","158.79","0.00","2280701032.2"
"SENFLOAT","2022-03-14","160.53","160.89","158.37","160.25","0.00","949000118.1"
"SENFLOAT","2022-03-13","155.08","159.79","155.07","159.67","0.00","3243481121"
"SENFLOAT","2022-03-10","151.31","154.51","150.36","154.5","0.00","1860428875.5"
"SENFLOAT","2022-03-07","153.37","155.31","152.95","153.42","0.00","1522750239.3"
"SENFLOAT","2022-03-06","152.92","155.03","152.49","153.67","0.00","1536502784.4"
"SENFLOAT","2022-03-02","156.8","156.8","152.96","153.21","0.00","2292388315.4"
"SENFLOAT","2022-02-28","159.29","161.32","156.42","156.8","0.00","2059221260.7"
"SENFLOAT","2022-02-27","159.27","160.79","158.14","158.95","0.00","1851989354.3"
"SENFLOAT","2022-02-24","162.69","162.68","159.02","159.4","0.00","2515879284"
"SENFLOAT","2022-02-23","163.74","165.12","162.74","162.88","0.00","1623737154"
"SENFLOAT","2022-02-22","162.94","164.63","162.93","164.05","0.00","1954456875.5"
"SENFLOAT","2022-02-21","161.45","162.93","161.21","162.9","0.00","1790407490.2"
"SENFLOAT","2022-02-20","162.44","162.65","159.73","161.43","0.00","2224860760.7"
