"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SENSITIVE","2022-05-05","436.84","437.04","428.55","432.55","0.00","1508717745.2"
"SENSITIVE","2022-05-04","443.04","443.53","434.88","436.88","0.00","1154300834.5"
"SENSITIVE","2022-05-02","450.22","450.33","441.14","441.79","0.00","1279243627.69"
"SENSITIVE","2022-04-28","455.61","457.3","449.57","450.24","0.00","1363368003.5"
"SENSITIVE","2022-04-27","453.23","454.56","448.27","454.56","0.00","1023901249.9"
"SENSITIVE","2022-04-26","454.69","457.79","449.81","452.95","0.00","955897954.6"
"SENSITIVE","2022-04-25","461.29","464.61","453.68","454.69","0.00","1839402263.8"
"SENSITIVE","2022-04-24","444.74","463.22","444.32","460.88","0.00","2025767112"
"SENSITIVE","2022-04-21","442.68","445.11","436.46","443.14","0.00","1436902827.8"
"SENSITIVE","2022-04-20","449.77","450.89","440.43","441.08","0.00","1223568686.9"
"SENSITIVE","2022-04-19","445.1","450.56","438.92","447.76","0.00","1238587221.8"
"SENSITIVE","2022-04-18","451.24","451.53","443.27","444.15","0.00","1444284679.3"
"SENSITIVE","2022-04-17","458.33","460.52","449.88","450.97","0.00","1228670754.2"
"SENSITIVE","2022-04-13","449.32","456.11","446.35","456.09","0.00","1302594105.5"
"SENSITIVE","2022-04-12","455.66","457.11","448.26","449.12","0.00","1379730285.2"
"SENSITIVE","2022-04-11","464.84","471.75","454.2","454.87","0.00","2044730063.1"
"SENSITIVE","2022-04-07","455.73","464.64","455.61","463.75","0.00","1855416070.1"
"SENSITIVE","2022-04-06","458.23","460.44","452.29","455.6","0.00","1811776070.69"
"SENSITIVE","2022-04-05","468.96","469.06","455.27","458.22","0.00","2619663828"
"SENSITIVE","2022-04-04","469.19","472.27","466.01","466.56","0.00","1429006587.4"
"SENSITIVE","2022-04-03","475.47","476.85","468.4","469.03","0.00","1327419838.7"
"SENSITIVE","2022-03-31","480.1","484.37","474.22","475.47","0.00","1642598126.4"
