"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SEOS","2019-07-21","10","10.94","10.8","10.85","-0.82","150400"
"SEOS","2019-07-18","10","10.95","10.94","10.94","-0.36","11000"
"SEOS","2019-07-17","10","10.98","10.8","10.98","1.48","36800"
"SEOS","2019-07-16","10","10.82","10.71","10.82","1.60","101221"
"SEOS","2019-07-15","10","10.78","10.57","10.65","0.76","14000"
"SEOS","2019-07-14","10","10.6","10.57","10.57","-0.75","10000"
"SEOS","2019-07-11","10","10.79","10.65","10.65","0.47","85900"
"SEOS","2019-07-10","10","10.66","10.6","10.6","-1.03","35000"
"SEOS","2019-07-09","10","10.91","10.71","10.71","0.09","700"
"SEOS","2019-07-08","10","10.72","10.6","10.7","1.81","64000"
"SEOS","2019-07-07","10","10.86","10.51","10.51","0.00","64518"
"SEOS","2019-07-04","10","10.71","10.5","10.51","-1.78","5256970"
"SEOS","2019-07-03","10","10.7","10.55","10.7","0.00","8000"
"SEOS","2019-07-01","10","10.7","10.7","10.7","1.90","1000"
"SEOS","2019-06-30","10","10.75","10.5","10.5","-2.33","12252"
"SEOS","2019-06-27","10","10.75","10.4","10.75","1.90","600"
"SEOS","2019-06-25","10","10.55","10.55","10.55","1.93","1000"
"SEOS","2019-06-24","10","10.35","10.35","10.35","-0.48","25570"
"SEOS","2019-06-20","10","10.4","10.31","10.4","0.48","5500"
"SEOS","2019-06-19","10","10.35","10.35","10.35","-0.10","6500"
"SEOS","2019-06-18","10","10.4","10.35","10.36","-1.80","5346"
"SEOS","2019-06-17","10","10.55","10.15","10.55","4.46","41795"
"SEOS","2019-06-16","10","10.11","10.1","10.1","-0.49","4900"
"SEOS","2019-06-13","10","10.2","10.15","10.15","-1.93","4000"
"SEOS","2019-06-11","10","10.35","10.35","10.35","0.00","5000"
"SEOS","2019-06-10","10.69","10.69","10.35","10.35","-3.27","15398"
"SEOS","2019-06-06","10","10.7","10.7","10.7","1.13","300"
"SEOS","2019-06-04","10","10.58","10.58","10.58","-1.86","3500"
"SEOS","2019-05-30","10","10.92","10.71","10.78","0.65","31350"
"SEOS","2019-05-29","10","10.75","10.55","10.71","0.09","68695"
"SEOS","2019-05-28","10","10.7","10.35","10.7","3.38","36400"
"SEOS","2019-05-27","10","10.35","10.2","10.35","3.50","47600"
"SEOS","2019-05-26","10","10.45","10.39","10.45","2.25","25970"
"SEOS","2019-05-23","10","10.22","10.03","10.22","0.20","26800"
"SEOS","2019-05-22","10","10.2","10.2","10.2","0.00","1000"
"SEOS","2019-05-21","10","10.35","10.2","10.2","-1.45","8000"
"SEOS","2019-05-20","10","10.41","10.21","10.35","-0.48","16600"
"SEOS","2019-05-19","10","10.5","10.35","10.4","-0.95","12246"
"SEOS","2019-05-16","10","10.5","10.5","10.5","1.45","600"
"SEOS","2019-05-15","10","10.71","10.35","10.35","-1.43","46008"
"SEOS","2019-05-14","10","10.7","10.5","10.5","-1.41","16500"
"SEOS","2019-05-13","10","10.65","10.65","10.65","1.43","500"
"SEOS","2019-05-12","10","10.5","10.5","10.5","1.94","3000"
"SEOS","2019-05-08","10","10.3","10.3","10.3","1.48","5000"
"SEOS","2019-05-07","10","10.3","10.1","10.15","-1.46","21700"
"SEOS","2019-05-06","10","10.5","10.2","10.3","-2.83","25384"
"SEOS","2019-05-05","10","10.6","10.6","10.6","0.00","1200"
"SEOS","2019-05-02","10","10.6","10.6","10.6","0.95","5600"
"SEOS","2019-04-30","10","10.6","10.5","10.5","-0.47","21500"
"SEOS","2019-04-29","10","10.75","10.55","10.55","-1.40","5000"
"SEOS","2019-04-28","10","10.7","10.61","10.7","0.94","21200"
"SEOS","2019-04-25","10","10.89","10.6","10.6","0.00","6964"
"SEOS","2019-04-24","10","10.6","10.35","10.6","4.43","57000"
"SEOS","2019-04-23","10","10.15","10.15","10.15","-0.88","4400"
"SEOS","2019-04-21","10","10.24","10.04","10.24","1.99","4500"
"SEOS","2019-04-18","9","10.04","9.85","10.04","-0.10","1000"
