"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SFCL","2022-05-05","259.1","264.1","253","253","-4.06","5039"
"SFCL","2022-05-04","274","280.4","263","263.7","-4.11","3974"
"SFCL","2022-05-02","282","284.9","267","275","-4.25","5238"
"SFCL","2022-04-28","293.7","298","287","287.2","-0.28","10711"
"SFCL","2022-04-27","277","288","275.1","288","2.86","2413"
"SFCL","2022-04-26","285","290","274","280","0.00","4568"
"SFCL","2022-04-25","285","300","280","280","0.00","14289"
"SFCL","2022-04-24","263","283.8","261","280","8.53","11777"
"SFCL","2022-04-21","256.7","265","245","258","-0.77","10649"
"SFCL","2022-04-20","277.4","277.4","250.2","260","-4.41","8076"
"SFCL","2022-04-19","265.1","275","263","272","0.74","9726"
"SFCL","2022-04-18","275","285.5","266.2","270","-3.57","7599"
"SFCL","2022-04-17","283","298","277","280","-1.41","6176"
"SFCL","2022-04-13","283","288","275","284","2.16","4507"
"SFCL","2022-04-12","291","291.1","278","278","-4.47","6378"
"SFCL","2022-04-11","308","311.9","289.4","291","-3.64","7184"
"SFCL","2022-04-07","290","308","289.1","302","2.37","8155"
"SFCL","2022-04-06","299.1","309","295","295","-2.77","11416"
"SFCL","2022-04-05","307.1","309","299.1","303.4","-3.07","8553"
"SFCL","2022-04-04","324","324.9","313","313","-1.76","5852"
"SFCL","2022-04-03","321","325","318.5","318.6","-0.75","1921"
"SFCL","2022-03-31","335","335","321","321","-3.60","6915"
"SFCL","2022-03-30","328","334.4","321.5","333","3.42","7707"
"SFCL","2022-03-29","318","324","315","322","1.26","4771"
"SFCL","2022-03-28","324","331","315","318","-3.34","7114"
"SFCL","2022-03-27","340","340","320.1","329","-2.72","10200"
"SFCL","2022-03-24","350","351","338.1","338.2","-3.37","10416"
"SFCL","2022-03-23","359.9","360","343","350","-1.41","5548"
"SFCL","2022-03-22","362","362.9","352.8","355","0.00","7786"
"SFCL","2022-03-21","341.1","359.9","341.1","355","3.41","8955"
"SFCL","2022-03-20","345","350.8","343","343.3","-0.49","4536"
"SFCL","2022-03-16","349.9","352","345","345","-1.71","5237"
"SFCL","2022-03-15","355","355","345","351","-1.68","6402"
"SFCL","2022-03-14","365.1","365.1","350","357","-0.28","1751"
"SFCL","2022-03-13","345.7","360","345.7","358","5.60","17583"
"SFCL","2022-03-10","322","350.1","317","339","5.28","10558"
"SFCL","2022-03-09","332","337","318","322","-3.16","13081"
"SFCL","2022-03-07","343","343","332.3","332.5","-1.34","7425"
"SFCL","2022-03-06","343","350","336.2","337","-1.46","9178"
"SFCL","2022-03-02","348","354","335.1","342","-3.66","12531"
"SFCL","2022-02-28","370","377","353.1","355","-4.05","12792"
"SFCL","2022-02-27","372","377","364.6","370","-0.54","7386"
"SFCL","2022-02-24","375.4","383","368.1","372","-2.87","9633"
"SFCL","2022-02-23","385","387.6","380.5","383","0.00","6669"
"SFCL","2022-02-22","383.9","386","380","383","1.59","9994"
"SFCL","2022-02-21","377","378.9","373.1","377","1.34","7758"
"SFCL","2022-02-20","382","387","370","372","-2.64","18205"
"SFCL","2022-02-17","385","390","382","382.1","-1.52","8244"
"SFCL","2022-02-16","395","404.1","385","388","-1.77","16308"
"SFCL","2022-02-15","380","395","378","395","4.50","8416"
"SFCL","2022-02-14","379","392","375","378","1.59","19886"
"SFCL","2022-02-13","382.3","382.3","372","372.1","-4.61","23192"
"SFCL","2022-02-10","400","402","390","390.1","-2.96","13865"
"SFCL","2022-02-09","415","415","398","402","-1.47","14335"
"SFCL","2022-02-08","406.9","431.5","404","408","0.00","42686"
"SFCL","2022-02-07","398.1","405","397","399","0.23","8548"
"SFCL","2022-02-06","408","411","397","398.1","-2.45","21192"
"SFCL","2022-02-03","418.2","434","408","408.1","-0.46","28581"
"SFCL","2022-02-01","404","413.1","400","410","2.50","17942"
"SFCL","2022-01-31","420","420","400","400","-2.91","21103"
"SFCL","2022-01-30","392","416","392","412","7.01","19909"
"SFCL","2022-01-27","390.1","397.8","380","385","0.65","24317"
"SFCL","2022-01-26","404","404","381","382.5","-3.65","25100"
"SFCL","2022-01-25","396.1","418.9","382.2","397","-1.73","32522"
"SFCL","2022-01-24","415","427","396.4","404","-4.38","45880"
