"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SFFILP","2019-09-18","138","138","138","138","0.00","3047"
"SFFILP","2019-09-11","138","138","138","138","0.00","30000"
"SFFILP","2018-10-09","145","145","145","145","0.00","10000"
"SFFILP","2018-09-10","145","145","145","145","0.00","47700"
"SFFILP","2017-12-11","250","250","250","250","0.00","10000"
"SFFILP","2016-12-01","392","392","392","392","-2.00","16800"
"SFFILP","2015-10-15","100","100","100","100","0.00","7040"
"SFFILP","2014-12-18","100","100","100","100","0.00","5000"
"SFFILP","2014-09-04","100","100","100","100","0.00","3330"
"SFFILP","2014-08-20","101","100","100","100","-0.99","5020"
"SFFILP","2012-08-05","100","101","101","101","1.00","14710"
