"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SFFIL","2020-01-22","200","210","200","210","3.96","6787"
"SFFIL","2020-01-21","202","205","202","202","-1.94","4802"
"SFFIL","2020-01-20","212","212","203","206","-4.19","5475"
"SFFIL","2020-01-19","205","217","201","217","5.74","3949"
"SFFIL","2020-01-16","232","241","232","236","2.16","12324"
"SFFIL","2020-01-15","216","228","216","228","6.05","6855"
"SFFIL","2020-01-14","205","219","202","215","6.44","4177"
"SFFIL","2020-01-13","205","205","202","202","-2.88","1469"
"SFFIL","2020-01-12","199","207","196","207","4.02","1167"
"SFFIL","2020-01-09","199","199","196","199","-1.49","605"
"SFFIL","2020-01-08","199","202","199","202","2.54","3598"
"SFFIL","2020-01-07","195","200","195","197","1.55","1980"
"SFFIL","2020-01-06","194","197","193","194","0.00","2654"
"SFFIL","2020-01-05","194","195","193","194","1.04","6650"
"SFFIL","2020-01-01","192","194","190","192","1.59","3150"
"SFFIL","2019-12-31","191","191","186","189","-2.58","954"
"SFFIL","2019-12-30","191","194","191","194","0.52","538"
"SFFIL","2019-12-29","189","193","189","193","3.76","3439"
"SFFIL","2019-12-26","189","189","186","186","-2.62","115"
"SFFIL","2019-12-25","185","191","185","191","3.80","271"
"SFFIL","2019-12-24","194","194","184","184","-4.17","768"
"SFFIL","2019-12-23","174","192","174","192","9.71","1718"
"SFFIL","2019-12-22","178","178","175","175","-1.69","39"
"SFFIL","2019-12-18","175","178","175","178","0.00","20"
"SFFIL","2019-12-17","179","179","178","178","-0.56","220"
"SFFIL","2019-12-16","180","180","179","179","-0.56","600"
"SFFIL","2019-12-15","187","187","185","185","-1.07","726"
"SFFIL","2019-12-12","187","187","187","187","1.63","15"
"SFFIL","2019-12-11","182","185","182","184","2.79","1223"
"SFFIL","2019-12-10","179","179","179","179","1.70","100"
"SFFIL","2019-12-09","176","176","176","176","1.73","200"
"SFFIL","2019-12-08","170","173","170","173","2.37","616"
"SFFIL","2019-12-05","169","169","169","169","1.81","80"
"SFFIL","2019-12-04","167","167","164","166","1.22","571"
"SFFIL","2019-12-03","164","164","164","164","-1.80","100"
"SFFIL","2019-12-02","166","167","165","167","0.60","1100"
"SFFIL","2019-12-01","168","168","164","166","-0.60","1845"
"SFFIL","2019-11-28","167","167","167","167","-1.76","100"
"SFFIL","2019-11-27","168","170","168","170","3.03","45"
"SFFIL","2019-11-26","167","167","164","165","-2.94","905"
"SFFIL","2019-11-25","168","170","168","170","1.19","100"
"SFFIL","2019-11-24","166","168","165","168","0.00","380"
"SFFIL","2019-11-20","169","169","168","168","-1.18","297"
"SFFIL","2019-11-19","176","176","170","170","-2.86","2095"
"SFFIL","2019-11-18","176","176","175","175","-0.57","280"
"SFFIL","2019-11-17","176","176","176","176","-1.68","20"
"SFFIL","2019-11-14","178","180","179","179","0.56","230"
"SFFIL","2019-11-12","177","178","177","178","0.00","1050"
"SFFIL","2019-11-11","178","178","178","178","0.00","1207"
"SFFIL","2019-11-10","179","180","178","178","-1.66","318"
"SFFIL","2019-11-07","184","184","181","181","-1.63","330"
"SFFIL","2019-11-05","188","190","184","184","-3.16","1880"
"SFFIL","2019-11-04","192","192","189","190","-2.56","580"
"SFFIL","2019-11-03","198","198","195","195","0.00","290"
"SFFIL","2019-10-23","198","198","195","195","-1.52","77"
"SFFIL","2019-10-22","207","207","198","198","0.00","215"
"SFFIL","2019-10-21","198","198","198","198","1.02","100"
"SFFIL","2019-10-16","199","199","196","196","0.00","265"
"SFFIL","2019-10-15","196","196","196","196","1.55","10"
"SFFIL","2019-10-03","193","193","193","193","-1.03","310"
"SFFIL","2019-10-02","198","198","195","195","0.00","880"
"SFFIL","2019-10-01","195","195","195","195","1.04","50"
"SFFIL","2019-09-29","204","204","193","193","-1.03","760"
"SFFIL","2019-09-26","192","195","192","195","1.56","260"
"SFFIL","2019-09-24","196","200","196","198","-1.00","405"
"SFFIL","2019-09-23","193","206","193","200","3.90","402"
"SFFIL","2019-09-22","250","260","246","248","-1.59","8789"
"SFFIL","2019-09-19","250","252","243","252","1.20","2731"
"SFFIL","2019-09-18","252","252","249","249","0.00","1623"
"SFFIL","2019-09-17","251","254","233","249","-0.40","2385"
"SFFIL","2019-09-16","249","251","249","250","2.04","571"
"SFFIL","2019-09-15","245","245","245","245","-2.00","1128"
"SFFIL","2019-09-12","250","250","250","250","0.00","85"
"SFFIL","2019-09-11","251","251","249","250","0.00","370"
"SFFIL","2019-09-10","253","254","250","250","-0.40","933"
"SFFIL","2019-09-09","243","251","243","251","2.03","211"
"SFFIL","2019-09-08","252","267","246","246","-0.81","1084"
"SFFIL","2019-09-05","260","265","248","248","-2.75","4365"
"SFFIL","2019-09-04","262","263","255","255","-3.41","2080"
"SFFIL","2019-09-03","265","265","255","264","1.54","450"
"SFFIL","2019-09-02","263","264","260","260","0.00","268"
"SFFIL","2019-09-01","269","269","258","260","-1.89","742"
"SFFIL","2019-08-29","262","265","260","265","1.92","1415"
"SFFIL","2019-08-28","268","268","260","260","-1.89","7760"
"SFFIL","2019-08-27","265","274","265","265","1.92","832"
"SFFIL","2019-08-26","270","275","260","260","-4.41","3745"
"SFFIL","2019-08-25","262","272","261","272","4.21","775"
"SFFIL","2019-08-22","269","272","261","261","-4.74","676"
"SFFIL","2019-08-21","274","274","274","274","-1.79","10"
"SFFIL","2019-08-20","282","282","275","279","0.72","300"
"SFFIL","2019-08-19","267","277","267","277","4.14","125"
"SFFIL","2019-08-18","270","270","266","266","-1.48","2323"
"SFFIL","2019-08-15","270","270","270","270","0.00","90"
"SFFIL","2019-08-14","275","275","270","270","0.00","45"
"SFFIL","2019-08-13","275","275","270","270","0.00","670"
"SFFIL","2019-08-12","268","271","265","270","1.12","3890"
"SFFIL","2019-08-11","261","270","261","267","4.30","2105"
"SFFIL","2019-08-08","260","260","256","256","-1.54","1011"
"SFFIL","2019-08-07","260","260","260","260","0.00","635"
"SFFIL","2019-08-06","261","261","259","260","-2.26","690"
"SFFIL","2019-08-05","270","270","265","266","-1.48","2695"
"SFFIL","2019-08-04","262","271","262","270","3.05","2770"
"SFFIL","2019-08-01","260","265","260","262","2.75","857"
"SFFIL","2019-07-31","270","275","255","255","-3.77","1770"
"SFFIL","2019-07-30","265","286","265","265","1.92","7130"
"SFFIL","2019-07-29","241","260","241","260","9.70","1442"
"SFFIL","2019-07-28","226","237","226","237","9.72","1701"
"SFFIL","2019-07-24","215","216","215","216","2.37","669"
"SFFIL","2019-07-23","214","215","211","211","-3.21","538"
"SFFIL","2019-07-21","215","218","215","218","1.40","2307"
"SFFIL","2019-07-18","215","216","215","215","0.94","1380"
"SFFIL","2019-07-17","207","213","207","213","3.90","597"
"SFFIL","2019-07-16","205","207","205","205","0.00","190"
"SFFIL","2019-07-15","206","206","205","205","-1.91","500"
"SFFIL","2019-07-14","209","209","209","209","1.95","100"
"SFFIL","2019-07-11","205","209","205","205","-1.91","91"
"SFFIL","2019-07-10","209","209","209","209","1.95","15"
"SFFIL","2019-07-09","205","205","205","205","1.99","212"
"SFFIL","2019-07-08","201","201","201","201","-1.95","10"
"SFFIL","2019-07-07","204","208","204","205","-1.44","160"
"SFFIL","2019-07-04","211","211","207","208","-3.26","355"
"SFFIL","2019-07-03","218","218","215","215","0.47","125"
"SFFIL","2019-07-02","214","214","214","214","-1.83","10"
"SFFIL","2019-06-30","218","218","218","218","0.46","210"
"SFFIL","2019-06-26","217","217","217","217","1.88","30"
"SFFIL","2019-06-25","217","217","213","213","-1.84","80"
"SFFIL","2019-06-23","217","217","217","217","1.88","30"
"SFFIL","2019-06-20","209","213","209","213","3.90","82"
"SFFIL","2019-06-17","203","205","203","205","-0.97","62"
"SFFIL","2019-06-16","207","207","207","207","-1.43","56"
"SFFIL","2019-06-13","206","214","206","210","0.00","1010"
"SFFIL","2019-06-12","210","210","210","210","-1.87","10"
"SFFIL","2019-06-10","218","218","214","214","-0.93","143"
"SFFIL","2019-06-06","216","216","216","216","1.89","10"
"SFFIL","2019-06-02","216","216","212","212","-3.64","1260"
"SFFIL","2019-05-30","225","225","220","220","-2.22","280"
"SFFIL","2019-05-26","227","227","225","225","-0.88","130"
"SFFIL","2019-05-23","234","234","227","227","-1.30","520"
"SFFIL","2019-05-22","227","230","227","230","3.14","340"
"SFFIL","2019-05-21","220","223","220","223","1.83","60"
"SFFIL","2019-05-20","219","219","219","219","1.86","80"
"SFFIL","2019-05-19","215","215","215","215","0.00","173"
"SFFIL","2019-05-15","219","219","215","215","0.00","319"
"SFFIL","2019-05-09","219","219","215","215","-1.83","250"
"SFFIL","2019-05-08","219","219","219","219","-1.79","16"
"SFFIL","2019-05-07","223","226","223","223","1.83","463"
"SFFIL","2019-05-05","219","219","219","219","0.00","30"
"SFFIL","2019-05-02","223","223","219","219","-1.79","1438"
"SFFIL","2019-04-30","223","223","223","223","0.00","1000"
"SFFIL","2019-04-29","225","225","223","223","-0.45","762"
"SFFIL","2019-04-28","225","226","222","224","-2.18","1580"
"SFFIL","2019-04-25","225","229","225","229","0.88","27"
"SFFIL","2019-04-24","225","227","225","227","2.25","200"
"SFFIL","2019-04-23","230","230","222","222","-2.63","793"
"SFFIL","2019-04-22","224","228","224","228","3.64","40"
"SFFIL","2019-04-18","222","222","220","220","-2.65","250"
"SFFIL","2019-04-17","219","226","223","226","3.20","510"
"SFFIL","2019-04-16","219","219","219","219","1.86","10"
"SFFIL","2019-04-15","215","215","215","215","-1.38","20"
"SFFIL","2019-04-11","218","218","218","218","1.87","10"
"SFFIL","2019-04-10","211","214","205","214","1.42","886"
"SFFIL","2019-04-09","211","212","211","211","1.93","90"
"SFFIL","2019-04-08","204","207","207","207","1.47","116"
"SFFIL","2019-04-07","207","208","203","204","-3.32","1140"
"SFFIL","2019-04-04","211","211","211","211","-1.86","100"
"SFFIL","2019-04-03","215","215","215","215","-0.46","500"
"SFFIL","2019-04-01","218","218","216","216","-1.82","70"
"SFFIL","2019-03-31","220","220","220","220","0.46","15285"
"SFFIL","2019-03-28","219","219","219","219","-1.79","100"
"SFFIL","2019-03-25","223","223","223","223","-1.76","500"
"SFFIL","2019-03-17","228","228","227","227","0.44","100"
"SFFIL","2019-03-14","226","226","226","226","1.35","200"
"SFFIL","2019-03-12","223","223","219","223","1.83","10"
"SFFIL","2019-03-07","219","219","215","219","1.86","17"
"SFFIL","2019-03-06","211","215","207","215","3.86","47"
