"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SFMF","2022-05-05","11.3","11.48","11.26","11.48","0.17","19300"
"SFMF","2022-05-04","11.7","11.7","11.46","11.46","-1.97","36274"
"SFMF","2022-05-02","11.55","11.69","11.55","11.69","1.39","179935"
"SFMF","2022-04-28","11.7","11.8","11.53","11.53","-3.35","75715"
"SFMF","2022-04-26","11.7","11.93","11.7","11.93","1.97","29270"
"SFMF","2022-04-25","11.5","11.73","11.5","11.7","2.99","2300"
"SFMF","2022-04-24","11.2","11.36","11.2","11.36","0.98","5375"
"SFMF","2022-04-21","11.26","11.27","11.25","11.25","-1.49","12000"
"SFMF","2022-04-20","11.42","11.42","11.42","11.42","0.00","449"
"SFMF","2022-04-19","11.2","11.42","11.2","11.42","1.24","1845"
"SFMF","2022-04-18","11.28","11.28","11.28","11.28","-0.53","2000"
"SFMF","2022-04-17","11.36","11.57","11.28","11.34","0.00","16900"
"SFMF","2022-04-12","11.5","11.79","11.34","11.34","-1.99","29800"
"SFMF","2022-04-11","11.74","11.74","11.57","11.57","-1.36","10800"
"SFMF","2022-04-07","11.6","11.73","11.5","11.73","2.09","32700"
"SFMF","2022-04-06","11.4","11.49","11.4","11.49","-0.09","12200"
"SFMF","2022-04-05","11.61","11.61","11.39","11.5","-0.61","30600"
"SFMF","2022-04-04","11.56","11.6","11.55","11.57","-0.94","23400"
"SFMF","2022-04-03","11.87","11.87","11.68","11.68","0.34","13000"
"SFMF","2022-03-31","11.64","11.64","11.58","11.64","0.00","10500"
"SFMF","2022-03-30","11.44","11.64","11.42","11.64","0.09","14640"
"SFMF","2022-03-29","11.57","11.63","11.41","11.63","0.17","2450"
"SFMF","2022-03-28","11.6","11.7","11.6","11.61","-1.61","5200"
"SFMF","2022-03-27","11.8","11.8","11.8","11.8","-0.08","1425"
"SFMF","2022-03-24","11.7","11.95","11.7","11.81","-0.59","6700"
"SFMF","2022-03-23","11.63","11.88","11.63","11.88","0.76","1300"
"SFMF","2022-03-22","11.75","11.79","11.75","11.79","0.00","12035"
"SFMF","2022-03-21","11.85","11.86","11.63","11.79","1.38","11300"
"SFMF","2022-03-20","11.63","11.72","11.63","11.63","-1.44","8700"
"SFMF","2022-03-16","11.68","11.8","11.64","11.8","-0.51","16800"
"SFMF","2022-03-15","11.69","11.86","11.63","11.86","-0.50","21000"
"SFMF","2022-03-14","11.92","11.92","11.92","11.92","1.88","4200"
"SFMF","2022-03-13","11.75","11.78","11.55","11.7","1.30","32200"
"SFMF","2022-03-10","11.36","11.55","11.36","11.55","0.00","1600"
"SFMF","2022-03-09","11.51","11.55","11.37","11.55","0.87","26500"
"SFMF","2022-03-07","11.45","11.45","11.45","11.45","-1.21","1200"
"SFMF","2022-03-06","11.37","11.79","11.37","11.59","1.93","20329"
"SFMF","2022-03-02","11.51","11.51","11.37","11.37","-1.30","37937"
"SFMF","2022-02-28","11.69","11.7","11.51","11.52","-1.45","59063"
"SFMF","2022-02-27","11.68","11.71","11.68","11.69","-1.60","7200"
"SFMF","2022-02-24","11.63","11.88","11.63","11.88","1.89","20750"
"SFMF","2022-02-23","11.63","11.89","11.63","11.66","-0.34","8700"
"SFMF","2022-02-22","11.74","11.74","11.7","11.7","0.43","29000"
"SFMF","2022-02-21","11.66","11.7","11.65","11.65","-0.09","5270"
"SFMF","2022-02-20","11.63","11.7","11.63","11.66","-0.77","23600"
"SFMF","2022-02-17","11.63","11.75","11.63","11.75","0.77","13100"
"SFMF","2022-02-16","11.61","11.76","11.61","11.66","-1.27","10750"
"SFMF","2022-02-15","11.81","11.81","11.79","11.81","1.46","52670"
"SFMF","2022-02-14","11.58","11.66","11.58","11.64","-0.09","14800"
"SFMF","2022-02-13","11.88","11.95","11.65","11.65","-1.69","9430"
"SFMF","2022-02-10","12.1","12.1","11.85","11.85","-2.07","161270"
"SFMF","2022-02-09","12.39","12.39","12.1","12.1","-0.41","58100"
"SFMF","2022-02-08","12.25","12.3","12.14","12.15","0.00","42061"
"SFMF","2022-02-07","12.05","12.24","12.05","12.24","0.08","8880"
"SFMF","2022-02-06","12.01","12.25","12.01","12.23","0.66","92430"
"SFMF","2022-02-03","12.3","12.3","12.12","12.15","-2.41","67515"
"SFMF","2022-02-01","12.1","12.45","12.1","12.45","1.30","1600"
"SFMF","2022-01-31","12.08","12.29","12.08","12.29","-0.24","17800"
"SFMF","2022-01-30","11.87","12.32","11.85","12.32","3.97","29985"
"SFMF","2022-01-27","11.68","11.91","11.68","11.85","1.46","21500"
"SFMF","2022-01-26","11.68","11.91","11.65","11.68","-1.93","26375"
"SFMF","2022-01-25","11.83","12","11.83","11.91","-0.58","3900"
"SFMF","2022-01-24","12","12.48","11.89","11.98","-2.12","81400"
"SFMF","2022-01-23","12.44","12.45","12.22","12.24","-1.69","124910"
"SFMF","2022-01-20","12.21","12.5","12.16","12.45","0.81","3764969"
"SFMF","2022-01-19","12.11","12.35","12.11","12.35","0.16","111390"
"SFMF","2022-01-18","12.34","12.4","12.31","12.33","0.57","87930"
"SFMF","2022-01-17","11.9","12.26","11.9","12.26","2.00","194413"
"SFMF","2022-01-16","11.71","12.16","11.71","12.02","2.65","231545"
"SFMF","2022-01-13","11.53","11.8","11.53","11.71","-0.34","25100"
"SFMF","2022-01-12","12","12","11.75","11.75","-0.51","15000"
"SFMF","2022-01-11","12.07","12.07","11.63","11.81","-0.34","44201"
"SFMF","2022-01-10","11.6","11.97","11.6","11.85","0.17","40700"
"SFMF","2022-01-09","11.4","11.83","11.4","11.83","3.95","233365"
"SFMF","2022-01-06","11.2","11.39","11.2","11.38","0.00","6380"
"SFMF","2022-01-05","11.22","11.62","11","11.38","-0.52","19200"
"SFMF","2022-01-04","11.22","11.44","11.1","11.44","4.00","18890"
"SFMF","2022-01-03","10.78","11.21","10.78","11","0.00","25487"
"SFMF","2022-01-02","10.73","11.13","10.73","11","0.64","34600"
"SFMF","2021-12-29","10.53","10.93","10.51","10.93","1.96","27800"
"SFMF","2021-12-28","10.62","10.92","10.62","10.72","-0.74","32000"
"SFMF","2021-12-27","10.98","11","10.5","10.8","-0.92","88400"
"SFMF","2021-12-26","11.1","11.1","10.9","10.9","-3.11","44000"
"SFMF","2021-12-23","11.02","11.35","10.8","11.25","2.09","41530"
"SFMF","2021-12-22","10.44","11.02","10.4","11.02","4.85","38700"
"SFMF","2021-12-21","10.33","10.51","10.32","10.51","0.10","74108"
"SFMF","2021-12-20","10.6","11.01","10.5","10.5","-2.78","44200"
"SFMF","2021-12-16","10.62","10.8","10.62","10.8","0.00","18700"
"SFMF","2021-12-15","10.8","11","10.8","10.8","0.00","26560"
"SFMF","2021-12-14","10.8","10.8","10.8","10.8","1.89","1000"
