"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SGI","2022-05-05","497","503.1","488.1","494","-2.56","3109"
"SGI","2022-05-04","510.1","515","505","507","-2.50","1455"
"SGI","2022-05-02","531","534","511.1","520","-3.70","4392"
"SGI","2022-04-28","525.7","545","525.7","540","0.75","1430"
"SGI","2022-04-27","532","545","532","536","-0.92","1501"
"SGI","2022-04-26","544","559","541","541","-2.52","2116"
"SGI","2022-04-25","555","565","550","555","0.00","2979"
"SGI","2022-04-24","528","564.8","526","555","4.82","1794"
"SGI","2022-04-21","517","529.5","510.1","529.5","0.86","1750"
"SGI","2022-04-20","531","540","525","525","-2.78","2952"
"SGI","2022-04-19","550","550","521","540","0.00","1262"
"SGI","2022-04-18","555","555","535.1","540","-3.91","1486"
"SGI","2022-04-17","551","573.2","551","562","0.00","1680"
"SGI","2022-04-13","562","565","546","562","0.00","2307"
"SGI","2022-04-12","565","575","558","562","-2.43","2130"
"SGI","2022-04-11","590","600","576","576","-1.61","5075"
"SGI","2022-04-07","580","598.5","575","585.4","0.91","5316"
"SGI","2022-04-06","585","594","580.1","580.1","-2.18","2875"
"SGI","2022-04-05","610","612","588","593","-4.06","5796"
"SGI","2022-04-04","636","636.4","613","618.1","-0.95","3006"
"SGI","2022-04-03","630","633.5","622.4","624","-2.50","3045"
"SGI","2022-03-31","650","665","617.4","640","-0.62","7669"
"SGI","2022-03-30","630","657.4","623","644","1.90","6531"
"SGI","2022-03-29","635","636","625.5","632","-0.49","5906"
"SGI","2022-03-28","658.2","658.2","632","635.1","-3.48","14600"
"SGI","2022-03-27","612","660","612","658","9.67","46419"
"SGI","2022-03-24","588.1","615","588.1","600","0.17","6035"
"SGI","2022-03-23","593.2","603","590","599","-1.01","3516"
"SGI","2022-03-22","606","609.9","595.3","605.1","0.18","3483"
"SGI","2022-03-21","589.1","604","589.1","604","0.67","1872"
"SGI","2022-03-20","589","600","589","600","0.50","1795"
"SGI","2022-03-16","606.9","606.9","590.6","597","0.34","3215"
"SGI","2022-03-15","580","606.9","573","595","1.88","3800"
"SGI","2022-03-14","575","589.9","571","584","-0.17","3057"
"SGI","2022-03-13","536.1","586","536.1","585","6.97","5542"
"SGI","2022-03-10","536","546.9","529.5","546.9","1.81","1695"
"SGI","2022-03-09","560","560","536.1","537.2","-3.38","1875"
"SGI","2022-03-07","555","566","552","556","-1.40","4263"
"SGI","2022-03-06","555","571","553.1","563.9","0.16","2691"
"SGI","2022-03-02","570","570","551.1","563","-2.93","2081"
"SGI","2022-02-28","570","583","559","580","0.87","5280"
"SGI","2022-02-27","580","594","567","575","-1.71","3860"
"SGI","2022-02-24","608","610","584","585","-3.78","3452"
"SGI","2022-02-23","611","611","602","608","-0.49","1527"
"SGI","2022-02-22","614","616","603.2","611","-0.63","3286"
"SGI","2022-02-21","610","620","600","614.9","1.30","1545"
"SGI","2022-02-20","616","616","595","607","-2.72","4444"
"SGI","2022-02-17","621","630","620","624","-0.16","4974"
"SGI","2022-02-16","605","639","605","625","1.63","2375"
"SGI","2022-02-15","598.9","622","598.9","615","0.64","2255"
"SGI","2022-02-14","605","634","605","611.1","0.02","3740"
"SGI","2022-02-13","632","632","607.1","611","-5.12","5913"
"SGI","2022-02-10","634.1","645","634.1","644","-0.31","2290"
"SGI","2022-02-09","657","658","640.1","646","-1.67","3458"
"SGI","2022-02-08","676.2","698","654","657","0.00","11671"
"SGI","2022-02-07","630.2","663","630.2","663","3.11","6029"
"SGI","2022-02-06","650","653","640","643","-3.02","6270"
"SGI","2022-02-03","675","676","658.1","663","-1.19","10430"
"SGI","2022-02-01","667","677","665.5","671","-0.89","9311"
"SGI","2022-01-31","682","690","672","677","-2.59","5502"
"SGI","2022-01-30","680","702","675","695","2.21","20020"
"SGI","2022-01-27","689.7","689.7","653.1","680","0.56","22106"
"SGI","2022-01-26","638","676.2","627.2","676.2","4.03","20495"
"SGI","2022-01-25","627","677.4","617","650","1.80","31093"
"SGI","2022-01-24","625","649.7","617","638.5","0.24","16237"
"SGI","2022-01-23","630.1","649","630","637","-0.31","12830"
"SGI","2022-01-20","620","639","615.1","639","2.57","7331"
"SGI","2022-01-19","626","635","622.5","623","-1.89","5729"
"SGI","2022-01-18","650","650","629.4","635","-2.28","8413"
"SGI","2022-01-17","654","656","640","649.8","-0.64","9869"
"SGI","2022-01-16","632","658","634.1","654","3.48","15771"
"SGI","2022-01-13","615","633.8","611","632","2.27","11278"
"SGI","2022-01-12","654","654","618","618","-3.74","7330"
"SGI","2022-01-11","603","647","603","642","4.92","16192"
"SGI","2022-01-10","605","617","602.3","611.9","1.01","14559"
"SGI","2022-01-09","588","615","588","605.8","3.03","8488"
"SGI","2022-01-06","594","600","583","588","-1.01","3515"
"SGI","2022-01-05","591","602.8","585.2","594","-1.41","7365"
"SGI","2022-01-04","580","602.5","579","602.5","2.12","7887"
"SGI","2022-01-03","580","600","580","590","1.72","10922"
"SGI","2022-01-02","556.1","585","556.1","580","2.29","5056"
"SGI","2021-12-29","555","577","555","567","2.16","2466"
"SGI","2021-12-28","545","560.2","535","555","-0.02","4412"
"SGI","2021-12-27","609.9","646","555","555.1","-7.17","19138"
"SGI","2021-12-26","547","600","545","598","9.58","13750"
"SGI","2021-12-23","520","545.7","518","545.7","4.90","6316"
"SGI","2021-12-22","515","538","505","520.2","2.00","3671"
"SGI","2021-12-21","487","510","485.1","510","4.29","5760"
"SGI","2021-12-20","490.1","492","480.3","489","-2.22","1152"
"SGI","2021-12-16","506","510","500","500.1","-3.08","3621"
"SGI","2021-12-15","520.2","541.2","493","516","1.18","7486"
"SGI","2021-12-14","484","513","484","510","7.37","1450"
"SGI","2021-12-13","497.7","500","474","475","-6.46","7613"
"SGI","2021-12-12","525.1","530","507.8","507.8","-4.37","3566"
"SGI","2021-12-09","521","531","521","531","0.57","2462"
"SGI","2021-12-08","541","542.5","528","528","-3.30","1770"
"SGI","2021-12-07","550","569","546","546","-2.33","2615"
"SGI","2021-12-06","541.1","561","535","559","1.27","5156"
"SGI","2021-12-05","555","565","550.2","552","-2.30","2570"
"SGI","2021-12-02","580","580","563","565","-2.92","5280"
"SGI","2021-12-01","575","604.5","575","582","-0.68","2152"
"SGI","2021-11-30","576","600","575","586","0.69","3434"
"SGI","2021-11-29","588","600","582","582","-3.00","2623"
"SGI","2021-11-28","580","600","573","600","1.52","6705"
"SGI","2021-11-25","586","595","586","591","-0.67","3959"
"SGI","2021-11-24","587","602","572.5","595","-0.58","5938"
"SGI","2021-11-23","620","620","595","598.5","-3.47","5370"
"SGI","2021-11-22","602","636","601.1","620","1.31","3429"
"SGI","2021-11-21","610","617.5","601.1","612","-1.29","4024"
"SGI","2021-11-18","631","637.6","607","620","-3.13","2613"
"SGI","2021-11-17","643.9","654.9","640","640","-2.59","6080"
"SGI","2021-11-16","615","660","608","657","8.24","5269"
"SGI","2021-11-15","601","625","601","607","2.71","3571"
"SGI","2021-11-14","595","606","587","591","-1.99","4200"
"SGI","2021-11-11","618","625","601","603","-4.13","5944"
"SGI","2021-11-09","648","657","615","629","-4.84","8032"
"SGI","2021-11-08","662","669","656","661","-2.00","3074"
"SGI","2021-11-03","650","678","650","674.5","2.51","4493"
"SGI","2021-11-02","630","658","620","658","2.81","6154"
"SGI","2021-11-01","644","644","629","640","1.27","6347"
"SGI","2021-10-31","613","649","606","632","3.23","6532"
"SGI","2021-10-28","615","620","611.1","612.2","-0.78","1955"
"SGI","2021-10-27","591","635","590","617","4.58","8523"
"SGI","2021-10-26","568","596","565","590","3.87","6156"
"SGI","2021-10-25","554.5","571","554.5","568","2.43","4836"
"SGI","2021-10-24","551","560","549","554.5","-0.27","1939"
"SGI","2021-10-21","565","565","552","556","-1.07","1051"
"SGI","2021-10-20","562","564","541","562","2.00","1196"
"SGI","2021-10-19","556.7","558","535","551","-2.99","3605"
"SGI","2021-10-18","584","595.5","560","568","-4.54","4387"
"SGI","2021-10-17","608","608","586","595","-0.34","770"
"SGI","2021-10-11","595","597","580","597","0.00","1496"
"SGI","2021-10-10","590","605","590","597","2.58","2590"
"SGI","2021-10-06","567","582","567","582","3.37","2730"
"SGI","2021-10-05","545","567.9","545","563","2.93","2218"
"SGI","2021-10-04","563","570","535","547","-2.84","4280"
"SGI","2021-10-03","570","573","560","563","-2.43","3428"
"SGI","2021-09-30","573","600","573","577","0.70","3270"
"SGI","2021-09-29","561","580","561","573","0.17","3360"
"SGI","2021-09-28","590","610","565","572","-4.83","7979"
"SGI","2021-09-27","635","640","600","601","-5.35","5903"
"SGI","2021-09-26","651","664","635","635","-4.37","4747"
"SGI","2021-09-23","652.7","682","652.7","664","1.22","7196"
"SGI","2021-09-22","642.6","670","631.1","656","4.13","5610"
"SGI","2021-09-21","624","659.5","580","630","-0.63","10028"
"SGI","2021-09-20","675","675","633.1","634","-6.07","8243"
"SGI","2021-09-16","681.1","703","674","675","-2.88","9038"
"SGI","2021-09-15","721","734","693","695","-1.70","6427"
"SGI","2021-09-14","730","739.9","707","707","-2.82","8113"
"SGI","2021-09-13","719","732","715","727.5","2.90","11252"
"SGI","2021-09-12","709","720","682","707","1.71","10084"
"SGI","2021-09-09","700","720","695","695.1","-0.42","5948"
"SGI","2021-09-08","720","720","690","698","-1.13","3834"
"SGI","2021-09-07","734.4","734.4","702","706","-1.94","2917"
"SGI","2021-09-06","694.6","736","671.1","720","5.73","6844"
"SGI","2021-09-05","722","778.8","664","681","-3.81","17513"
"SGI","2021-09-02","740.5","740.5","705","708","-2.48","7422"
"SGI","2021-09-01","730","734","716","726","0.83","5312"
"SGI","2021-08-31","725","731","719.3","720","-2.04","9227"
"SGI","2021-08-29","744","757","730","735","-1.21","11599"
"SGI","2021-08-26","740","750","736","744","-0.53","8833"
"SGI","2021-08-25","760","790","748","748","-3.36","11718"
"SGI","2021-08-24","786","808","774","774","0.26","26525"
"SGI","2021-08-19","730","800","730","772","4.75","54932"
"SGI","2021-08-18","730","749.7","720","737","0.53","16423"
"SGI","2021-08-17","740","742","730","733.1","-1.33","9881"
"SGI","2021-08-16","760","760","740","743","-1.72","13684"
"SGI","2021-08-15","760","766","737.1","756","-0.53","12075"
"SGI","2021-08-12","765","770","755","760","-0.65","15014"
"SGI","2021-08-11","770","770","755","765","0.00","6425"
"SGI","2021-08-10","750","790","739","765","2.00","12806"
"SGI","2021-08-09","750","758.1","737","750","-1.07","17924"
"SGI","2021-08-08","765","769","755","758.1","-1.93","10980"
"SGI","2021-08-05","767","775","766","773","-0.39","8166"
"SGI","2021-08-04","785","785","770","776","-1.15","12634"
"SGI","2021-08-03","753","785.5","753","785","3.02","10278"
"SGI","2021-08-02","766","785","762","762","-1.17","10195"
"SGI","2021-08-01","766","785","765","771","-1.18","10491"
