"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SHBL","2017-06-08","481","481","454","460","-6.12","6454"
"SHBL","2017-06-07","500","510","490","490","-3.16","1335"
"SHBL","2017-06-06","470","506","470","506","8.58","1048"
"SHBL","2017-06-05","470","493","466","468","-1.89","3656"
"SHBL","2017-06-04","481","481","465","475","-3.06","3700"
"SHBL","2017-06-01","478","490","470","490","4.26","2028"
"SHBL","2017-05-31","472","470","455","470","-0.42","3227"
"SHBL","2017-05-30","475","475","472","475","-1.87","365"
"SHBL","2017-05-28","490","490","481","481","-3.80","5640"
"SHBL","2017-05-24","498","500","500","500","0.40","600"
"SHBL","2017-05-23","515","525","498","498","-1.39","3591"
"SHBL","2017-05-22","516","516","500","505","-3.81","746"
"SHBL","2017-05-21","520","525","515","525","-0.94","470"
"SHBL","2017-05-18","542","532","501","530","-2.21","12353"
"SHBL","2017-05-17","570","570","538","542","-4.91","1659"
"SHBL","2017-05-15","591","591","570","570","-1.72","555"
"SHBL","2017-05-11","613","613","580","580","-7.20","515"
"SHBL","2017-05-09","625","637","625","625","0.00","1044"
"SHBL","2017-05-08","617","660","617","625","3.31","2921"
"SHBL","2017-05-07","561","605","561","605","10.00","2000"
"SHBL","2017-05-04","510","550","510","550","10.00","1799"
"SHBL","2017-05-03","464","500","455","500","9.89","448"
"SHBL","2017-05-02","455","455","455","455","1.11","109"
"SHBL","2017-04-30","446","454","440","450","-1.10","2187"
"SHBL","2017-04-27","459","469","455","455","1.11","986"
"SHBL","2017-04-26","450","450","450","450","-1.53","30"
"SHBL","2017-04-25","457","457","457","457","-1.93","100"
"SHBL","2017-04-20","466","466","466","466","-1.89","38"
"SHBL","2017-04-18","484","484","475","475","-3.06","456"
"SHBL","2017-04-16","490","490","490","490","0.00","300"
"SHBL","2017-04-13","471","490","471","490","2.08","388"
"SHBL","2017-04-12","472","489","471","480","1.69","2972"
"SHBL","2017-04-11","472","472","472","472","-1.87","44"
"SHBL","2017-04-10","481","484","481","484","-1.84","506"
"SHBL","2017-04-09","490","490","490","490","-1.01","280"
"SHBL","2017-04-06","495","495","495","495","0.00","200"
"SHBL","2017-04-04","490","495","490","495","1.02","45"
"SHBL","2017-04-03","490","490","490","490","-2.00","300"
"SHBL","2017-04-02","500","500","500","500","-0.20","30"
"SHBL","2017-03-30","465","501","472","501","7.74","1157"
