"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SHEL","2022-05-05","310","311","300","306","-2.55","7270"
"SHEL","2022-05-04","325","327.4","314","314","-3.38","9019"
"SHEL","2022-05-02","334","335","322.5","325","-4.41","3890"
"SHEL","2022-04-28","344","364","336","340","-2.86","21527"
"SHEL","2022-04-27","346","353","337","350","-0.85","7015"
"SHEL","2022-04-26","360.1","365","346","353","-1.92","1815"
"SHEL","2022-04-25","365","382","353","359.9","-2.28","11837"
"SHEL","2022-04-24","341","368.4","335","368.3","9.94","6213"
"SHEL","2022-04-21","330","342","318","335","0.60","5490"
"SHEL","2022-04-20","340","353.7","325","333","-3.48","6361"
"SHEL","2022-04-19","344.1","360","333.5","345","-1.43","7615"
"SHEL","2022-04-18","373","373","349","350","-4.42","5543"
"SHEL","2022-04-17","383.5","383.5","365","366.2","-2.61","1530"
"SHEL","2022-04-13","371","381","368.1","376","0.27","3368"
"SHEL","2022-04-12","380.3","390","368.1","375","-3.35","4720"
"SHEL","2022-04-11","396.4","400","378","388","-0.18","4793"
"SHEL","2022-04-07","391","400","380.1","388.7","-0.59","10640"
"SHEL","2022-04-06","389.9","404.6","367.5","391","2.28","5803"
"SHEL","2022-04-05","398","400","380.3","382.3","-4.21","12678"
"SHEL","2022-04-04","401","405","399","399.1","-1.46","4048"
"SHEL","2022-04-03","404.2","412","400","405","-1.70","4260"
"SHEL","2022-03-31","418","428.6","410","412","-3.06","6671"
"SHEL","2022-03-30","408","427.9","405.1","425","2.68","6605"
"SHEL","2022-03-29","405","414","405","413.9","0.22","2710"
"SHEL","2022-03-28","410","423","403","413","-1.20","8296"
"SHEL","2022-03-27","426","434","418","418","-3.66","7810"
"SHEL","2022-03-24","442","446.7","426.4","433.9","-0.94","8082"
"SHEL","2022-03-23","436.1","442","432","438","-1.57","3725"
"SHEL","2022-03-22","438","451","436.1","445","0.00","8710"
"SHEL","2022-03-21","427","445","427","445","2.30","5620"
"SHEL","2022-03-20","437","440.5","425","435","-0.46","5385"
"SHEL","2022-03-16","450.8","455","428","437","-1.13","4781"
"SHEL","2022-03-15","469.2","469.2","441","442","-3.91","24324"
"SHEL","2022-03-14","472.5","480","454","460","-0.71","4180"
"SHEL","2022-03-13","468.1","476","450","463.3","0.94","18270"
"SHEL","2022-03-10","444","459","426.7","459","5.42","18410"
"SHEL","2022-03-09","454","463","421.2","435.4","-4.10","16261"
"SHEL","2022-03-07","462","462","437.1","454","0.22","6805"
"SHEL","2022-03-06","467","467","440","453","-1.29","13037"
"SHEL","2022-03-02","471.2","471.2","437.2","458.9","-0.67","20891"
"SHEL","2022-02-28","487.4","498","456.8","462","-3.33","17196"
"SHEL","2022-02-27","488.5","498.2","469.8","477.9","-0.23","20064"
"SHEL","2022-02-24","508","508","473.1","479","-4.01","10970"
"SHEL","2022-02-23","505","512","495","499","-0.20","28237"
"SHEL","2022-02-22","508.9","508.9","492","500","0.20","29413"
"SHEL","2022-02-21","490.6","499","472","499","3.74","17385"
"SHEL","2022-02-20","483.4","483.4","457.1","481","1.48","9113"
"SHEL","2022-02-17","470","479","461.3","474","1.50","7972"
"SHEL","2022-02-16","499.8","499.8","466.1","467","-4.69","8769"
"SHEL","2022-02-15","482.4","492","464","490","3.59","15079"
"SHEL","2022-02-14","470","475","459.7","473","0.85","10763"
"SHEL","2022-02-13","485.1","485.1","457","469","-5.25","39262"
"SHEL","2022-02-10","487.2","500","485","495","0.00","18346"
"SHEL","2022-02-09","490","500","486.1","495","0.00","17789"
"SHEL","2022-02-08","495.9","520.2","490.2","495","0.00","22864"
"SHEL","2022-02-07","513","515","490","506","0.60","31921"
"SHEL","2022-02-06","514","518","498","503","-4.01","36232"
"SHEL","2022-02-03","521.4","537","516.1","524","2.50","101166"
"SHEL","2022-02-01","504.9","520","489.1","511.2","3.27","78324"
"SHEL","2022-01-31","510","515","485.1","495","-1.00","25984"
"SHEL","2022-01-30","489.6","515","485.2","500","4.17","33736"
"SHEL","2022-01-27","482","488","472.4","480","1.48","25356"
"SHEL","2022-01-26","495","504","468.2","473","-2.67","23980"
"SHEL","2022-01-25","486","494","477.1","486","0.00","12253"
"SHEL","2022-01-24","510","510","480","486","-6.36","53201"
"SHEL","2022-01-23","505","526.3","505","519","2.98","56207"
"SHEL","2022-01-20","508.9","508.9","482.1","504","1.00","37037"
"SHEL","2022-01-19","499.8","500","480.3","499","1.84","36223"
"SHEL","2022-01-18","489","514","480","490","0.20","72850"
"SHEL","2022-01-17","455","490","444","489","8.19","63098"
"SHEL","2022-01-16","436","457","438","452","3.67","35648"
"SHEL","2022-01-13","417","437","415","436","4.33","20752"
"SHEL","2022-01-12","428","436","415.2","417.9","-2.36","24576"
"SHEL","2022-01-11","412","434.4","412","428","2.39","12981"
"SHEL","2022-01-10","425","430","410","418","-0.48","15644"
"SHEL","2022-01-09","400.8","429","396","420","6.87","31401"
"SHEL","2022-01-06","381","397","381","393","1.24","3973"
"SHEL","2022-01-05","386","408","381","388.2","-0.97","11613"
"SHEL","2022-01-04","373","392","368.5","392","3.16","3544"
"SHEL","2022-01-03","380","387","375","380","1.25","5714"
"SHEL","2022-01-02","385.8","385.8","370.7","375.3","-0.79","4074"
"SHEL","2021-12-29","384","390","369.5","378.3","0.34","3060"
"SHEL","2021-12-28","375","389.5","367","377","-1.31","4640"
"SHEL","2021-12-27","390","411","358","382","-3.78","15399"
"SHEL","2021-12-26","397","404.9","385.5","397","0.00","6729"
"SHEL","2021-12-23","407","414","390","397","-2.22","9234"
"SHEL","2021-12-22","390","406","387","406","4.10","7273"
"SHEL","2021-12-21","366","394.7","366","390","4.81","6436"
"SHEL","2021-12-20","377.1","384","369.6","372.1","-3.10","2915"
"SHEL","2021-12-16","408","408","378.4","384","-4.00","4670"
"SHEL","2021-12-15","401","417","387.1","400","1.57","14540"
"SHEL","2021-12-14","365","393.8","359","393.8","10.00","5260"
"SHEL","2021-12-13","366.6","368","346.2","358","-4.28","11574"
"SHEL","2021-12-12","384.1","387.6","373","374","-2.09","6268"
"SHEL","2021-12-09","365","392","365","382","3.24","9554"
"SHEL","2021-12-08","387.2","402","370","370","-6.33","15850"
"SHEL","2021-12-07","408","430","393","395","-4.59","6931"
"SHEL","2021-12-06","392","418","375","414","3.50","12784"
"SHEL","2021-12-05","404","411","397","400","-2.91","6992"
"SHEL","2021-12-02","418","424","409.7","412","-3.04","11833"
"SHEL","2021-12-01","433.5","438","418","424.9","-0.02","5988"
"SHEL","2021-11-30","422","430","415","425","0.00","4382"
"SHEL","2021-11-29","420","432","416","425","0.71","7529"
"SHEL","2021-11-28","436","440","420","422","-4.95","10572"
"SHEL","2021-11-25","440","457","435","444","0.91","14327"
"SHEL","2021-11-24","430","450","417","440","0.46","7549"
"SHEL","2021-11-23","451","459","436","438","-4.78","9927"
"SHEL","2021-11-22","465","465","451.9","460","-0.22","6355"
"SHEL","2021-11-21","455.7","470","448","461","-0.86","8596"
"SHEL","2021-11-18","465","495","450","465","0.00","28254"
"SHEL","2021-11-17","456","483.7","456","465","3.33","34230"
"SHEL","2021-11-16","421","450","420","450","6.86","18025"
"SHEL","2021-11-15","421.2","436","415","421.1","1.96","8803"
"SHEL","2021-11-14","405.8","439.1","405.8","413","-0.24","6000"
"SHEL","2021-11-11","426.3","434.5","414","414","-4.83","8724"
"SHEL","2021-11-09","447.9","450","426","435","-4.81","13181"
"SHEL","2021-11-08","463","472","448","457","-1.70","8750"
"SHEL","2021-11-03","460","469.9","455.1","464.9","1.33","10415"
"SHEL","2021-11-02","464","464.1","440","458.8","0.84","4173"
"SHEL","2021-11-01","468","473","446","455","-1.75","16138"
"SHEL","2021-10-31","430","474","430","463.1","6.34","20185"
"SHEL","2021-10-28","445","448.8","420","435.5","-0.80","19911"
"SHEL","2021-10-27","461","461","438.1","439","-2.88","14060"
"SHEL","2021-10-26","433","466","433","452","5.61","14562"
"SHEL","2021-10-25","396","428.4","389","428","8.08","12351"
"SHEL","2021-10-24","384.2","400","384.2","396","1.02","4560"
"SHEL","2021-10-21","388.6","400","388.6","392","-1.01","1175"
"SHEL","2021-10-20","389.6","404","377","396","3.66","7022"
"SHEL","2021-10-19","390.1","397.9","365","382","-4.02","8130"
"SHEL","2021-10-18","400","400","380","398","-2.21","6255"
"SHEL","2021-10-17","410","418.2","386.2","407","1.24","810"
"SHEL","2021-10-11","413","414","399.5","402","-4.51","3510"
"SHEL","2021-10-10","435","440","413","421","-1.41","7116"
"SHEL","2021-10-06","415","427","402","427","4.66","7565"
"SHEL","2021-10-05","378","408.5","378","408","7.94","6453"
"SHEL","2021-10-04","375","399","370","378","-1.10","7416"
"SHEL","2021-10-03","399.9","402","382.2","382.2","-6.32","9809"
"SHEL","2021-09-30","418","425","407","408","-1.69","5454"
"SHEL","2021-09-29","392","418","392","415","4.53","15680"
"SHEL","2021-09-28","415","423.3","395","397","-4.34","17168"
"SHEL","2021-09-27","420.5","454","412.1","415","-3.26","13437"
"SHEL","2021-09-26","453","462","427","429","-7.14","14280"
