"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SHINEP","2022-01-13","140","140","140","140","0.00","796"
"SHINEP","2021-12-02","140","140","140","140","0.00","25504"
"SHINEP","2021-11-30","140","140","140","140","0.00","28574"
"SHINEP","2021-10-11","140","140","140","140","0.00","16215"
"SHINEP","2021-09-02","142","142","140","140","0.00","122698"
"SHINEP","2021-09-01","140","140","140","140","0.00","6276"
"SHINEP","2021-05-02","140","140","140","140","0.00","6000"
"SHINEP","2021-04-27","140","140","140","140","0.00","36348"
"SHINEP","2021-04-22","140","140","140","140","0.00","28574"
"SHINEP","2021-04-21","140","140","140","140","0.00","111163"
"SHINEP","2021-04-05","140","140","140","140","0.00","14912"
"SHINEP","2021-04-04","140","140","140","140","0.00","2750"
"SHINEP","2021-03-17","140","140","140","140","0.00","23000"
"SHINEP","2021-01-10","146","146","146","146","0.00","36300"
"SHINEP","2020-10-18","177","177","177","177","0.00","31609"
"SHINEP","2019-12-05","137","137","137","137","0.00","48000"
"SHINEP","2019-08-26","137","137","137","137","0.00","16491"
"SHINEP","2019-04-30","130","130","130","130","0.00","27488"
"SHINEP","2019-04-10","130","130","130","130","0.00","52205"
"SHINEP","2019-04-03","130","130","130","130","0.00","23523"
"SHINEP","2019-03-17","130","130","130","130","-1.52","343088"
