"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SHINE","2022-05-05","340.1","355","334","336","-2.61","24884"
"SHINE","2022-05-04","348","357","343","345","-2.57","25108"
"SHINE","2022-05-02","366.8","366.8","354.1","354.1","-3.54","36428"
"SHINE","2022-04-28","374","380","367","367.1","-2.11","28800"
"SHINE","2022-04-27","377","377.4","362.6","375","1.35","15901"
"SHINE","2022-04-26","370","380.4","365.7","370","-0.64","13573"
"SHINE","2022-04-25","386","391.7","370.5","372.4","-3.52","26476"
"SHINE","2022-04-24","365.1","388","358","386","7.82","27501"
"SHINE","2022-04-21","358","362.1","349","358","-0.78","18867"
"SHINE","2022-04-20","365","375","360.2","360.8","-2.22","8551"
"SHINE","2022-04-19","361","375","358","369","1.10","19787"
"SHINE","2022-04-18","370","375","363","365","-2.93","31837"
"SHINE","2022-04-17","382","386","374","376","-1.57","17963"
"SHINE","2022-04-13","380","382","364","382","1.87","29571"
"SHINE","2022-04-12","380","383","370","375","-1.29","29241"
"SHINE","2022-04-11","390","396.9","378","379.9","-1.07","34116"
"SHINE","2022-04-07","376","389","376","384","2.13","30165"
"SHINE","2022-04-06","373","384","370","376","-0.27","29993"
"SHINE","2022-04-05","381","382","371","377","-2.33","45917"
"SHINE","2022-04-04","385","392","379.1","386","0.00","16899"
"SHINE","2022-04-03","390","391.1","384.3","386","-1.53","14231"
"SHINE","2022-03-31","405","408","392","392","-2.49","23508"
"SHINE","2022-03-30","388","403.9","385","402","3.61","30832"
"SHINE","2022-03-29","396","396","385.2","388","-0.51","20029"
"SHINE","2022-03-28","390","402","387.3","390","-1.32","32309"
"SHINE","2022-03-27","406.1","406.1","395.1","395.2","-2.68","54505"
"SHINE","2022-03-24","410","415","406","406.1","-1.91","34620"
"SHINE","2022-03-23","411","418","408.8","414","-0.70","48904"
"SHINE","2022-03-22","420","424","413","416.9","0.94","77545"
"SHINE","2022-03-21","405","413.1","391.4","413","3.87","46052"
"SHINE","2022-03-20","405","405","397","397.6","-0.60","53400"
"SHINE","2022-03-16","404","410","398","400","-0.99","45875"
"SHINE","2022-03-15","408","410","395","404","-0.98","58316"
"SHINE","2022-03-14","412","412.9","400","408","0.37","12759"
"SHINE","2022-03-13","397.8","409.9","392","406.5","4.23","67835"
"SHINE","2022-03-10","372","390","366","390","4.84","35457"
"SHINE","2022-03-09","380","380.1","369.5","372","-2.05","34772"
"SHINE","2022-03-07","375","384","375","379.8","0.74","27787"
"SHINE","2022-03-06","373","387","373","377","1.07","37729"
"SHINE","2022-03-02","386","390","372.1","373","-4.31","70750"
"SHINE","2022-02-28","400","408","385","389.8","-0.81","33628"
"SHINE","2022-02-27","390","403","390","393","-0.76","26339"
"SHINE","2022-02-24","401","404","391","396","-1.54","63038"
"SHINE","2022-02-23","400.3","410","400.3","402.2","-1.18","23515"
"SHINE","2022-02-22","407","415","405.8","407","0.00","39439"
"SHINE","2022-02-21","412.5","412.5","405","407","0.02","29596"
"SHINE","2022-02-20","409.9","410","395","406.9","-1.48","57366"
"SHINE","2022-02-17","408","423","407.8","413","-0.72","16933"
"SHINE","2022-02-16","429","429","411.6","416","-1.54","27359"
"SHINE","2022-02-15","411","423","410","422.5","3.30","27174"
"SHINE","2022-02-14","415","422","407","409","0.25","48000"
"SHINE","2022-02-13","420","420","403.9","408","-4.56","69757"
"SHINE","2022-02-10","430","436","424","427.5","-0.58","45962"
"SHINE","2022-02-09","427.3","440.1","427.3","430","-1.38","37244"
"SHINE","2022-02-08","447.7","465","432","436","0.00","65838"
"SHINE","2022-02-07","428","443","427.3","439","0.69","22053"
