"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SHIVM","2022-05-05","860","868","843","855","-0.58","41291"
"SHIVM","2022-05-04","870","879","850","860","-2.16","27476"
"SHIVM","2022-05-02","920","920","868","879","-3.93","48039"
"SHIVM","2022-04-28","950","950","909.5","915","-2.30","39571"
"SHIVM","2022-04-27","925","942","922","936.5","0.27","19401"
"SHIVM","2022-04-26","949","955.5","929","934","-0.32","21790"
"SHIVM","2022-04-25","963","978","930","937","-2.69","69506"
"SHIVM","2022-04-24","957","977","940","962.9","2.55","122609"
"SHIVM","2022-04-21","908","950","903.2","939","3.07","22686"
"SHIVM","2022-04-20","941","954.5","910","911","-4.00","26029"
"SHIVM","2022-04-19","934","960.2","919","949","1.17","18673"
"SHIVM","2022-04-18","961","972","920","938","-2.39","33886"
"SHIVM","2022-04-17","1009","1009","957.7","961","-2.93","34280"
"SHIVM","2022-04-13","1011","1011","980","990","-0.90","85058"
"SHIVM","2022-04-12","1028","1045","992","999","-2.73","38647"
"SHIVM","2022-04-11","1082","1103","1026","1027","-3.20","56103"
"SHIVM","2022-04-07","1065","1076","1057.3","1061","0.66","47470"
"SHIVM","2022-04-06","1035","1075","1031","1054","1.35","50336"
"SHIVM","2022-04-05","1050","1055","1028","1040","-0.95","46212"
"SHIVM","2022-04-04","1060","1070","1042.1","1050","0.00","27220"
"SHIVM","2022-04-03","1058","1059.9","1048","1050","-0.66","15639"
"SHIVM","2022-03-31","1085","1091","1055","1057","-2.13","36699"
"SHIVM","2022-03-30","1066","1083","1045","1080","3.15","58023"
"SHIVM","2022-03-29","1065","1083","1025","1047","-0.19","75614"
"SHIVM","2022-03-28","1080","1090","1049","1049","-2.05","46001"
"SHIVM","2022-03-27","1135","1137","1065","1071","-3.95","93099"
"SHIVM","2022-03-24","1153","1156","1110.2","1115","-3.21","57858"
"SHIVM","2022-03-23","1188.9","1188.9","1149","1152","-1.54","45443"
"SHIVM","2022-03-22","1165","1195","1165","1170","0.86","73166"
"SHIVM","2022-03-21","1165","1179","1145","1160","-0.43","75314"
"SHIVM","2022-03-20","1198","1198","1160","1165","-2.02","40183"
"SHIVM","2022-03-16","1200","1209","1180.1","1189","-0.92","34289"
"SHIVM","2022-03-15","1245","1246","1180","1200","-3.23","75639"
"SHIVM","2022-03-14","1276","1276","1228","1240","-0.88","36478"
"SHIVM","2022-03-13","1169","1254","1155","1251","8.78","289015"
"SHIVM","2022-03-10","1100","1154.9","1090","1150","4.83","48796"
"SHIVM","2022-03-09","1107","1135","1086","1097","-0.90","52474"
"SHIVM","2022-03-07","1085","1123","1030","1107","2.03","253914"
"SHIVM","2022-03-06","1144.7","1160","1074","1085","-7.11","136546"
"SHIVM","2022-03-02","1229","1229","1157","1168","-5.43","104239"
"SHIVM","2022-02-28","1274","1298.4","1226.1","1235","-2.99","76521"
"SHIVM","2022-02-27","1300","1330","1265.4","1273","-3.05","53100"
"SHIVM","2022-02-24","1340","1358.9","1300","1313","-2.67","39436"
"SHIVM","2022-02-23","1393","1393","1342","1349","-1.82","22109"
"SHIVM","2022-02-22","1389","1390","1357","1374","-0.36","31944"
"SHIVM","2022-02-21","1355","1405","1340","1379","1.47","48041"
"SHIVM","2022-02-20","1372","1398","1350","1359","-2.93","36092"
"SHIVM","2022-02-17","1409.9","1422","1370","1400","1.16","23685"
"SHIVM","2022-02-16","1420","1425","1371.1","1384","-2.54","47455"
"SHIVM","2022-02-15","1424","1427","1400","1420","0.92","13276"
"SHIVM","2022-02-14","1390","1480","1390","1407","0.43","37741"
"SHIVM","2022-02-13","1480","1500","1396","1401","-6.98","77936"
"SHIVM","2022-02-10","1501","1525","1491.2","1506.2","0.21","53977"
"SHIVM","2022-02-09","1522","1522","1490","1503","0.66","52411"
"SHIVM","2022-02-08","1501.5","1528","1486","1493.1","0.00","56032"
"SHIVM","2022-02-07","1480","1499","1466.2","1472.1","0.07","18833"
