"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SHL","2022-05-05","210","215","209","212","-0.14","36948"
"SHL","2022-05-04","216.2","220","211.7","212.3","-2.93","39752"
"SHL","2022-05-02","223","224","218.1","218.7","-3.66","31021"
"SHL","2022-04-28","229.9","229.9","225.2","227","-1.65","20035"
"SHL","2022-04-27","226.1","230.9","225","230.8","1.23","30045"
"SHL","2022-04-26","228","230","225.5","228","-0.35","23146"
"SHL","2022-04-25","227","231","225.1","228.8","0.79","36526"
"SHL","2022-04-24","217.1","232","217.1","227","3.18","38956"
"SHL","2022-04-21","219","224.4","215","220","0.46","37385"
"SHL","2022-04-20","226","226","218","219","-2.67","44988"
"SHL","2022-04-19","221","230","221","225","1.35","25230"
"SHL","2022-04-18","225","226.8","221.5","222","-1.33","32816"
"SHL","2022-04-17","228","232.7","224","225","-2.17","39499"
"SHL","2022-04-13","229","235","224","230","0.88","52948"
"SHL","2022-04-12","230","233","225","228","0.00","77700"
"SHL","2022-04-11","238","239","227.6","228","-3.18","53171"
"SHL","2022-04-07","241.7","241.7","234.9","235.5","-0.63","45871"
"SHL","2022-04-06","229.9","241","225.4","237","3.99","138035"
"SHL","2022-04-05","222","230","221.1","227.9","1.47","44152"
"SHL","2022-04-04","227","229","223","224.6","-0.18","20419"
"SHL","2022-04-03","225","229","224","225","-1.32","18817"
"SHL","2022-03-31","236.9","237","227.2","228","-2.77","26758"
"SHL","2022-03-30","230.9","234.8","226.3","234.5","3.53","28653"
"SHL","2022-03-29","227","233","225","226.5","1.34","28293"
"SHL","2022-03-28","223","227","220","223.5","-0.22","35381"
"SHL","2022-03-27","227.4","230","223.1","224","-3.41","50463"
"SHL","2022-03-24","234","236","226.1","231.9","-1.36","35293"
"SHL","2022-03-23","238","240","233","235.1","-0.38","48415"
"SHL","2022-03-22","235","238.3","229.4","236","1.55","42127"
"SHL","2022-03-21","233.8","237.9","228","232.4","-1.53","57454"
"SHL","2022-03-20","242","243","230","236","-2.48","127801"
"SHL","2022-03-16","227.6","250","225","242","4.22","273035"
"SHL","2022-03-15","222","239.7","217","232.2","6.51","144347"
"SHL","2022-03-14","224","224","213.7","218","-1.13","11919"
"SHL","2022-03-13","207.3","225","207","220.5","6.52","110103"
"SHL","2022-03-10","202","207","200.7","207","2.48","13640"
"SHL","2022-03-09","206","206","200","202","-0.98","13545"
"SHL","2022-03-07","206.9","208.9","204","204","0.49","16553"
"SHL","2022-03-06","202.1","207","202","203","0.00","17537"
"SHL","2022-03-02","209","209","202","203","-0.98","14188"
"SHL","2022-02-28","210","212.9","205","205","-0.97","22520"
