"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SICLPO","2022-01-31","1050","1050","1050","1050","-1.41","23504"
"SICLPO","2022-01-30","1065","1065","1065","1065","0.00","36890"
"SICLPO","2021-10-11","911","911","911","911","0.00","100000"
"SICLPO","2021-10-05","911","911","911","911","0.00","150000"
"SICLPO","2021-10-03","911","911","911","911","0.00","150000"
"SICLPO","2021-09-30","911","911","911","911","0.00","100000"
"SICLPO","2021-01-11","1009","1009","1009","1009","0.00","47471"
"SICLPO","2019-07-29","440","440","440","440","0.00","200"
"SICLPO","2018-07-19","600","600","600","600","0.00","7235"
"SICLPO","2017-12-06","1196","1196","1196","1196","-1.97","9991"
"SICLPO","2017-11-02","1220","1220","1220","1220","0.00","500"
"SICLPO","2017-10-29","1220","1220","1220","1220","0.00","30000"
"SICLPO","2017-03-16","1294","1294","1294","1294","-1.97","16603"
"SICLPO","2016-10-26","1320","1320","1320","1320","-1.93","17707"
"SICLPO","2016-09-29","1346","1346","1346","1346","0.00","15985"
"SICLPO","2016-09-28","1346","1346","1346","1346","0.00","16000"
"SICLPO","2016-09-11","1429","1429","1320","1346","-7.68","17667"
"SICLPO","2016-09-08","1547","1547","1458","1458","-7.60","40"
"SICLPO","2016-08-31","1578","1578","1578","1578","0.00","11566"
"SICLPO","2016-08-30","1578","1578","1578","1578","0.00","9000"
"SICLPO","2016-08-29","1578","1578","1578","1578","0.00","15000"
"SICLPO","2016-08-28","1578","1578","1578","1578","0.00","20000"
"SICLPO","2016-08-24","1578","1578","1578","1578","0.00","15000"
"SICLPO","2016-08-23","1578","1578","1578","1578","-1.99","10000"
"SICLPO","2016-08-22","1610","1610","1610","1610","-1.83","15500"
"SICLPO","2016-08-21","1706","1706","1640","1640","-5.75","15000"
"SICLPO","2016-08-11","1740","1740","1740","1740","0.00","33540"
"SICLPO","2016-08-10","1740","1740","1740","1740","-1.97","20000"
"SICLPO","2016-06-19","1775","1775","1775","1775","0.00","60899"
"SICLPO","2015-08-09","367","367","367","367","0.00","6037"
"SICLPO","2015-07-09","367","367","367","367","1.94","6202"
"SICLPO","2015-02-24","403","403","403","403","0.00","30822"
"SICLPO","2014-09-04","419","419","419","419","0.00","56966"
"SICLPO","2014-07-15","419","419","419","419","0.00","12000"
"SICLPO","2014-06-11","0","442","419","419","0.00","81200"
