"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SIC","2022-05-05","965","975","962","965.5","-1.08","1454"
"SIC","2022-05-04","1000","1018","976","976","-4.31","2970"
"SIC","2022-05-02","1085","1085","1010","1020","-5.48","4364"
"SIC","2022-04-28","1326","1333.9","1295","1295","-1.22","16276"
"SIC","2022-04-27","1313","1315","1290.1","1311","0.85","1708"
"SIC","2022-04-26","1335","1337","1297","1300","-1.44","2830"
"SIC","2022-04-25","1356","1356","1303.4","1319","-0.83","3239"
"SIC","2022-04-24","1280","1330","1275","1330","3.91","4754"
"SIC","2022-04-21","1300.5","1300.5","1255","1280","0.39","11902"
"SIC","2022-04-20","1290","1315","1239.8","1275","0.79","6126"
"SIC","2022-04-19","1275","1275","1250","1265","1.18","2633"
"SIC","2022-04-18","1272","1285","1245","1250.2","-3.09","2677"
"SIC","2022-04-17","1306","1310","1290","1290","-1.23","887"
"SIC","2022-04-13","1280.1","1306","1261","1306","2.35","744"
"SIC","2022-04-12","1275","1290","1275","1276","-1.85","846"
"SIC","2022-04-11","1312","1316.1","1290","1300","-0.76","2129"
"SIC","2022-04-07","1305","1323","1305","1310","0.38","2837"
"SIC","2022-04-06","1335","1344","1305","1305","-1.66","2007"
"SIC","2022-04-05","1356","1356","1315","1327","-2.21","5794"
"SIC","2022-04-04","1390","1395","1357","1357","-1.09","2540"
"SIC","2022-04-03","1400","1404","1372","1372","-2.70","4260"
"SIC","2022-03-31","1429","1429","1389.5","1410","0.57","7647"
"SIC","2022-03-30","1350","1402","1350","1402","2.71","2563"
"SIC","2022-03-29","1380","1380","1350","1365","-2.60","4030"
"SIC","2022-03-28","1430","1449","1401.5","1401.5","-1.86","11851"
"SIC","2022-03-27","1433","1495","1426.1","1428","1.64","26597"
"SIC","2022-03-24","1390","1413","1390","1405","0.72","4621"
"SIC","2022-03-23","1400","1400","1387","1395","-0.64","1790"
"SIC","2022-03-22","1405","1410","1399","1404","0.29","3691"
"SIC","2022-03-21","1417","1420","1376","1400","-1.34","10037"
"SIC","2022-03-20","1412","1440","1406","1419","-0.42","33206"
"SIC","2022-03-16","1384.8","1425","1380","1425","0.85","10967"
"SIC","2022-03-15","1328","1413","1322.1","1413","6.64","15716"
"SIC","2022-03-14","1319","1325","1300","1325","1.22","1926"
"SIC","2022-03-13","1298.4","1309","1280","1309","2.83","2803"
"SIC","2022-03-10","1248","1273","1240","1273","2.00","3036"
"SIC","2022-03-09","1262","1270","1242","1248","-1.03","1998"
"SIC","2022-03-07","1268","1275","1261","1261","-0.55","1326"
"SIC","2022-03-06","1260.1","1275","1260","1268","0.71","1892"
"SIC","2022-03-02","1308","1308","1250","1259","-1.87","7330"
"SIC","2022-02-28","1325","1325","1276.2","1283","-2.36","5542"
"SIC","2022-02-27","1326","1349","1285","1314","1.08","7799"
"SIC","2022-02-24","1317.2","1340","1300","1300","-3.27","10051"
"SIC","2022-02-23","1347","1360","1320","1344","0.52","7345"
"SIC","2022-02-22","1296.1","1345","1296.1","1337","3.64","8830"
"SIC","2022-02-21","1326","1326","1276","1290","-0.77","1018"
"SIC","2022-02-20","1292.7","1300.5","1270","1300","-1.44","6078"
"SIC","2022-02-17","1330","1330","1294","1319","-0.08","2517"
"SIC","2022-02-16","1309","1350","1286.1","1320","2.72","6164"
"SIC","2022-02-15","1315","1315","1285","1285","-0.39","2962"
"SIC","2022-02-14","1300","1309.9","1288","1290","-0.15","3069"
"SIC","2022-02-13","1319","1319","1292","1292","-3.95","3159"
"SIC","2022-02-10","1360","1360","1333","1345.1","-2.88","1423"
"SIC","2022-02-09","1371","1387","1355","1385","-0.22","4206"
"SIC","2022-02-08","1400","1400","1370","1388","0.00","6346"
"SIC","2022-02-07","1345","1393.9","1345","1390","1.46","6403"
"SIC","2022-02-06","1360","1390","1345","1370","-0.72","5818"
"SIC","2022-02-03","1380","1396","1373","1380","0.73","3963"
"SIC","2022-02-01","1365","1370","1355","1370","0.37","1799"
"SIC","2022-01-31","1335","1365","1333","1365","1.11","3344"
"SIC","2022-01-30","1333.1","1382","1330","1350","3.29","3505"
"SIC","2022-01-27","1320","1343.9","1304","1307","0.38","2798"
"SIC","2022-01-26","1316","1316","1287","1302","-2.18","5490"
"SIC","2022-01-25","1316","1352.9","1316","1331","-0.75","3692"
"SIC","2022-01-24","1376","1380","1336","1341","-4.15","6688"
"SIC","2022-01-23","1408","1410","1390","1399","1.01","4710"
"SIC","2022-01-20","1351","1389.9","1350.2","1385","1.47","2571"
"SIC","2022-01-19","1372.4","1400","1362","1365","-0.54","3832"
"SIC","2022-01-18","1395","1419.9","1372.4","1372.4","-3.35","3705"
"SIC","2022-01-17","1405","1464.7","1380","1420","1.04","10745"
"SIC","2022-01-16","1377.1","1425","1391","1405.4","2.06","4495"
"SIC","2022-01-13","1395","1410","1367.1","1377.1","0.44","3448"
"SIC","2022-01-12","1374","1425","1370","1371","-2.21","8020"
