"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SIFC","2022-05-05","340.1","350","327.1","339","-2.31","6738"
"SIFC","2022-05-04","350","361","340","347","-1.98","8554"
"SIFC","2022-05-02","368","368","352","354","-5.50","5322"
"SIFC","2022-04-28","380","392.5","368","374.6","-0.11","16081"
"SIFC","2022-04-27","381","381","365.1","375","0.00","7411"
"SIFC","2022-04-26","385","391","370.1","375","-2.60","7178"
"SIFC","2022-04-25","392","404","366.1","385","0.00","8744"
"SIFC","2022-04-24","346.1","385","346.1","385","10.00","10835"
"SIFC","2022-04-21","341.1","353","328.3","350","0.57","6572"
"SIFC","2022-04-20","365","365","339","348","-3.87","4315"
"SIFC","2022-04-19","364","364","353","362","1.40","3181"
"SIFC","2022-04-18","364","364.1","350","357","-3.25","4080"
"SIFC","2022-04-17","380","387","369","369","-2.77","2132"
"SIFC","2022-04-13","372","380","366","379.5","3.13","3161"
"SIFC","2022-04-12","375","376","361","368","-1.87","6337"
"SIFC","2022-04-11","393.7","408","372","375","-2.85","6086"
"SIFC","2022-04-07","390","397","383.3","386","0.52","5515"
"SIFC","2022-04-06","387","393","376.6","384","-2.29","7524"
"SIFC","2022-04-05","391.1","396","381.1","393","-1.26","6472"
"SIFC","2022-04-04","395","404","394.5","398","0.48","3187"
"SIFC","2022-04-03","400","402.1","396","396.1","-2.92","3151"
"SIFC","2022-03-31","415","415","402","408","-1.69","7073"
"SIFC","2022-03-30","393","415","388","415","5.33","7718"
"SIFC","2022-03-29","400","405","388","394","-0.25","6115"
"SIFC","2022-03-28","408","408","392.2","395","-1.25","5745"
"SIFC","2022-03-27","412","412","397","400","-4.08","10095"
"SIFC","2022-03-24","412.1","420","411.6","417","-0.71","6363"
"SIFC","2022-03-23","422.1","429.5","417","420","-2.12","4788"
"SIFC","2022-03-22","440","440","429.1","429.1","-1.99","3981"
"SIFC","2022-03-21","421","443","411","437.8","4.64","11310"
"SIFC","2022-03-20","411.6","426","411.6","418.4","-0.38","7271"
"SIFC","2022-03-16","425","425","418","420","-1.96","6724"
"SIFC","2022-03-15","419","428.4","416.6","428.4","0.92","9389"
"SIFC","2022-03-14","432","435","422.4","424.5","-1.51","8170"
"SIFC","2022-03-13","418.2","435","417","431","5.12","13611"
"SIFC","2022-03-10","395","417","395","410","3.80","10016"
"SIFC","2022-03-09","407.9","408","393","395","-1.25","30028"
"SIFC","2022-03-07","409","415","395","400","-0.74","8690"
"SIFC","2022-03-06","411","419","397","403","0.00","10233"
"SIFC","2022-03-02","426.5","430","400.9","403","-3.63","14758"
"SIFC","2022-02-28","444.7","444.7","417","418.2","-4.08","9512"
"SIFC","2022-02-27","436","436.6","426","436","0.00","7812"
"SIFC","2022-02-24","441","450","433.1","436","-3.11","17488"
"SIFC","2022-02-23","450","453","445","450","0.63","5747"
"SIFC","2022-02-22","445","458.9","445","447.2","0.72","9434"
"SIFC","2022-02-21","440","447","435.3","444","2.07","8154"
"SIFC","2022-02-20","444","446","434","435","-2.27","17658"
"SIFC","2022-02-17","442","462.8","442","445.1","-1.09","9469"
"SIFC","2022-02-16","462.5","465","447","450","-3.02","8295"
"SIFC","2022-02-15","453","464","444","464","4.29","10186"
"SIFC","2022-02-14","450","452","439","444.9","0.20","10015"
"SIFC","2022-02-13","452","470.2","436.1","444","-3.69","26093"
"SIFC","2022-02-10","480","480","459","461","-2.12","10608"
"SIFC","2022-02-09","464.5","473","462","471","0.86","16523"
"SIFC","2022-02-08","484.5","500","466","467","0.00","39797"
"SIFC","2022-02-07","469","478","465","475","2.15","10428"
"SIFC","2022-02-06","476","490","465","465","-2.72","21993"
"SIFC","2022-02-03","499.6","508","476","478","-2.45","34430"
"SIFC","2022-02-01","483","494","474.2","490","3.38","22720"
"SIFC","2022-01-31","492","494","473.5","474","-3.01","26504"
"SIFC","2022-01-30","464.1","490","464.1","488.7","7.41","31603"
"SIFC","2022-01-27","447","466","447","455","0.89","18270"
"SIFC","2022-01-26","460","466.9","447.2","451","-1.96","35252"
"SIFC","2022-01-25","461","485","458","460","-2.13","34527"
"SIFC","2022-01-24","489.1","495","461","470","-5.81","61281"
"SIFC","2022-01-23","510.1","518","492","499","-2.16","34583"
"SIFC","2022-01-20","488","512","480","510","4.47","30440"
"SIFC","2022-01-19","507.9","528","484","488.2","-1.97","46522"
"SIFC","2022-01-18","510","522","490","498","-4.05","51200"
"SIFC","2022-01-17","497","523","497","519","2.37","53835"
"SIFC","2022-01-16","508.9","529.3","505","507","-0.37","57954"
"SIFC","2022-01-13","474.4","508.9","470","508.9","5.14","55315"
"SIFC","2022-01-12","495.1","510","475","484","-1.83","46145"
"SIFC","2022-01-11","466","505","461","493","5.79","76464"
"SIFC","2022-01-10","468","476.9","450","466","1.53","46119"
"SIFC","2022-01-09","442","465.1","442","459","3.85","50078"
"SIFC","2022-01-06","438","449","432","442","0.01","29106"
"SIFC","2022-01-05","490","500","470.5","476","-1.43","109895"
"SIFC","2022-01-04","440","482.9","431","482.9","10.00","64781"
"SIFC","2022-01-03","428","449.8","420","439","4.52","67925"
"SIFC","2022-01-02","398","422.5","395","420","7.14","69431"
"SIFC","2021-12-29","404","405","392","392","-1.51","18944"
"SIFC","2021-12-28","378.3","406","372","398","3.65","29190"
"SIFC","2021-12-27","411.5","412","381.3","384","-4.83","38649"
"SIFC","2021-12-26","412","420.2","400","403.5","-0.62","32482"
"SIFC","2021-12-23","416","420","399.9","406","-1.93","42797"
"SIFC","2021-12-22","404","416","399","414","4.05","44350"
"SIFC","2021-12-21","390","406","383","397.9","3.89","26164"
"SIFC","2021-12-20","382.2","394","375","383","-1.79","22636"
"SIFC","2021-12-16","400","400","383","390","-3.47","34067"
"SIFC","2021-12-15","395","427","381","404","3.32","59467"
"SIFC","2021-12-14","367.2","396","355","391","8.61","36627"
"SIFC","2021-12-13","388","393","353.7","360","-8.40","111989"
"SIFC","2021-12-12","410","414","385","393","-3.20","38738"
"SIFC","2021-12-09","427","437","406","406","-5.14","66872"
"SIFC","2021-12-08","449","457.9","420.5","428","-4.89","19328"
"SIFC","2021-12-07","477","488","450","450","-5.26","21472"
"SIFC","2021-12-06","460","485","440","475","2.15","42699"
"SIFC","2021-12-05","482.2","492.8","460","465","-5.49","25290"
"SIFC","2021-12-02","525","528","488","492","-5.57","47837"
"SIFC","2021-12-01","535","535","515","521","-1.33","27314"
"SIFC","2021-11-30","525","535.5","517","528","0.57","21442"
"SIFC","2021-11-29","524.9","552","515","525","0.02","25905"
"SIFC","2021-11-28","543.9","553","518","524.9","-5.42","51445"
"SIFC","2021-11-25","564.9","565","545","555","0.00","14771"
"SIFC","2021-11-24","535","572","530","555","2.40","24274"
"SIFC","2021-11-23","561.59","565","540","542","-4.07","40318"
"SIFC","2021-11-22","570","583","564.1","565","-1.74","13872"
"SIFC","2021-11-21","582","591","572","575","-1.20","31522"
"SIFC","2021-11-18","573.4","585","565","582","-0.51","98096"
"SIFC","2021-11-17","572","593","569","585","2.45","92611"
"SIFC","2021-11-16","530","572","519","571","9.43","99219"
"SIFC","2021-11-15","519","538","517.9","521.8","2.51","43156"
"SIFC","2021-11-14","495","518","490","509","4.09","30424"
"SIFC","2021-11-11","506.7","520","488","489","-5.42","53202"
"SIFC","2021-11-09","542","557","516","517","-5.83","41647"
"SIFC","2021-11-08","552.8","561.9","545","549","1.29","25559"
"SIFC","2021-11-03","575","575","542","542","-4.07","30708"
"SIFC","2021-11-02","552","582","538.2","565","2.54","26036"
"SIFC","2021-11-01","583.3","586","551","551","-3.67","42485"
"SIFC","2021-10-31","549","574","537.2","572","6.12","47514"
"SIFC","2021-10-28","538","546.1","517.9","539","0.19","34204"
"SIFC","2021-10-27","545","565","520","538","-0.52","46160"
"SIFC","2021-10-26","501.5","540.8","501.5","540.8","9.99","52254"
"SIFC","2021-10-25","454","491.7","454","491.7","10.00","53150"
"SIFC","2021-10-24","425","447","421","447","5.10","14192"
"SIFC","2021-10-21","447","451","422","425.3","-4.19","13372"
"SIFC","2021-10-20","426.3","450","426.3","443.9","6.20","17250"
"SIFC","2021-10-19","454","454","411","418","-6.09","22969"
"SIFC","2021-10-18","460.6","467","442","445.1","-5.30","21679"
"SIFC","2021-10-17","479.4","498.4","461","470","0.00","6210"
"SIFC","2021-10-11","486","486","460","470","-1.47","14042"
"SIFC","2021-10-10","490","509","477","477","-0.83","48489"
"SIFC","2021-10-06","464.7","488","446.9","481","5.58","42049"
"SIFC","2021-10-05","445","458","437.1","455.6","4.26","21654"
"SIFC","2021-10-04","443","456","426","437","-1.13","28599"
"SIFC","2021-10-03","450","466","436.3","442","-3.28","25083"
"SIFC","2021-09-30","486","500","451","457","-4.19","28554"
"SIFC","2021-09-29","453","480","423.9","477","6.00","34489"
"SIFC","2021-09-28","490","510","449.1","450","-9.82","54263"
"SIFC","2021-09-27","523","530","490.7","499","-6.20","42323"
"SIFC","2021-09-26","570","570","526.4","532","-6.50","45469"
"SIFC","2021-09-23","581","600","550","569","-0.12","67039"
"SIFC","2021-09-22","528","569.8","528","569.7","9.98","56864"
