"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SIGS2","2022-05-05","10.7","10.7","10.7","10.7","-1.38","5000"
"SIGS2","2022-05-04","10.84","10.85","10.8","10.85","1.88","35500"
"SIGS2","2022-05-02","10.47","10.8","10.47","10.65","0.00","67350"
"SIGS2","2022-04-28","10.95","11.06","10.64","10.65","-1.84","82100"
"SIGS2","2022-04-27","10.85","10.85","10.85","10.85","-0.46","3000"
"SIGS2","2022-04-26","10.61","10.9","10.61","10.9","0.74","33707"
"SIGS2","2022-04-25","11","11","10.78","10.82","0.19","6500"
"SIGS2","2022-04-24","10.4","10.8","10.4","10.8","4.25","7000"
"SIGS2","2022-04-21","10.31","10.47","10.31","10.36","-1.24","5600"
"SIGS2","2022-04-20","10.29","10.49","10.29","10.49","0.19","34475"
"SIGS2","2022-04-19","10.47","10.48","10.47","10.47","0.67","10100"
"SIGS2","2022-04-18","10.49","10.49","10.4","10.4","-0.95","7200"
"SIGS2","2022-04-17","10.5","10.5","10.5","10.5","-1.04","4200"
"SIGS2","2022-04-13","10.4","10.61","10.4","10.61","1.92","5300"
"SIGS2","2022-04-12","10.38","10.55","10.38","10.41","-1.70","54007"
"SIGS2","2022-04-11","10.48","10.61","10.48","10.59","-0.94","6300"
"SIGS2","2022-04-07","10.95","10.95","10.69","10.69","-0.65","10500"
"SIGS2","2022-04-06","10.7","10.89","10.7","10.76","1.99","53450"
"SIGS2","2022-04-05","10.56","10.56","10.55","10.55","-1.68","4300"
"SIGS2","2022-04-03","11.06","11.07","10.73","10.73","-1.29","17600"
"SIGS2","2022-03-31","10.91","10.92","10.87","10.87","-0.37","19950"
"SIGS2","2022-03-30","10.7","10.91","10.7","10.91","0.55","13850"
"SIGS2","2022-03-29","10.82","10.85","10.81","10.85","-0.46","16600"
"SIGS2","2022-03-28","11.17","11.17","10.75","10.9","-0.55","23700"
"SIGS2","2022-03-27","11.36","11.36","10.96","10.96","-1.97","39600"
"SIGS2","2022-03-24","11","11.22","11","11.18","0.00","14550"
"SIGS2","2022-03-23","11.2","11.2","11.1","11.18","0.00","17300"
"SIGS2","2022-03-22","11.32","11.32","10.89","11.18","0.72","40600"
"SIGS2","2022-03-21","10.75","11.15","10.75","11.1","3.26","46455"
"SIGS2","2022-03-20","10.9","10.9","10.75","10.75","-1.83","19800"
"SIGS2","2022-03-16","10.88","10.95","10.67","10.95","-1.26","14300"
"SIGS2","2022-03-15","10.9","11.1","10.88","11.09","1.74","11550"
"SIGS2","2022-03-14","10.9","10.9","10.9","10.9","-1.62","2500"
"SIGS2","2022-03-13","10.86","11.08","10.66","11.08","4.04","4500"
"SIGS2","2022-03-10","10.4","10.65","10.4","10.65","1.14","1426"
"SIGS2","2022-03-09","10.65","10.86","10.53","10.53","-1.68","31470"
