"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SIL","2022-05-05","734","737","710","720","-2.17","4320"
"SIL","2022-05-04","760","760","733","736","-3.65","3222"
"SIL","2022-05-02","767.5","777","751","763.9","-2.44","10965"
"SIL","2022-04-28","790","796","770","783","0.38","6902"
"SIL","2022-04-27","766","780","766","780","0.00","1525"
"SIL","2022-04-26","789","789","762","780","0.39","5636"
"SIL","2022-04-25","780.1","800","766","777","-1.65","4582"
"SIL","2022-04-24","774.1","795","765.1","790","4.08","11364"
"SIL","2022-04-21","745","759","740","759","0.26","4893"
"SIL","2022-04-20","758","772","745","757","-1.43","7041"
"SIL","2022-04-19","760","775.9","760","768","0.92","6791"
"SIL","2022-04-18","770","784.9","758","761","-2.44","47619"
"SIL","2022-04-17","824","824","766","780","-3.58","20010"
"SIL","2022-04-13","820","820","785","809","-0.61","10302"
"SIL","2022-04-12","827.5","841","800","814","-3.53","7869"
"SIL","2022-04-11","864","870","816.2","843.8","-0.50","12457"
"SIL","2022-04-07","845","852","831","848","1.68","8028"
"SIL","2022-04-06","833","848","817.5","834","-1.77","13817"
"SIL","2022-04-05","860","860","833","849","-2.97","16958"
"SIL","2022-04-04","924.1","924.1","870.1","875","-3.42","21107"
"SIL","2022-04-03","927","945.5","897","906","-0.44","53547"
"SIL","2022-03-31","891.3","920","891.3","910","2.10","27840"
"SIL","2022-03-30","1025","1030","1000","1025","1.58","111375"
"SIL","2022-03-29","1009","1032","1004","1009.1","-1.69","22430"
"SIL","2022-03-28","1050","1050","1026.1","1026.4","-1.59","32163"
"SIL","2022-03-27","1030","1111","1030","1043","3.27","119754"
"SIL","2022-03-24","1015","1020","997","1010","0.80","50635"
"SIL","2022-03-23","1020","1020","996","1002","0.20","14778"
"SIL","2022-03-22","980","1009","980","1000","2.04","61341"
"SIL","2022-03-21","970","982","966","980","0.51","28153"
"SIL","2022-03-20","976","983","968","975","0.00","48784"
"SIL","2022-03-16","969","977.4","955","975","2.09","11567"
"SIL","2022-03-15","937.5","955.7","933.5","955","0.53","12725"
"SIL","2022-03-14","931","958","929.1","950","0.21","2921"
"SIL","2022-03-13","923.1","948","915","948","4.75","59978"
"SIL","2022-03-10","885","905","880","905","3.43","4942"
"SIL","2022-03-09","895","895","875","875","-2.78","7689"
"SIL","2022-03-07","905","911","887","900","-0.55","4313"
"SIL","2022-03-06","900","923","896","905","1.00","5134"
"SIL","2022-03-02","917","917","896","896","-2.40","7982"
"SIL","2022-02-28","964","964","918","918","-2.96","6175"
"SIL","2022-02-27","953.7","953.7","921","946","1.18","22118"
"SIL","2022-02-24","975","975","935","935","-5.08","22000"
"SIL","2022-02-23","972","985","972","985","0.00","2815"
"SIL","2022-02-22","998","998","975.3","985","-0.45","11947"
"SIL","2022-02-21","970.1","989.5","970.1","989.5","1.49","2745"
"SIL","2022-02-20","976.1","980","957","975","-2.11","10040"
"SIL","2022-02-17","1000","1000","980.1","996","0.10","4971"
"SIL","2022-02-16","990","1005","982","995","0.12","13926"
"SIL","2022-02-15","1000","1000","975.2","993.8","1.30","7118"
"SIL","2022-02-14","970","995","965.3","981","-0.41","7912"
"SIL","2022-02-13","990","990","970","985","-2.48","16244"
"SIL","2022-02-10","1020","1021.8","1000","1010","0.80","11211"
"SIL","2022-02-09","1021","1025","1001","1002","-2.34","6829"
"SIL","2022-02-08","1030","1040.5","1020.1","1026","0.00","31266"
"SIL","2022-02-07","1014.9","1030","994","1015","1.50","21295"
"SIL","2022-02-06","1018","1018","997.7","1000","-1.77","13861"
"SIL","2022-02-03","1009.8","1050","1009.8","1018","2.83","74774"
"SIL","2022-02-01","990","1000","972","990","0.30","13144"
"SIL","2022-01-31","991","1011","987","987","-0.50","11538"
"SIL","2022-01-30","979","1018","979","992","3.34","11984"
"SIL","2022-01-27","955","973","954","959.9","0.41","5930"
"SIL","2022-01-26","980","980","946","956","-1.54","8763"
"SIL","2022-01-25","955","993","955","971","0.41","6306"
"SIL","2022-01-24","988","1000","955","967","-4.07","12611"
"SIL","2022-01-23","1025","1025","1000","1008","0.00","19186"
"SIL","2022-01-20","965.1","1008","965.1","1008","2.86","11991"
"SIL","2022-01-19","1010","1030","975","980","-1.11","13578"
"SIL","2022-01-18","1041","1041","991","991","-3.79","19484"
"SIL","2022-01-17","1032","1032","1014","1030","-0.19","16314"
