"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SINDUP","2021-10-10","225","225","225","225","0.00","34926"
"SINDUP","2021-04-25","111","111","111","111","0.00","883"
"SINDUP","2021-04-20","111","111","111","111","0.00","26828"
"SINDUP","2021-04-12","111","111","111","111","0.00","251479"
"SINDUP","2021-02-21","111","111","111","111","0.00","90950"
"SINDUP","2020-01-01","111","111","111","111","0.00","9535"
"SINDUP","2019-09-11","111","111","111","111","0.00","31328"
"SINDUP","2019-08-26","111","111","111","111","0.00","7693"
"SINDUP","2019-08-15","111","111","111","111","0.00","32314"
"SINDUP","2019-07-17","111","111","111","111","0.00","100"
"SINDUP","2018-12-30","111","111","111","111","0.00","4979"
"SINDUP","2018-07-04","111","111","111","111","0.91","12713"
"SINDUP","2017-12-19","107","107","107","107","0.00","11554"
"SINDUP","2017-06-25","190","190","190","190","0.00","20974"
"SINDUP","2017-06-20","190","190","190","190","0.00","21580"
"SINDUP","2017-02-22","250","250","250","250","0.00","10000"
"SINDUP","2016-11-24","250","250","250","250","0.00","1500"
"SINDUP","2016-10-19","250","250","250","250","0.00","26271"
