"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SINDU","2022-05-05","310","315","300","308","-2.22","3583"
"SINDU","2022-05-04","320","324","314.1","315","-1.56","5579"
"SINDU","2022-05-02","323.4","323.4","313.1","320","-3.03","5119"
"SINDU","2022-04-28","345","347","329.1","330","-3.20","6065"
"SINDU","2022-04-27","331","342","321.5","340.9","1.67","2898"
"SINDU","2022-04-26","344.9","345.1","334","335.3","-0.92","3794"
"SINDU","2022-04-25","341.1","350","335","338.4","-0.79","8479"
"SINDU","2022-04-24","327","351.9","327","341.1","5.93","9523"
"SINDU","2022-04-21","315","326","313","322","0.63","6560"
"SINDU","2022-04-20","335","335","320","320","-4.51","4355"
"SINDU","2022-04-19","330","346","324","335.1","1.55","5925"
"SINDU","2022-04-18","335","339","328","330","-3.23","10165"
"SINDU","2022-04-17","354.4","360","341","341","-1.87","4144"
"SINDU","2022-04-13","340","355","335","347.5","0.17","7558"
"SINDU","2022-04-12","357","357","335","346.9","-0.89","6242"
"SINDU","2022-04-11","363.1","371","350","350","-1.69","6674"
"SINDU","2022-04-07","353","365","347","356","1.37","5751"
"SINDU","2022-04-06","363","366","351.2","351.2","-1.35","7285"
"SINDU","2022-04-05","352","361","345","356","0.00","8324"
"SINDU","2022-04-04","360","365.9","355.2","356","-1.93","3286"
"SINDU","2022-04-03","366","366","354","363","-1.09","3939"
"SINDU","2022-03-31","375","384","366.1","367","-3.42","4612"
"SINDU","2022-03-30","364","380","358","380","6.38","8320"
"SINDU","2022-03-29","370","372","357","357.2","-2.14","6113"
"SINDU","2022-03-28","372","378","365","365","-1.88","5200"
"SINDU","2022-03-27","381","381","367","372","-3.20","10335"
"SINDU","2022-03-24","392.4","394","384.3","384.3","-1.99","7747"
"SINDU","2022-03-23","396","399.9","392.1","392.1","-0.98","5243"
"SINDU","2022-03-22","402.9","404.9","396","396","0.25","19014"
"SINDU","2022-03-21","389","396.7","378.2","395","3.40","6351"
"SINDU","2022-03-20","386","390","381.2","382","-0.78","3785"
"SINDU","2022-03-16","390","392.9","384","385","-0.52","14355"
"SINDU","2022-03-15","393","397","377.1","387","-1.53","9510"
"SINDU","2022-03-14","400.8","400.8","386","393","0.00","4968"
"SINDU","2022-03-13","380","393","374","393","4.80","20411"
"SINDU","2022-03-10","350","375","343","375","5.04","8578"
"SINDU","2022-03-09","360","362","356","357","-0.83","7617"
"SINDU","2022-03-07","363.5","369.8","360","360","-0.72","12761"
"SINDU","2022-03-06","363","374","362","362.6","-0.17","10116"
"SINDU","2022-03-02","385.5","385.5","363","363.2","-3.92","14454"
"SINDU","2022-02-28","376.5","389.7","372","378","-1.07","9971"
"SINDU","2022-02-27","388","390","375","382.1","-0.23","10821"
"SINDU","2022-02-24","387.1","394","381","383","-3.04","15096"
"SINDU","2022-02-23","404.9","404.9","395","395","-1.00","6089"
"SINDU","2022-02-22","402","404","396","399","1.01","8992"
"SINDU","2022-02-21","402","402","388","395","0.00","8836"
"SINDU","2022-02-20","393","403","386","395","-1.50","20522"
"SINDU","2022-02-17","399.2","405","399.1","401","-0.25","11166"
"SINDU","2022-02-16","410","415","401.8","402","-2.19","4761"
"SINDU","2022-02-15","400","411","399","411","2.75","21994"
"SINDU","2022-02-14","406","412","400","400","-0.99","9717"
"SINDU","2022-02-13","414.7","414.7","400","404","-4.51","26435"
"SINDU","2022-02-10","406","428","406","423.1","2.20","43580"
"SINDU","2022-02-09","413","423","413","414","-0.72","8216"
"SINDU","2022-02-08","430.5","440","417","417","0.00","16969"
"SINDU","2022-02-07","420","427","420","422.1","0.50","9732"
"SINDU","2022-02-06","423","432","415.5","420","-2.33","16986"
"SINDU","2022-02-03","442","450","430","430","-0.92","54921"
"SINDU","2022-02-01","416","443","416","434","2.72","29365"
"SINDU","2022-01-31","442.6","444","421","422.5","-2.65","22696"
"SINDU","2022-01-30","411","435","411","434","7.69","29930"
"SINDU","2022-01-27","413","413","402.1","403","-0.49","17236"
