"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SJCL","2022-05-05","317","321","296","298.2","-5.69","26995"
"SJCL","2022-05-04","324","335","310","316.2","-4.18","18891"
"SJCL","2022-05-02","333","333.9","328.3","330","-2.65","6958"
"SJCL","2022-04-28","348.8","348.8","333.3","339","-0.88","9925"
"SJCL","2022-04-27","332","345.7","330.2","342","1.79","10728"
"SJCL","2022-04-26","342","362","336","336","-1.75","8205"
"SJCL","2022-04-25","358","359","341.1","342","-2.56","5588"
"SJCL","2022-04-24","338","358.9","334","351","5.09","13216"
"SJCL","2022-04-21","335.2","341","325.6","334","-2.34","14192"
"SJCL","2022-04-20","336.4","349.9","330","342","-0.35","7619"
"SJCL","2022-04-19","342","347.9","336","343.2","-1.38","7032"
"SJCL","2022-04-18","350","355","342","348","-0.66","15728"
"SJCL","2022-04-17","346","374","345","350.3","0.09","19545"
"SJCL","2022-04-13","342","357","340","350","1.16","4887"
"SJCL","2022-04-12","347.1","349","338.1","346","-2.26","6185"
"SJCL","2022-04-11","355","361.6","350","354","0.54","15794"
"SJCL","2022-04-07","355","358.9","351","352.1","0.60","13398"
"SJCL","2022-04-06","347","359.8","347","350","-0.85","25903"
"SJCL","2022-04-05","346","356.9","344","353","0.86","17730"
"SJCL","2022-04-04","351","356","350","350","-1.38","8152"
"SJCL","2022-04-03","352","356","352","354.9","-0.87","5064"
"SJCL","2022-03-31","358.1","364","357.1","358","-1.65","7653"
"SJCL","2022-03-30","350.1","367","350.1","364","2.82","9770"
"SJCL","2022-03-29","360","360","353","354","-0.31","7452"
"SJCL","2022-03-28","355","360","354","355.1","-1.09","5586"
"SJCL","2022-03-27","365","365","358","359","-1.91","19852"
"SJCL","2022-03-24","368","373","365.2","366","-2.40","7369"
"SJCL","2022-03-23","372.4","375","369","375","-0.29","5760"
"SJCL","2022-03-22","375.5","381","375.5","376.1","0.03","9596"
"SJCL","2022-03-21","363.1","378","363.1","376","1.62","9409"
"SJCL","2022-03-20","367","385","364","370","-0.27","10784"
"SJCL","2022-03-16","370","374.5","368","371","-1.04","7163"
"SJCL","2022-03-15","371","375","371","374.9","-0.03","10587"
"SJCL","2022-03-14","377.1","382","375","375","-1.83","5330"
"SJCL","2022-03-13","377","384.5","375.1","382","1.25","21818"
"SJCL","2022-03-10","351.3","377.3","351.3","377.3","5.98","14325"
