"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SICL","2022-05-05","1085","1122","1072","1077","-2.37","6248"
"SICL","2022-05-04","1125","1144","1082","1103.2","-1.85","6451"
"SICL","2022-05-02","1154","1154","1110","1124","-0.71","4414"
"SICL","2022-04-28","1149","1150","1132","1132","-0.44","3398"
"SICL","2022-04-27","1120.1","1139","1118","1137","0.35","5574"
"SICL","2022-04-26","1125","1146","1125","1133","-1.22","8010"
"SICL","2022-04-25","1132","1198","1132","1147","-0.61","10170"
"SICL","2022-04-24","1157.7","1158","1135","1154","1.67","9537"
"SICL","2022-04-21","1120","1140","1120","1135","0.44","5037"
"SICL","2022-04-20","1108.4","1149","1108.4","1130","-0.09","4822"
"SICL","2022-04-19","1137","1144","1120","1131","-0.53","6974"
"SICL","2022-04-18","1150","1153","1135","1137","-1.98","5065"
"SICL","2022-04-17","1193","1193","1151","1160","-0.85","6780"
"SICL","2022-04-13","1179","1179","1133.9","1170","1.12","8407"
"SICL","2022-04-12","1185.6","1198","1155","1157","-2.41","8179"
"SICL","2022-04-11","1232.3","1249.5","1185","1185.6","-1.87","11689"
"SICL","2022-04-07","1205","1230","1200","1208.2","0.27","7047"
"SICL","2022-04-06","1235","1240","1203","1205","-3.75","14819"
"SICL","2022-04-05","1275","1280","1237.1","1252","-2.95","11842"
"SICL","2022-04-04","1322.5","1322.5","1281","1290","-0.54","9617"
"SICL","2022-04-03","1335","1336","1297","1297","-1.22","7002"
"SICL","2022-03-31","1323","1337","1300","1313","-0.76","5881"
"SICL","2022-03-30","1315.1","1332","1305","1323","0.61","6051"
"SICL","2022-03-29","1358","1358","1315","1315","-1.28","4764"
"SICL","2022-03-28","1380","1380","1325","1332","-2.06","8261"
"SICL","2022-03-27","1382","1428","1334","1360","-1.59","15724"
"SICL","2022-03-24","1414","1414","1380","1382","-0.93","6235"
"SICL","2022-03-23","1412.8","1412.9","1385","1395","-0.16","2636"
"SICL","2022-03-22","1400","1420","1392","1397.2","0.16","7472"
"SICL","2022-03-21","1400","1400","1371","1395","0.00","4059"
"SICL","2022-03-20","1410","1427","1390","1395","-1.06","8108"
"SICL","2022-03-16","1427","1427","1401","1410","0.43","4590"
"SICL","2022-03-15","1425","1425","1404","1404","-1.47","8632"
"SICL","2022-03-14","1430","1449","1421","1425","-0.22","3863"
"SICL","2022-03-13","1375","1440","1375","1428.2","4.65","14987"
"SICL","2022-03-10","1342","1366","1342","1364.8","0.72","5726"
"SICL","2022-03-09","1387.2","1387.2","1350.2","1355","-0.37","5855"
"SICL","2022-03-07","1385.9","1385.9","1360","1360","-0.14","5514"
"SICL","2022-03-06","1347","1362","1325","1361.9","1.11","8953"
"SICL","2022-03-02","1390","1390","1345.5","1347","-3.09","13633"
"SICL","2022-02-28","1423","1425","1387","1390","-0.44","11149"
"SICL","2022-02-27","1404","1431","1395","1396.1","-0.56","9837"
"SICL","2022-02-24","1430","1435","1390","1404","-2.50","19905"
"SICL","2022-02-23","1448","1455","1430","1440","-0.62","5145"
"SICL","2022-02-22","1455","1458","1430","1449","1.33","7886"
"SICL","2022-02-21","1450","1467.9","1426","1430","0.21","12244"
"SICL","2022-02-20","1425.9","1453","1399","1427","-1.92","11486"
"SICL","2022-02-17","1455","1465","1449","1455","0.27","9030"
"SICL","2022-02-16","1497","1497","1451","1451.1","-1.55","9205"
"SICL","2022-02-15","1475","1478","1446","1474","1.66","14042"
"SICL","2022-02-14","1404.4","1460","1400","1450","1.19","19759"
"SICL","2022-02-13","1490","1490","1425","1433","-5.04","38720"
"SICL","2022-02-10","1520","1530","1500","1509","-1.24","21953"
"SICL","2022-02-09","1560","1569","1522","1528","-2.18","21734"
"SICL","2022-02-08","1615.6","1647","1560","1562","0.00","23862"
"SICL","2022-02-07","1568","1630","1568","1584","-1.00","20634"
"SICL","2022-02-06","1581.7","1650","1581.7","1600","3.17","87486"
"SICL","2022-02-03","2005","2030","1980","1986","-0.55","134452"
"SICL","2022-02-01","2034","2035","1990","1997","-0.15","37556"
"SICL","2022-01-31","2042","2058.8","1999","2000","-2.06","47626"
"SICL","2022-01-30","2035.9","2118","2030","2042","2.30","49964"
"SICL","2022-01-27","1974.9","2050","1970.5","1996","3.09","55151"
"SICL","2022-01-26","2000","2000","1930","1936.2","-1.91","40311"
"SICL","2022-01-25","2000","2009.4","1930","1974","-0.50","51203"
"SICL","2022-01-24","2070","2070","1978","1984","-3.54","82920"
"SICL","2022-01-23","2049.1","2157","2036","2056.9","2.38","84066"
"SICL","2022-01-20","1925","2024.9","1911","2009","4.47","89152"
"SICL","2022-01-19","1920","1942","1900","1923","0.47","33075"
"SICL","2022-01-18","1920","1954","1906","1914","0.00","41479"
"SICL","2022-01-17","1885","1917","1840","1914","3.52","42110"
"SICL","2022-01-16","1823","1880","1835","1849","1.43","29960"
"SICL","2022-01-13","1819","1835","1802","1823","1.56","30918"
"SICL","2022-01-12","1834","1855","1780","1795","-1.91","30054"
"SICL","2022-01-11","1778","1839","1778","1830","2.98","45516"
"SICL","2022-01-10","1767","1797","1765","1777","0.68","22040"
"SICL","2022-01-09","1755","1800","1755","1765","1.44","19425"
"SICL","2022-01-06","1740","1770","1730.1","1740","0.00","11809"
"SICL","2022-01-05","1745","1765","1722","1740","0.23","31867"
"SICL","2022-01-04","1751","1755","1730","1736","-0.80","15126"
"SICL","2022-01-03","1736","1770","1715.1","1750","2.82","38932"
