"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SLBBLP","2021-12-22","523","523","523","523","0.00","2500"
"SLBBLP","2021-09-29","810","810","810","810","0.00","3000"
"SLBBLP","2021-09-27","810","810","810","810","0.00","6480"
"SLBBLP","2021-09-22","810","810","810","810","0.00","5000"
"SLBBLP","2021-07-12","810","810","810","810","0.00","20000"
"SLBBLP","2021-06-21","810","810","810","810","0.00","7000"
"SLBBLP","2021-01-20","642","642","642","642","0.00","7500"
"SLBBLP","2021-01-11","642","642","642","642","0.00","15858"
"SLBBLP","2020-09-22","450","450","450","450","0.00","7000"
"SLBBLP","2020-08-25","450","450","450","450","0.00","10000"
"SLBBLP","2020-07-14","262","262","262","262","0.00","46000"
"SLBBLP","2019-08-19","262","262","262","262","0.00","8000"
"SLBBLP","2019-07-11","262","262","262","262","0.00","6000"
"SLBBLP","2019-05-09","262","262","262","262","-1.87","5600"
"SLBBLP","2019-04-01","267","267","267","267","-1.84","3000"
"SLBBLP","2019-03-28","267","267","247","247","-9.19","9063"
"SLBBLP","2018-05-06","675","675","675","675","0.00","1000"
"SLBBLP","2018-04-04","675","675","675","675","0.00","655"
"SLBBLP","2017-03-28","1000","1000","1000","1000","0.00","6304"
"SLBBLP","2017-03-23","1000","1000","1000","1000","0.00","1521"
"SLBBLP","2016-10-03","1000","1000","1000","1000","0.00","4838"
"SLBBLP","2016-10-02","1000","1000","1000","1000","0.00","9257"
"SLBBLP","2016-08-23","1000","1000","1000","1000","0.00","1000"
"SLBBLP","2016-08-21","1000","1000","1000","1000","0.00","3419"
"SLBBLP","2016-08-10","1078","1078","1000","1000","-9.09","5838"
"SLBBLP","2016-07-28","1221","1197","1100","1100","-9.91","9440"
"SLBBLP","2016-07-27","1350","1350","1221","1221","-9.56","60"
