"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SLBBL","2022-05-05","895","900","872.1","889","-1.88","3367"
"SLBBL","2022-05-04","924.1","924.1","905","906","0.00","1431"
"SLBBL","2022-05-02","916","920","900.1","906","-1.76","1739"
"SLBBL","2022-04-28","955","955","922.2","922.2","-2.21","2875"
"SLBBL","2022-04-27","940","943","930.3","943","-0.21","815"
"SLBBL","2022-04-26","944","953","937","945","0.12","859"
"SLBBL","2022-04-25","963","982.2","943.9","943.9","-1.98","3870"
"SLBBL","2022-04-24","947","972","920","963","3.55","2208"
"SLBBL","2022-04-21","943","943","905","930","0.54","3427"
"SLBBL","2022-04-20","967","967","922","925","-4.24","2322"
"SLBBL","2022-04-19","940","967","921.6","966","1.79","3529"
"SLBBL","2022-04-18","935.5","950","931","949","-0.42","4246"
"SLBBL","2022-04-17","993.5","993.5","953","953","-2.17","1979"
"SLBBL","2022-04-13","955","974.1","950","974.1","2.00","1060"
"SLBBL","2022-04-12","955","989","950","955","-1.48","3931"
"SLBBL","2022-04-11","982","998","969.3","969.3","-2.09","3175"
"SLBBL","2022-04-07","980","1000","970","990","2.59","5956"
"SLBBL","2022-04-06","978","1000","965","965","-3.02","5827"
"SLBBL","2022-04-05","1016.1","1016.1","980","995","-0.12","3949"
"SLBBL","2022-04-04","1010","1010","996.2","996.2","-1.07","5676"
"SLBBL","2022-04-03","1015","1015","1005.2","1007","-1.76","1959"
"SLBBL","2022-03-31","1060","1060","1025","1025","-3.76","3694"
"SLBBL","2022-03-30","1020","1065","1010","1065","4.41","5359"
"SLBBL","2022-03-29","1008","1022","999","1020","0.99","12530"
"SLBBL","2022-03-28","1016.2","1026","1010","1010","-1.46","3336"
"SLBBL","2022-03-27","1045","1046","1025","1025","-3.76","7137"
"SLBBL","2022-03-24","1010.1","1069","1007","1065","4.61","9326"
"SLBBL","2022-03-23","1023","1035","1018.1","1018.1","-1.73","3128"
"SLBBL","2022-03-22","1035","1046","1032","1036","0.29","2081"
"SLBBL","2022-03-21","1005","1033.5","1003.7","1033","1.37","2255"
"SLBBL","2022-03-20","1009","1020","999","1019","-0.10","3197"
"SLBBL","2022-03-16","1039","1050","1015","1020","0.00","3678"
"SLBBL","2022-03-15","1046","1046","1008.5","1020","-2.86","6421"
"SLBBL","2022-03-14","1045","1059","1033","1050","0.96","2085"
"SLBBL","2022-03-13","1010","1055","1010","1040","4.31","7564"
"SLBBL","2022-03-10","974","998","974","997","2.34","3454"
"SLBBL","2022-03-09","1000","1000","974.2","974.2","-1.00","1678"
"SLBBL","2022-03-07","999","999","980","984","0.41","3027"
"SLBBL","2022-03-06","985","994","965.5","980","1.01","2396"
"SLBBL","2022-03-02","985","998","970.1","970.2","-2.98","4851"
"SLBBL","2022-02-28","1022","1022","999","1000","-0.99","3383"
"SLBBL","2022-02-27","1035","1045","1010","1010","-1.46","3459"
"SLBBL","2022-02-24","1040","1050","1015","1025","-3.12","8103"
"SLBBL","2022-02-23","1080","1080","1058","1058","-1.03","3426"
"SLBBL","2022-02-22","1068","1082","1044.7","1069","0.28","2870"
"SLBBL","2022-02-21","1071","1078","1035.9","1066","-0.84","5663"
"SLBBL","2022-02-20","1073.1","1084","1051.7","1075","-1.83","3535"
"SLBBL","2022-02-17","1077.2","1098","1077","1095","-0.36","2498"
"SLBBL","2022-02-16","1098","1100","1078.1","1099","0.73","2286"
"SLBBL","2022-02-15","1056.1","1091","1056.1","1091","2.63","4236"
"SLBBL","2022-02-14","1055","1065","1043","1063","0.76","3025"
"SLBBL","2022-02-13","1085","1086.3","1054","1055","-4.61","6442"
"SLBBL","2022-02-10","1084","1114","1084","1106","0.55","3537"
"SLBBL","2022-02-09","1115","1124","1099","1100","-2.22","5286"
"SLBBL","2022-02-08","1159","1175","1121","1125","0.00","5666"
"SLBBL","2022-02-07","1149.9","1150","1124","1138","0.26","2315"
"SLBBL","2022-02-06","1139","1146","1120","1135","-2.07","3091"
"SLBBL","2022-02-03","1180","1192","1159","1159","-1.36","6657"
"SLBBL","2022-02-01","1147.1","1175","1146","1175","0.95","2222"
"SLBBL","2022-01-31","1185","1188","1156","1164","-0.51","6634"
"SLBBL","2022-01-30","1120","1170","1120","1170","5.69","5943"
"SLBBL","2022-01-27","1130","1140.9","1093","1107","-1.25","7840"
"SLBBL","2022-01-26","1130","1142","1110","1121","-1.76","4398"
