"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SLBSL","2022-05-05","1320","1351.5","1300","1315","-0.23","2439"
"SLBSL","2022-05-04","1305","1325","1301","1318","-0.60","848"
"SLBSL","2022-05-02","1275","1326","1252.1","1326","2.00","308"
"SLBSL","2022-04-28","1310","1335","1300","1300","-0.76","249"
"SLBSL","2022-04-27","1336.2","1336.2","1310","1310","0.00","46"
"SLBSL","2022-04-26","1330","1383","1304.1","1310","-3.44","658"
"SLBSL","2022-04-25","1325","1356.6","1310","1356.6","3.56","2188"
"SLBSL","2022-04-24","1328","1331.1","1280","1310","0.38","882"
"SLBSL","2022-04-21","1310","1336.2","1250","1305","0.38","1860"
"SLBSL","2022-04-20","1286","1312","1261","1300","3.08","1428"
"SLBSL","2022-04-19","1275.1","1296","1252","1261.1","-1.10","1817"
"SLBSL","2022-04-18","1303","1304.5","1274","1275.1","-0.30","2711"
"SLBSL","2022-04-17","1230","1314","1230","1279","3.98","2684"
"SLBSL","2022-04-13","1219","1230","1219","1230","0.24","63"
"SLBSL","2022-04-12","1275","1275","1227","1227","-1.84","519"
"SLBSL","2022-04-11","1300","1314","1241.1","1250","-3.10","406"
"SLBSL","2022-04-07","1221","1290","1221","1290","4.88","961"
"SLBSL","2022-04-06","1225","1254","1205","1230","0.08","1106"
"SLBSL","2022-04-05","1233","1255","1229","1229","-2.07","697"
"SLBSL","2022-04-04","1248","1255","1244","1255","-0.08","276"
"SLBSL","2022-04-03","1250","1256","1250","1256","-1.02","40"
"SLBSL","2022-03-31","1261","1294","1261","1269","-1.25","282"
"SLBSL","2022-03-30","1240","1285","1216","1285","3.96","506"
"SLBSL","2022-03-29","1210","1236","1209.3","1236","0.57","96"
"SLBSL","2022-03-28","1227.1","1229","1227","1229","-0.90","545"
"SLBSL","2022-03-27","1238","1250","1238","1240.2","-1.57","118"
"SLBSL","2022-03-24","1250","1270","1250","1260","-0.79","434"
"SLBSL","2022-03-23","1260","1270","1253.2","1270","-0.63","281"
"SLBSL","2022-03-22","1304","1304","1255.1","1278","-0.04","556"
"SLBSL","2022-03-21","1228","1278.5","1217","1278.5","4.03","364"
"SLBSL","2022-03-20","1227","1229","1227","1229","-0.16","438"
"SLBSL","2022-03-16","1225.1","1247.9","1225.1","1231","-1.52","260"
"SLBSL","2022-03-15","1230","1250","1230","1250","2.03","713"
"SLBSL","2022-03-14","1250","1250","1225","1225.1","-0.80","323"
"SLBSL","2022-03-13","1234","1256","1231","1235","2.07","496"
"SLBSL","2022-03-10","1161","1219.9","1159","1210","2.54","404"
"SLBSL","2022-03-09","1250","1250","1180","1180","-5.60","269"
"SLBSL","2022-03-07","1198","1299","1178","1250","4.34","716"
"SLBSL","2022-03-06","1220","1220","1174","1198","-0.08","427"
"SLBSL","2022-03-02","1225","1225","1177","1199","-3.38","1281"
"SLBSL","2022-02-28","1250","1285","1218","1241","-1.90","1330"
"SLBSL","2022-02-27","1253","1300","1253","1265","-0.95","270"
"SLBSL","2022-02-24","1300.1","1311","1276.1","1277.1","-3.69","909"
"SLBSL","2022-02-23","1283","1326","1283","1326","2.63","601"
"SLBSL","2022-02-22","1320","1320","1281.3","1292","-0.23","1083"
"SLBSL","2022-02-21","1270","1309","1270","1295","0.69","669"
"SLBSL","2022-02-20","1286","1337","1286","1286.1","-1.97","743"
"SLBSL","2022-02-17","1335","1335","1310","1312","-0.42","437"
"SLBSL","2022-02-16","1320","1320","1313","1317.5","-1.68","497"
"SLBSL","2022-02-15","1310","1340","1310","1340","1.59","499"
"SLBSL","2022-02-14","1310","1356","1310","1319","1.46","445"
"SLBSL","2022-02-13","1320","1343","1296","1300","-3.35","2361"
"SLBSL","2022-02-10","1341","1345","1294","1345","0.30","504"
"SLBSL","2022-02-09","1335","1341","1302.1","1341","0.81","585"
"SLBSL","2022-02-08","1380","1380","1330.2","1330.2","0.00","1202"
"SLBSL","2022-02-07","1380","1380","1353","1353","-1.96","245"
"SLBSL","2022-02-06","1380","1400","1364","1380","-0.79","823"
"SLBSL","2022-02-03","1340","1400","1340","1391","3.04","4642"
"SLBSL","2022-02-01","1366.8","1366.8","1340","1350","0.75","1692"
"SLBSL","2022-01-31","1342","1342","1315","1340","-0.15","260"
"SLBSL","2022-01-30","1306.6","1342","1306.6","1342","4.76","895"
"SLBSL","2022-01-27","1326","1326","1267.1","1281","-1.46","2056"
"SLBSL","2022-01-26","1296","1300","1296","1300","-1.29","1489"
"SLBSL","2022-01-25","1330","1340","1305","1317","0.23","1190"
"SLBSL","2022-01-24","1404","1404","1314","1314","-4.92","1956"
"SLBSL","2022-01-23","1350","1382.1","1325","1382","3.83","2936"
"SLBSL","2022-01-20","1282.4","1348","1282.4","1331","2.68","815"
"SLBSL","2022-01-19","1322","1323","1296","1296.3","-1.94","2158"
"SLBSL","2022-01-18","1359","1359","1322","1322","-2.87","2889"
"SLBSL","2022-01-17","1347","1361","1337","1361","0.00","1270"
"SLBSL","2022-01-16","1305.5","1412.7","1331","1361","4.25","1495"
"SLBSL","2022-01-13","1257","1333","1257","1305.5","2.63","928"
"SLBSL","2022-01-12","1320","1325","1272","1272","-2.90","2885"
"SLBSL","2022-01-11","1250.9","1321.9","1250","1310","5.47","1044"
"SLBSL","2022-01-10","1259","1264","1242.1","1242.1","0.17","1602"
"SLBSL","2022-01-09","1229","1270","1229","1240","0.90","946"
"SLBSL","2022-01-06","1200","1229","1197","1229","0.66","664"
"SLBSL","2022-01-05","1230","1254.6","1210","1221","-2.71","1332"
"SLBSL","2022-01-04","1220","1294","1195.6","1255","2.87","1614"
"SLBSL","2022-01-03","1177","1245","1177","1220","5.63","1025"
"SLBSL","2022-01-02","1098","1173","1098","1155","5.77","1153"
"SLBSL","2021-12-29","1065","1115","1065","1092","1.11","574"
"SLBSL","2021-12-28","1081","1081","1059","1080","1.89","459"
"SLBSL","2021-12-27","1120","1142","1060","1060","-4.50","2739"
"SLBSL","2021-12-26","1060.6","1117","1060.6","1109.9","6.71","2094"
"SLBSL","2021-12-23","1085","1085","1029","1040.1","-2.89","1259"
"SLBSL","2021-12-22","1041","1075","1023","1071","4.91","1485"
"SLBSL","2021-12-21","992","1020.9","992","1020.9","1.99","203"
"SLBSL","2021-12-20","1010","1010","990","1001","0.10","272"
"SLBSL","2021-12-16","1030","1030","1000","1000","-4.76","420"
"SLBSL","2021-12-15","1080","1101","1020","1050","-0.85","934"
"SLBSL","2021-12-14","990","1059","990","1059","8.62","609"
"SLBSL","2021-12-13","993","1000","951.6","975","-3.56","2020"
"SLBSL","2021-12-12","1074","1095","1011","1011","-8.09","1273"
"SLBSL","2021-12-09","1144.7","1144.7","1067","1100","-5.82","3887"
"SLBSL","2021-12-08","1277","1277","1150","1168","-8.54","3757"
"SLBSL","2021-12-07","1277","1281","1277","1277","0.00","210"
"SLBSL","2021-12-06","1255","1280","1235","1277","-0.23","337"
"SLBSL","2021-12-05","1284","1290","1234","1280","-2.29","1003"
"SLBSL","2021-12-02","1320.1","1339","1301","1310","-2.60","316"
"SLBSL","2021-12-01","1313.2","1394","1313.2","1345","0.37","520"
"SLBSL","2021-11-30","1328","1342","1324","1340","-0.37","334"
"SLBSL","2021-11-29","1300","1378","1300","1345","3.46","445"
"SLBSL","2021-11-28","1364","1364","1300","1300","-4.69","903"
"SLBSL","2021-11-25","1370","1388","1364","1364","-1.87","655"
"SLBSL","2021-11-24","1395","1395","1367.4","1390","-0.86","266"
"SLBSL","2021-11-23","1374","1402","1352","1402","1.96","656"
"SLBSL","2021-11-22","1370","1433","1370","1375","-0.94","843"
"SLBSL","2021-11-21","1400","1405","1388","1388","-2.60","1231"
"SLBSL","2021-11-18","1450","1450","1421","1425","-1.72","641"
"SLBSL","2021-11-17","1495","1500","1435","1450","-2.62","1067"
