"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SLBS","2021-08-31","1752","1752","1700","1713","-3.12","681"
"SLBS","2021-08-29","1765","1800","1765","1768.1","-1.77","1144"
"SLBS","2021-08-26","1805","1806.3","1771","1800","-0.33","1215"
"SLBS","2021-08-25","1821","1821","1800.6","1806","-1.69","1362"
"SLBS","2021-08-24","1825","1837","1825","1837","-0.50","411"
"SLBS","2021-08-19","1875","1875","1810","1846.2","0.34","1823"
"SLBS","2021-08-18","1823","1840","1811","1840","-1.08","1441"
"SLBS","2021-08-17","1875","1875","1830","1860","-0.80","2131"
"SLBS","2021-08-16","1850","1900","1843","1875","0.03","3351"
"SLBS","2021-08-15","1833","1874.4","1800","1874.4","3.56","6200"
"SLBS","2021-08-12","1811","1830","1775","1810","-0.06","2040"
"SLBS","2021-08-11","1802","1837","1801.2","1811","-1.03","1295"
"SLBS","2021-08-10","1799","1834","1799","1829.9","3.38","2974"
"SLBS","2021-08-09","1805","1805","1764","1770","-2.75","1768"
"SLBS","2021-08-08","1840","1850","1820","1820","-2.15","1457"
"SLBS","2021-08-05","1860","1868","1825","1860","-1.06","2887"
"SLBS","2021-08-04","1980","1987.8","1871","1880","-3.54","5325"
"SLBS","2021-08-03","1917.6","1978","1900","1949","3.67","10303"
"SLBS","2021-08-02","1900","1917","1880","1880","0.00","1776"
"SLBS","2021-08-01","1864.4","1899","1864.4","1880","2.79","1288"
"SLBS","2021-07-29","1750","1830","1750","1829","2.75","1647"
"SLBS","2021-07-28","1772.7","1840","1772.7","1780","2.42","1643"
"SLBS","2021-07-27","1760.1","1760.1","1724","1738","-3.23","3362"
"SLBS","2021-07-26","1791","1830","1790","1796","1.76","2872"
"SLBS","2021-07-25","1730","1775","1730","1765","0.28","773"
"SLBS","2021-07-22","1743","1777","1743","1760","-1.01","1287"
"SLBS","2021-07-20","1757","1779.9","1757","1778","-0.34","261"
"SLBS","2021-07-19","1790","1810","1770","1784","0.06","983"
"SLBS","2021-07-18","1758","1799","1758","1783","3.06","1150"
"SLBS","2021-07-15","1695","1740","1695","1730","1.47","912"
"SLBS","2021-07-14","1710","1718","1705","1705","-2.01","357"
"SLBS","2021-07-13","1681","1740","1680","1740","2.65","1142"
"SLBS","2021-07-12","1720","1733","1691","1695","-1.45","3158"
