"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SLCF","2022-05-05","8.6","8.6","8.25","8.29","-3.15","5900"
"SLCF","2022-05-04","8.45","8.6","8.45","8.56","-0.47","52300"
"SLCF","2022-05-02","8.43","8.6","8.17","8.6","0.00","14000"
"SLCF","2022-04-28","8.44","8.6","8.44","8.6","0.12","4900"
"SLCF","2022-04-27","8.72","8.72","8.59","8.59","-3.37","1000"
"SLCF","2022-04-26","8.73","8.89","8.73","8.89","-0.11","2100"
"SLCF","2022-04-25","8.98","9.01","8.84","8.9","-0.89","27210"
"SLCF","2022-04-24","8.31","8.98","8.19","8.98","8.06","5700"
"SLCF","2022-04-21","8.15","8.31","8.15","8.31","0.00","600"
"SLCF","2022-04-20","8.14","8.32","8.14","8.31","0.12","3870"
"SLCF","2022-04-19","8.3","8.41","8.25","8.3","-1.78","3625"
"SLCF","2022-04-18","8.4","8.45","8.4","8.45","-1.40","10720"
"SLCF","2022-04-17","8.32","8.57","8.32","8.57","1.06","7300"
"SLCF","2022-04-13","8.42","8.48","8.42","8.48","0.59","1700"
"SLCF","2022-04-12","8.5","8.6","8.39","8.43","-1.98","8900"
"SLCF","2022-04-11","8.6","8.8","8.6","8.6","-1.83","18175"
"SLCF","2022-04-07","8.7","8.85","8.67","8.76","-0.11","11800"
"SLCF","2022-04-06","8.62","8.77","8.6","8.77","0.00","10900"
"SLCF","2022-04-05","8.74","8.77","8.74","8.77","-1.46","1200"
"SLCF","2022-04-04","8.95","9","8.79","8.9","-2.52","6000"
"SLCF","2022-04-03","8.86","9.18","8.75","9.13","2.47","16690"
"SLCF","2022-03-31","8.79","8.96","8.79","8.91","-0.56","2600"
"SLCF","2022-03-30","8.77","9","8.77","8.96","0.56","3600"
"SLCF","2022-03-29","8.91","9","8.91","8.91","0.00","7200"
"SLCF","2022-03-28","8.9","9.08","8.9","8.91","0.11","3600"
"SLCF","2022-03-27","9.1","9.14","8.81","8.9","-2.73","44400"
"SLCF","2022-03-24","9.02","9.16","8.88","9.15","1.33","10410"
"SLCF","2022-03-23","9","9.1","8.99","9.03","-0.77","2100"
"SLCF","2022-03-22","8.95","9.14","8.95","9.1","0.00","18550"
"SLCF","2022-03-21","9.01","9.15","9.01","9.1","-0.11","2500"
"SLCF","2022-03-20","9.25","9.25","9.07","9.11","-0.87","9300"
"SLCF","2022-03-16","8.9","9.19","8.9","9.19","1.43","7410"
"SLCF","2022-03-15","9.05","9.23","8.9","9.06","0.11","4700"
"SLCF","2022-03-14","9.41","9.41","9.05","9.05","-5.73","5400"
"SLCF","2022-03-13","9.09","9.6","8.94","9.6","3.56","28545"
"SLCF","2022-03-10","8.65","9.27","8.65","9.27","5.82","25743"
"SLCF","2022-03-09","8.75","8.99","8.75","8.76","-0.57","8800"
"SLCF","2022-03-07","8.75","8.97","8.75","8.81","-1.12","21350"
"SLCF","2022-03-06","8.83","9.08","8.82","8.91","0.11","11145"
"SLCF","2022-03-02","8.97","9","8.9","8.9","-2.73","6050"
"SLCF","2022-02-28","9.12","9.2","8.98","9.15","-1.61","7550"
"SLCF","2022-02-27","9.11","9.3","9.06","9.3","0.98","9500"
"SLCF","2022-02-24","9.17","9.35","9.03","9.21","-1.50","8050"
"SLCF","2022-02-23","9.06","9.35","9.06","9.35","2.41","9950"
"SLCF","2022-02-22","9.07","9.25","9","9.13","0.66","18650"
"SLCF","2022-02-21","9","9.2","8.91","9.07","0.78","3110"
"SLCF","2022-02-20","9.02","9.1","8.86","9","-2.17","3600"
"SLCF","2022-02-17","9.05","9.2","9.05","9.2","-0.22","2022"
"SLCF","2022-02-16","9.18","9.25","9.18","9.22","-1.50","5540"
"SLCF","2022-02-15","9.1","9.36","8.82","9.36","4.00","6310"
"SLCF","2022-02-14","8.93","9.2","8.93","9","-1.10","33800"
"SLCF","2022-02-13","9.1","9.19","9","9.1","-1.94","7875"
"SLCF","2022-02-10","9.08","9.28","9.08","9.28","0.32","2800"
"SLCF","2022-02-09","9.12","9.47","9.12","9.25","-0.54","5150"
"SLCF","2022-02-08","9.15","9.3","9.13","9.3","0.00","11850"
"SLCF","2022-02-07","9.16","9.5","9.16","9.3","1.09","9350"
"SLCF","2022-02-06","9.22","9.28","9.1","9.2","-0.11","15600"
"SLCF","2022-02-03","9.2","9.3","9.2","9.21","-0.65","19450"
"SLCF","2022-02-01","9.18","9.27","9.11","9.27","0.98","5050"
"SLCF","2022-01-31","9.3","9.3","9.16","9.18","-1.29","16020"
"SLCF","2022-01-30","9.3","9.6","9.26","9.3","-1.90","31500"
"SLCF","2022-01-27","9.3","9.48","9.2","9.48","0.00","27700"
"SLCF","2022-01-26","9.5","9.5","9.18","9.48","-2.17","14600"
"SLCF","2022-01-25","9.31","9.69","9.14","9.69","2.00","7700"
"SLCF","2022-01-24","9.18","9.54","9.18","9.5","1.50","9400"
"SLCF","2022-01-23","9.25","9.36","9.2","9.36","-0.11","18100"
"SLCF","2022-01-20","9.18","9.37","9.18","9.37","0.21","26410"
"SLCF","2022-01-19","9.4","9.4","9.26","9.35","-0.95","14995"
"SLCF","2022-01-18","9.6","9.6","9.41","9.44","-1.67","5500"
"SLCF","2022-01-17","9.7","9.89","9.14","9.6","0.00","20460"
"SLCF","2022-01-16","9.5","9.6","9.15","9.6","1.05","36950"
"SLCF","2022-01-13","9.1","9.5","9.1","9.5","3.04","15200"
"SLCF","2022-01-12","9.11","9.33","9.11","9.22","-0.11","11650"
"SLCF","2022-01-11","9.12","9.25","9.11","9.23","-0.65","9050"
"SLCF","2022-01-10","9.3","9.4","9.12","9.29","-1.06","22150"
"SLCF","2022-01-09","9.5","9.7","9.38","9.39","-1.16","11805"
"SLCF","2022-01-06","9.57","9.57","9.5","9.5","1.17","4100"
"SLCF","2022-01-05","9.2","9.39","9.2","9.39","0.11","6150"
"SLCF","2022-01-04","9.1","9.39","8.95","9.38","3.76","9150"
"SLCF","2022-01-03","9.1","9.2","9","9.04","-1.74","18070"
"SLCF","2022-01-02","9.3","9.32","9","9.2","0.88","39500"
"SLCF","2021-12-29","9","9.33","9","9.12","-0.33","5900"
"SLCF","2021-12-28","9.23","9.23","8.9","9.15","-2.76","5150"
"SLCF","2021-12-27","9.07","9.41","8.95","9.41","3.75","26500"
"SLCF","2021-12-26","9.39","9.56","9.02","9.07","-1.52","7800"
"SLCF","2021-12-23","9.2","9.3","9.2","9.21","0.11","3880"
"SLCF","2021-12-22","9.02","9.2","9.02","9.2","0.00","5350"
"SLCF","2021-12-21","9.2","9.2","8.92","9.2","1.10","6930"
"SLCF","2021-12-20","9.12","9.15","8.84","9.1","-2.15","8940"
"SLCF","2021-12-16","8.95","9.3","8.78","9.3","1.86","18425"
"SLCF","2021-12-15","9.07","9.42","9.07","9.13","-1.30","15050"
"SLCF","2021-12-14","9.08","9.25","9.08","9.25","3.82","900"
"SLCF","2021-12-13","8.94","8.94","8.91","8.91","-2.30","9450"
"SLCF","2021-12-12","9.11","9.12","8.96","9.12","-1.83","28050"
"SLCF","2021-12-09","9.4","9.4","9.12","9.29","-1.69","6310"
"SLCF","2021-12-08","9.2","9.45","9.11","9.45","1.61","50840"
"SLCF","2021-12-07","9.41","9.41","9.24","9.3","-3.13","20300"
"SLCF","2021-12-06","9.27","9.63","9.25","9.6","1.59","15020"
"SLCF","2021-12-05","9.58","9.58","9.03","9.45","-3.28","22150"
"SLCF","2021-12-02","10","10.16","9.77","9.77","-2.10","950"
"SLCF","2021-12-01","9.8","10.18","9.8","9.98","-0.10","2600"
"SLCF","2021-11-30","9.75","9.99","9.75","9.99","1.94","300"
"SLCF","2021-11-29","9.25","9.8","9.25","9.8","4.26","14700"
"SLCF","2021-11-28","9.69","9.69","9.35","9.4","-2.99","4000"
"SLCF","2021-11-25","9.6","9.69","9.43","9.69","0.83","8400"
"SLCF","2021-11-24","9.53","9.72","9.53","9.61","0.84","5720"
"SLCF","2021-11-23","9.45","9.55","9.45","9.53","0.85","6800"
"SLCF","2021-11-22","9.44","9.69","9.44","9.45","-0.21","12960"
"SLCF","2021-11-21","9.46","9.47","9.46","9.47","0.11","1650"
"SLCF","2021-11-18","9.43","9.6","9.43","9.46","-0.73","18200"
"SLCF","2021-11-17","9.52","9.61","9.43","9.53","-0.42","7550"
"SLCF","2021-11-16","9.52","9.71","9.52","9.57","0.21","12070"
"SLCF","2021-11-15","9.5","9.69","9.5","9.55","0.42","14810"
"SLCF","2021-11-14","9.62","9.8","9.51","9.51","-1.96","36899"
"SLCF","2021-11-11","9.62","9.89","9.62","9.7","0.00","18900"
"SLCF","2021-11-09","9.6","9.81","9.6","9.7","0.62","5800"
"SLCF","2021-11-08","9.61","9.81","9.61","9.64","0.21","6150"
"SLCF","2021-11-03","9.77","9.85","9.58","9.62","-3.41","9900"
"SLCF","2021-11-02","10.13","10.13","9.61","9.96","0.20","27390"
"SLCF","2021-11-01","9.6","9.94","9.6","9.94","2.47","9050"
"SLCF","2021-10-31","9.64","9.95","9.62","9.7","-1.12","28190"
"SLCF","2021-10-28","9.52","9.89","9.5","9.81","2.40","25460"
"SLCF","2021-10-27","9.65","9.84","9.55","9.58","-2.64","28300"
"SLCF","2021-10-26","9.65","9.84","9.47","9.84","1.86","37850"
"SLCF","2021-10-25","9.64","9.8","9.64","9.66","0.21","14350"
"SLCF","2021-10-24","9.27","9.81","9.27","9.64","2.01","1740"
"SLCF","2021-10-21","9.6","9.63","9.45","9.45","-2.98","2300"
"SLCF","2021-10-20","9.61","9.74","9.55","9.74","-0.61","28700"
"SLCF","2021-10-19","9.61","9.8","9.61","9.8","0.00","4311"
"SLCF","2021-10-18","9.85","9.85","9.44","9.8","-2.29","31175"
"SLCF","2021-10-17","10.12","10.03","9.76","10.03","-0.89","1730"
