"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SLICLP","2022-03-21","372","372","372","372","0.00","100000"
"SLICLP","2022-03-20","372","372","372","372","0.00","100000"
"SLICLP","2021-12-06","413","413","413","413","0.00","11197"
"SLICLP","2021-12-01","413","413","413","413","0.00","15"
"SLICLP","2021-10-25","413","413","413","413","0.00","2450"
"SLICLP","2021-07-15","275","275","275","275","0.00","100"
"SLICLP","2021-06-21","275","275","275","275","0.00","1850"
"SLICLP","2021-06-20","275","275","275","275","0.00","255"
"SLICLP","2021-05-17","275","275","275","275","0.00","5000"
"SLICLP","2021-05-13","275","275","275","275","0.00","173744"
"SLICLP","2021-05-09","275","275","275","275","0.00","75000"
"SLICLP","2021-04-28","275","275","275","275","0.00","17020"
"SLICLP","2021-04-22","275","275","275","275","0.00","38500"
"SLICLP","2021-04-21","275","275","275","275","0.00","38500"
"SLICLP","2021-03-15","275","275","275","275","0.00","75000"
"SLICLP","2021-03-14","275","275","275","275","0.00","90000"
"SLICLP","2021-03-10","275","275","275","275","0.00","184840"
"SLICLP","2021-02-15","275","275","275","275","0.01","3000"
"SLICLP","2021-02-09","273","273","273","273","0.00","50200"
"SLICLP","2021-01-28","273","273","273","273","-0.02","174000"
"SLICLP","2021-01-26","278","278","278","278","0.00","100000"
"SLICLP","2021-01-25","278","278","278","278","0.00","302100"
"SLICLP","2021-01-24","278","278","278","278","0.00","70000"
"SLICLP","2021-01-21","278","278","278","278","0.00","43647"
"SLICLP","2021-01-20","278","278","278","278","0.00","321674"
"SLICLP","2021-01-19","278","278","278","278","0.00","390000"
"SLICLP","2021-01-18","278","278","278","278","0.00","456500"
"SLICLP","2021-01-13","278","278","278","278","-0.02","20000"
"SLICLP","2021-01-12","283","283","283","283","-0.02","20000"
"SLICLP","2021-01-11","288","288","288","288","-0.02","15000"
"SLICLP","2021-01-10","293","293","293","293","-0.02","10000"
"SLICLP","2021-01-07","298","298","298","298","-0.02","10000"
"SLICLP","2021-01-06","304","304","304","304","-0.02","25000"
"SLICLP","2020-12-30","310","310","310","310","-0.02","157860"
"SLICLP","2020-12-29","316","316","316","316","-0.02","150000"
"SLICLP","2020-12-15","276","322","322","322","0.00","200"
"SLICLP","2020-11-23","275.28","322","322","322","0.00","9920"
"SLICLP","2020-11-22","260.39","322","322","322","0.00","4240"
"SLICLP","2020-11-05","328","328","322","322","-3.59","1000"
"SLICLP","2020-11-04","334","334","334","334","-1.76","100000"
"SLICLP","2020-07-09","153","153","153","153","-1.92","5001"
"SLICLP","2019-12-23","156","156","156","156","0.00","14964"
"SLICLP","2019-03-31","285","285","285","285","0.00","9110"
"SLICLP","2019-03-05","285","285","285","285","0.00","6861"
"SLICLP","2018-11-18","350","350","350","350","0.00","13966"
"SLICLP","2018-09-27","350","350","350","350","0.00","116388"
"SLICLP","2018-09-04","300","300","300","300","0.00","1333"
"SLICLP","2018-05-15","420","420","420","420","0.00","6600"
"SLICLP","2018-03-18","420","420","420","420","0.00","43750"
"SLICLP","2018-03-11","420","420","420","420","0.00","3000"
"SLICLP","2017-11-07","549","540","540","540","-1.64","9114"
"SLICLP","2017-08-24","549","549","549","549","0.00","20475"
"SLICLP","2017-07-16","549","549","549","549","0.00","438264"
"SLICLP","2017-06-27","549","549","549","549","-1.96","2285"
"SLICLP","2017-06-15","560","560","560","560","0.00","22250"
"SLICLP","2015-02-11","104","104","104","104","0.00","90000"
"SLICLP","2014-12-08","104","104","104","104","0.00","25000"
"SLICLP","2014-12-07","112","110","104","104","-7.14","60000"
"SLICLP","2014-12-01","112","112","112","112","0.00","7980"
"SLICLP","2014-10-19","105","112","107","112","6.67","55556"
"SLICLP","2014-10-12","102","105","104","105","2.94","30750"
"SLICLP","2014-08-25","110","108","102","102","-7.27","62000"
"SLICLP","2014-07-06","110","110","110","110","0.00","100000"
"SLICLP","2014-06-25","110","110","110","110","0.00","150000"
"SLICLP","2014-05-26","110","110","110","110","0.00","7833"
"SLICLP","2014-05-19","110","110","110","110","0.00","3000"
"SLICLP","2014-04-30","108","110","110","110","1.85","10000"
"SLICLP","2014-03-23","108","108","108","108","0.00","6944"
"SLICLP","2014-03-20","110","108","108","108","-1.82","8890"
"SLICLP","2013-11-14","0","110","110","110","0.00","953986"
