"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SLICL","2022-05-05","604","604","580","582","-1.85","142443"
"SLICL","2022-05-04","600","619","593","593","-2.31","28921"
"SLICL","2022-05-02","637.5","650.2","607","607","-2.88","22791"
"SLICL","2022-04-28","635","636","621.1","625","-1.56","17743"
"SLICL","2022-04-27","637","639.9","625.5","634.9","0.14","15243"
"SLICL","2022-04-26","640","644.9","629.1","634","-0.47","15363"
"SLICL","2022-04-25","657","659","637","637","-1.55","39442"
"SLICL","2022-04-24","620","659","618.4","647","4.35","63851"
"SLICL","2022-04-21","624","626","600","620","0.99","77410"
"SLICL","2022-04-20","636","636","603","613.9","-3.47","28942"
"SLICL","2022-04-19","627","640","605","636","1.60","27683"
"SLICL","2022-04-18","644","649","625","626","-2.80","21807"
"SLICL","2022-04-17","672","672","633.1","644","-2.87","29566"
"SLICL","2022-04-13","660","673","655","663","0.30","23925"
"SLICL","2022-04-12","695","695","661","661","-3.08","31042"
"SLICL","2022-04-11","710","720","678","682","-2.71","87619"
"SLICL","2022-04-07","680.1","710","680.1","701","1.67","56180"
"SLICL","2022-04-06","681","697","673.3","689.5","0.36","47886"
"SLICL","2022-04-05","705","710","670","687","-2.55","113929"
"SLICL","2022-04-04","714","714","696.2","705","0.71","66147"
"SLICL","2022-04-03","725","727.5","697","700","-5.01","137869"
"SLICL","2022-03-31","740","751","719","736.9","-1.07","30335"
"SLICL","2022-03-30","706","745","701","744.9","4.18","33837"
"SLICL","2022-03-29","720","727","708.2","715","-0.14","28929"
"SLICL","2022-03-28","751","751","710","716","-3.11","62950"
"SLICL","2022-03-27","775.2","806.5","734","739","-2.76","210335"
"SLICL","2022-03-24","731","765","720","760","4.11","108251"
"SLICL","2022-03-23","720","732.3","710.2","730","1.39","30226"
"SLICL","2022-03-22","719","727","705","720","1.41","37468"
"SLICL","2022-03-21","714.9","714.9","696","710","0.85","40769"
"SLICL","2022-03-20","730","730","700","704","-2.63","33203"
"SLICL","2022-03-16","739","739","720.5","723","-1.36","55034"
"SLICL","2022-03-15","724","735","706","733","2.81","90958"
"SLICL","2022-03-14","703.9","725","685","713","2.38","28547"
"SLICL","2022-03-13","646.6","696.4","645","696.4","9.84","33687"
"SLICL","2022-03-10","627.3","639.8","605.2","634","3.09","33958"
"SLICL","2022-03-09","626","630","612","615","-1.76","24766"
"SLICL","2022-03-07","625.2","644.8","623","626","-1.42","21547"
"SLICL","2022-03-06","650","657","630","635","-1.85","33303"
"SLICL","2022-03-02","678","678","645","647","-4.33","25023"
"SLICL","2022-02-28","708","708","675","676.3","-3.52","32313"
"SLICL","2022-02-27","705","710","701","701","-0.71","11975"
"SLICL","2022-02-24","725","727","705","706","-4.21","18907"
"SLICL","2022-02-23","750","750","727","737","-0.41","7014"
"SLICL","2022-02-22","749","758","735","740","0.00","7323"
"SLICL","2022-02-21","750","750","736.1","740","-0.13","6546"
"SLICL","2022-02-20","738.1","753","731.1","741","-1.61","18000"
"SLICL","2022-02-17","760","765","753","753.1","0.01","11490"
"SLICL","2022-02-16","760","774.9","744.8","753","-1.95","6640"
"SLICL","2022-02-15","754","776","741.2","768","2.06","19063"
"SLICL","2022-02-14","774","774","746","752.5","-1.25","28255"
"SLICL","2022-02-13","769.3","774.7","741","762","-2.93","24185"
"SLICL","2022-02-10","771.3","790","771","785","1.29","13876"
"SLICL","2022-02-09","785","795","770","775","-1.94","15373"
"SLICL","2022-02-08","820","826","790","790.3","0.00","22430"
"SLICL","2022-02-07","791.1","816","791.1","804","1.63","23829"
"SLICL","2022-02-06","811","819","782","791.1","-2.81","16944"
"SLICL","2022-02-03","825","829","813","814","-0.37","18548"
"SLICL","2022-02-01","801","824","785","817","0.62","14673"
"SLICL","2022-01-31","820","820","808","812","-0.85","13926"
"SLICL","2022-01-30","805.8","826.2","805.8","819","3.67","26461"
"SLICL","2022-01-27","801","806","783.1","790","0.23","23471"
"SLICL","2022-01-26","800","813","786.1","788.2","-2.35","29468"
"SLICL","2022-01-25","810","830","801.1","807.2","-0.84","46379"
"SLICL","2022-01-24","845.1","850","801","814","-4.46","102321"
"SLICL","2022-01-23","874","885","848","852","-2.41","64608"
"SLICL","2022-01-20","848","875","848","873","1.51","66799"
"SLICL","2022-01-19","849","880.9","839","860","1.43","162485"
