"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SLI","2022-05-05","465.6","478","449.6","455","-4.21","20534"
"SLI","2022-05-04","475","488","468","475","-1.88","11120"
"SLI","2022-05-02","512","513","482","484.1","-3.76","11395"
"SLI","2022-04-28","502.1","516","500.1","503","-1.37","7475"
"SLI","2022-04-27","510","528","501.2","510","0.28","6874"
"SLI","2022-04-26","530","530","507.2","508.6","-2.19","7137"
"SLI","2022-04-25","526","537","510","520","-1.35","11555"
"SLI","2022-04-24","505","538","505","527.1","4.19","13228"
"SLI","2022-04-21","505","515","488","505.9","0.18","9422"
"SLI","2022-04-20","508","520.2","496","505","-2.51","10671"
"SLI","2022-04-19","515","518","495","518","2.35","8860"
"SLI","2022-04-18","519","523.3","506","506.1","-4.15","10558"
"SLI","2022-04-17","538","538","522.2","528","-1.86","10521"
"SLI","2022-04-13","532.2","550.8","525.4","538","-0.74","10480"
"SLI","2022-04-12","548","555","536","542","-3.04","9587"
"SLI","2022-04-11","570","580","550","559","-1.76","22631"
"SLI","2022-04-07","550","580","550","569","1.97","14870"
"SLI","2022-04-06","550","565","539.1","558","0.00","19393"
"SLI","2022-04-05","570","570","550","558","-2.96","21922"
"SLI","2022-04-04","580","587","574","575","-2.38","23192"
"SLI","2022-04-03","584.1","599","584.1","589","-0.84","7942"
"SLI","2022-03-31","600","604","591.3","594","-1.49","15569"
"SLI","2022-03-30","585","607","578.2","603","2.20","24507"
"SLI","2022-03-29","600","602","581","590","-0.17","17132"
"SLI","2022-03-28","620","630","590","591","-4.52","43256"
"SLI","2022-03-27","603","651.2","603","619","4.56","187953"
"SLI","2022-03-24","565","601","555","592","4.80","77783"
"SLI","2022-03-23","553.7","578","553.7","564.9","-0.02","14421"
"SLI","2022-03-22","553.7","573","553.7","565","0.00","13773"
"SLI","2022-03-21","553.1","565","552.1","565","0.18","11383"
"SLI","2022-03-20","570","580","559","564","-1.91","12883"
"SLI","2022-03-16","561","586.5","561","575","0.84","12356"
"SLI","2022-03-15","583","588","555","570.2","-0.31","15286"
"SLI","2022-03-14","575","588","557","572","0.97","14268"
"SLI","2022-03-13","525","566.5","516","566.5","10.00","53529"
"SLI","2022-03-10","516","526","490","515","1.58","16330"
"SLI","2022-03-09","505","520","500","507","-1.36","13948"
"SLI","2022-03-07","506","517","506","514","-0.23","9124"
"SLI","2022-03-06","512","529.3","512","515.2","-0.73","7507"
"SLI","2022-03-02","520","525","515","519","-2.17","11287"
"SLI","2022-02-28","540","551","530.2","530.5","-1.83","9364"
"SLI","2022-02-27","535.2","550","535.2","540.4","-0.84","9697"
"SLI","2022-02-24","548","558","545","545","-2.50","17710"
"SLI","2022-02-23","560","568","556","559","-1.58","11682"
"SLI","2022-02-22","561","574.5","561","568","1.25","16194"
"SLI","2022-02-21","575","575","555.5","561","-0.57","10483"
"SLI","2022-02-20","561.6","568","551","564.2","-1.54","12004"
"SLI","2022-02-17","576","580","566","573","-0.66","10930"
"SLI","2022-02-16","574","585","560","576.8","0.40","17830"
"SLI","2022-02-15","562","583.9","562","574.5","0.30","10295"
"SLI","2022-02-14","565","580","565","572.8","-0.21","18619"
"SLI","2022-02-13","583","583.9","560","574","-2.26","38447"
"SLI","2022-02-10","572.1","593","572.1","587.3","0.72","23931"
"SLI","2022-02-09","600","604","580.2","583.1","-1.84","15263"
"SLI","2022-02-08","602","614","585","594","0.00","55237"
"SLI","2022-02-07","575","609","570","602","5.04","85614"
"SLI","2022-02-06","565.5","580","565.5","573.1","-0.68","17750"
