"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SMATA","2022-05-05","930","930","916","920","-1.09","449"
"SMATA","2022-05-04","954","954","930.1","930.1","-1.99","302"
"SMATA","2022-05-02","969","975","949","949","-1.99","755"
"SMATA","2022-04-28","988","988","968.3","968.3","-2.08","182"
"SMATA","2022-04-27","981","988.9","981","988.9","1.95","98"
"SMATA","2022-04-26","993.9","993.9","970","970","-0.46","325"
"SMATA","2022-04-25","1005","1005","963.4","974.5","-2.94","818"
"SMATA","2022-04-24","955","1004.9","955","1004","6.25","446"
"SMATA","2022-04-21","945","950","940","944.9","-0.64","220"
"SMATA","2022-04-20","995","995","951","951","-3.93","380"
"SMATA","2022-04-19","960","989.9","955.5","989.9","1.53","567"
"SMATA","2022-04-18","1020","1020","942","975","-3.94","1201"
"SMATA","2022-04-17","1030","1030","1012","1015","-1.57","383"
"SMATA","2022-04-13","956","1031.2","956","1031.2","5.76","915"
"SMATA","2022-04-12","1008","1008","973","975","-1.42","930"
"SMATA","2022-04-11","1048","1048","989","989","-3.79","120"
"SMATA","2022-04-07","982.1","1028","982","1028","2.80","1697"
"SMATA","2022-04-06","999","1000","998","1000","-1.68","290"
"SMATA","2022-04-05","1010","1017.1","992","1017.1","0.11","491"
"SMATA","2022-04-04","1025","1025","1013","1016","-1.26","474"
"SMATA","2022-04-03","1026","1029","1025","1029","-1.53","195"
"SMATA","2022-03-31","1045.1","1045.1","1045","1045","-1.88","178"
"SMATA","2022-03-30","1028.4","1065","1010.1","1065","1.53","940"
"SMATA","2022-03-29","1006.1","1049","1006.1","1049","2.34","421"
"SMATA","2022-03-28","1050","1050","1014.3","1025","-2.38","838"
"SMATA","2022-03-27","1080","1080","1042","1050","-2.69","255"
"SMATA","2022-03-24","1099.9","1099.9","1060","1079","-0.55","1025"
"SMATA","2022-03-23","1070","1085","1065","1085","0.00","385"
"SMATA","2022-03-22","1056","1125","1045","1085","4.77","1032"
"SMATA","2022-03-21","1040","1050","1033","1035.6","-0.42","445"
"SMATA","2022-03-20","1060","1061","1040","1040","-2.79","389"
"SMATA","2022-03-16","1061","1082","1060","1069.9","0.84","231"
"SMATA","2022-03-15","1056.8","1075","1056.8","1061","-1.54","271"
"SMATA","2022-03-14","1091.4","1099.5","1077.6","1077.6","0.71","110"
"SMATA","2022-03-13","1053","1090","1053","1070","1.61","1609"
"SMATA","2022-03-10","1049","1058","1028.1","1053","0.38","569"
"SMATA","2022-03-09","1030","1049","1010.3","1049","1.84","500"
"SMATA","2022-03-07","1020","1058","1020","1030","1.98","976"
"SMATA","2022-03-06","1004","1020","999.6","1010","-0.98","1446"
"SMATA","2022-03-02","1045","1050","1009","1020","-1.92","569"
"SMATA","2022-02-28","1070","1070","1036","1040","-1.06","378"
"SMATA","2022-02-27","1055","1075","1051.1","1051.1","-1.31","315"
"SMATA","2022-02-24","1082","1082","1065","1065","-2.29","766"
"SMATA","2022-02-23","1103","1103","1070","1090","0.74","243"
"SMATA","2022-02-22","1100","1142","1082","1082","0.19","1207"
"SMATA","2022-02-21","1066.1","1111.8","1065.1","1080","-0.28","2263"
"SMATA","2022-02-20","1090","1112","1070","1083","-2.61","2660"
"SMATA","2022-02-17","1100","1123","1095","1112","1.55","891"
"SMATA","2022-02-16","1120","1122","1095","1095","-2.41","1238"
"SMATA","2022-02-15","1076.1","1122","1060","1122","3.99","2912"
"SMATA","2022-02-14","1110","1126","1079","1079","-1.91","1920"
"SMATA","2022-02-13","1133.9","1150","1080.7","1100","-4.93","2800"
"SMATA","2022-02-10","1180","1180","1156.4","1157","-1.36","752"
"SMATA","2022-02-09","1204","1204","1137","1173","-1.43","4410"
"SMATA","2022-02-08","1198","1221","1181","1190","0.00","1265"
"SMATA","2022-02-07","1230","1230","1190","1192","-1.15","374"
"SMATA","2022-02-06","1203","1211","1179","1205.9","-1.56","1495"
"SMATA","2022-02-03","1235","1256","1215","1225","-0.81","1245"
"SMATA","2022-02-01","1259","1259","1218","1235","-0.56","573"
"SMATA","2022-01-31","1250","1250","1217","1242","-0.64","297"
"SMATA","2022-01-30","1259.7","1260","1235","1250","1.21","1893"
"SMATA","2022-01-27","1250","1250","1210","1235","0.41","269"
"SMATA","2022-01-26","1217","1263.7","1200","1230","1.15","1352"
"SMATA","2022-01-25","1250","1280","1215.2","1216","-3.03","3219"
"SMATA","2022-01-24","1289.5","1289.5","1226","1254","-4.68","2799"
"SMATA","2022-01-23","1348","1349","1289.8","1315.5","-1.46","1588"
