"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SMB","2022-05-05","1650","1650","1617","1617","-2.00","148"
"SMB","2022-05-04","1650.1","1650.1","1650","1650","-1.37","40"
"SMB","2022-05-02","1640","1672.9","1590","1672.9","2.00","246"
"SMB","2022-04-27","1640.1","1640.1","1640.1","1640.1","-1.68","25"
"SMB","2022-04-26","1670.1","1670.1","1668","1668.1","-1.87","291"
"SMB","2022-04-25","1667.2","1699.9","1667.2","1699.9","-0.01","31"
"SMB","2022-04-24","1669","1701","1669","1700","3.85","191"
"SMB","2022-04-21","1605","1637","1605","1637","0.00","134"
"SMB","2022-04-20","1641.1","1643","1637","1637","-1.98","145"
"SMB","2022-04-19","1697","1697","1670","1670","0.00","70"
"SMB","2022-04-18","1670","1670","1670","1670","-0.19","36"
"SMB","2022-04-17","1669","1673.2","1669","1673.1","0.25","274"
"SMB","2022-04-13","1696","1696","1665","1669","0.36","50"
"SMB","2022-04-12","1696","1696","1663","1663","-3.82","331"
"SMB","2022-04-11","1745","1745","1729","1729","-1.98","241"
"SMB","2022-04-07","1764","1799","1764","1764","-2.00","192"
"SMB","2022-04-06","1840","1840","1736","1800","-0.99","129"
"SMB","2022-04-05","1784","1818","1720","1818","-0.11","61"
"SMB","2022-04-04","1800","1824","1766","1820","1.11","246"
"SMB","2022-04-03","1825","1825","1770","1800","0.00","210"
"SMB","2022-03-31","1813.9","1814","1800","1800","1.07","231"
"SMB","2022-03-30","1716","1781","1716","1781","1.89","132"
"SMB","2022-03-29","1715","1748","1715","1748","1.92","183"
"SMB","2022-03-28","1690","1719","1681","1715","0.29","83"
"SMB","2022-03-27","1711","1716","1710","1710.1","-1.72","255"
"SMB","2022-03-24","1726","1740","1726","1740","-0.29","32"
"SMB","2022-03-23","1750","1750","1734","1745","-1.10","78"
"SMB","2022-03-22","1795","1820","1764.2","1764.4","-1.70","93"
"SMB","2022-03-21","1775","1795","1740","1795","1.99","316"
"SMB","2022-03-20","1790","1790","1760","1760","-1.68","31"
"SMB","2022-03-16","1800","1800","1790","1790","-1.59","32"
"SMB","2022-03-15","1800","1819","1784","1819","-0.05","167"
"SMB","2022-03-14","1820","1820","1820","1820","-1.62","11"
"SMB","2022-03-13","1773","1850","1773","1850","2.88","1142"
"SMB","2022-03-10","1797","1798.2","1762","1798.2","2.02","83"
"SMB","2022-03-09","1762.6","1762.6","1700","1762.6","-0.01","287"
"SMB","2022-03-07","1750","1822.7","1720","1762.8","0.62","502"
"SMB","2022-03-06","1753.5","1753.5","1752","1752","-2.01","95"
"SMB","2022-03-02","1790","1790","1788","1788","-1.97","311"
"SMB","2022-02-28","1800.1","1835","1764","1824","-0.54","490"
"SMB","2022-02-27","1764","1833.9","1750","1833.9","3.96","220"
"SMB","2022-02-24","1813.6","1813.6","1764","1764","-0.79","297"
"SMB","2022-02-23","1808","1812","1778.1","1778.1","-3.57","213"
"SMB","2022-02-22","1788","1844","1788","1844","1.11","313"
"SMB","2022-02-21","1790","1823.7","1790","1823.7","2.00","102"
"SMB","2022-02-20","1801","1822.7","1766","1788","-2.67","290"
"SMB","2022-02-17","1820","1857.9","1787","1837","0.82","127"
"SMB","2022-02-16","1900","1900","1822","1822","-3.33","444"
"SMB","2022-02-15","1848","1884.8","1815","1884.8","-0.01","566"
"SMB","2022-02-14","1800","1885","1781","1885","4.72","331"
"SMB","2022-02-13","1843.2","1843.2","1775","1800","-4.26","1175"
"SMB","2022-02-10","1850","1880","1850","1880","-0.27","22"
"SMB","2022-02-09","1868","1885","1840","1885","-1.11","670"
"SMB","2022-02-08","1983.9","1983.9","1906.1","1906.1","0.00","267"
"SMB","2022-02-07","1980","1980","1922","1945","-3.71","683"
"SMB","2022-02-06","1951","2025","1880","2020","1.50","1145"
"SMB","2022-02-03","2033","2114","1990.1","1990.1","-0.23","233"
"SMB","2022-02-01","2019","2058","1994.6","1994.6","0.74","1126"
"SMB","2022-01-31","1935","1999.8","1933","1979.9","2.27","1346"
"SMB","2022-01-30","1949","1949.2","1900","1936","1.31","694"
"SMB","2022-01-27","1916","1916","1880","1911","0.31","566"
"SMB","2022-01-26","1900","1905","1866","1905","-1.50","532"
"SMB","2022-01-25","1900","1938","1900","1934","0.21","486"
"SMB","2022-01-24","1932.1","1932.1","1860.1","1930","-2.08","601"
"SMB","2022-01-23","2011","2011","1971","1971","-1.99","272"
"SMB","2022-01-20","1974","2011.3","1897.1","2011","1.87","892"
"SMB","2022-01-19","1943","1974","1921","1974","-0.30","342"
"SMB","2022-01-18","2020","2020","1980","1980","-1.98","525"
"SMB","2022-01-17","2025","2025","1985","2019.9","-0.25","509"
"SMB","2022-01-16","2035","2116","1980","2025","-0.49","1901"
"SMB","2022-01-13","1999.2","2035","1923","2035","3.83","701"
"SMB","2022-01-12","2020","2127","1940","1960","-2.34","1778"
"SMB","2022-01-11","1909.9","2010","1871.8","2007","5.85","2147"
"SMB","2022-01-10","1850","1896","1822","1896","1.39","694"
"SMB","2022-01-09","1869","1906.4","1840","1870","2.05","455"
"SMB","2022-01-06","1869.9","1869.9","1815","1832.5","-0.73","746"
"SMB","2022-01-05","1954","1954","1840.6","1846","-3.73","864"
"SMB","2022-01-04","1875","1917.6","1839.3","1917.6","4.22","1635"
"SMB","2022-01-03","1795","1865","1795","1840","4.52","621"
