"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SMFBS","2022-05-05","1520","1536","1505.1","1530","-0.52","236"
"SMFBS","2022-05-04","1566.1","1566.1","1538","1538","-3.75","36"
"SMFBS","2022-05-02","1632","1664","1545","1598","-0.13","374"
"SMFBS","2022-04-28","1568.1","1600","1568.1","1600","0.00","335"
"SMFBS","2022-04-27","1600","1601","1600","1600","0.00","85"
"SMFBS","2022-04-26","1617","1625","1600","1600","-1.05","89"
"SMFBS","2022-04-25","1700","1734","1570","1617","-3.06","821"
"SMFBS","2022-04-24","1605","1683","1584.8","1668","2.02","586"
"SMFBS","2022-04-21","1650","1650","1575","1635","0.99","699"
"SMFBS","2022-04-20","1630","1649.3","1617","1619","-1.88","250"
"SMFBS","2022-04-19","1632.2","1660","1631.8","1650","-0.90","268"
"SMFBS","2022-04-18","1698","1698","1633","1665","-0.89","286"
"SMFBS","2022-04-17","1700","1700","1636.6","1680","0.60","373"
"SMFBS","2022-04-13","1651","1670","1633","1670","1.40","663"
"SMFBS","2022-04-12","1635","1665","1635","1647","-1.02","219"
"SMFBS","2022-04-11","1675","1720","1660","1664","-1.48","276"
"SMFBS","2022-04-07","1665","1700","1665","1689","1.32","405"
"SMFBS","2022-04-06","1689.9","1700","1666","1667","-3.32","466"
"SMFBS","2022-04-05","1760","1760","1657.7","1724.3","-0.79","572"
"SMFBS","2022-04-04","1734.6","1751","1734.6","1738","-1.81","223"
"SMFBS","2022-04-03","1745","1770","1711","1770","0.79","330"
"SMFBS","2022-03-31","1770","1780","1752.1","1756.1","-1.34","348"
"SMFBS","2022-03-30","1760","1785","1745","1780","0.28","248"
"SMFBS","2022-03-29","1780.1","1800","1775","1775","-1.93","241"
"SMFBS","2022-03-28","1831","1831","1810","1810","-1.15","238"
"SMFBS","2022-03-27","1830","1845","1830","1831","-1.29","292"
"SMFBS","2022-03-24","1865","1865","1832","1855","-0.27","166"
"SMFBS","2022-03-23","1880","1880","1850","1860","-1.06","480"
"SMFBS","2022-03-22","1890","1890","1860","1880","0.00","85"
"SMFBS","2022-03-21","1818","1880","1818","1880","1.35","156"
"SMFBS","2022-03-20","1847.1","1876","1847.1","1855","-1.54","76"
"SMFBS","2022-03-16","1837.5","1884","1801","1884","0.48","70"
"SMFBS","2022-03-15","1865","1875","1865","1875","-1.32","20"
"SMFBS","2022-03-13","1909","1940","1890","1900","1.50","88"
"SMFBS","2022-03-10","1765.1","1872","1765.1","1872","4.00","379"
"SMFBS","2022-03-09","1835","1850","1800","1800","-3.38","244"
"SMFBS","2022-03-07","1899.9","1899.9","1863","1863","-1.94","131"
"SMFBS","2022-03-06","1917","1917","1860","1899.9","1.06","286"
"SMFBS","2022-03-02","1822.8","1880","1755","1880","1.08","1278"
"SMFBS","2022-02-28","1850.1","1860","1845","1860","-0.59","150"
"SMFBS","2022-02-27","1912","1947","1870.9","1871","-0.21","267"
"SMFBS","2022-02-24","1885.4","1885.4","1848.1","1875","-2.54","482"
"SMFBS","2022-02-23","1973","1973","1923.8","1923.8","-0.57","159"
"SMFBS","2022-02-22","1945","1945","1868.9","1934.9","-0.21","258"
"SMFBS","2022-02-21","1945","1948","1900","1939","1.52","492"
"SMFBS","2022-02-20","1843.5","1915","1843.5","1910","1.54","384"
"SMFBS","2022-02-17","1953.3","1992.3","1881.1","1881.1","-1.77","122"
"SMFBS","2022-02-16","1860","1951.3","1860","1915","2.08","176"
"SMFBS","2022-02-15","1863.1","1900","1863.1","1876","-1.26","144"
"SMFBS","2022-02-14","1900","1900","1900","1900","-1.30","14"
"SMFBS","2022-02-13","1887","1925","1850","1925","0.00","439"
"SMFBS","2022-02-10","1877.1","1950","1877","1925","0.52","247"
"SMFBS","2022-02-09","1925.7","1930","1915","1915","-2.54","279"
"SMFBS","2022-02-08","1970.6","2010","1881","1965","0.00","343"
"SMFBS","2022-02-07","1900","1932","1900","1932","1.95","52"
"SMFBS","2022-02-06","1919","1920","1885","1895","-2.82","894"
"SMFBS","2022-02-03","1994","1994","1925","1950","-2.21","958"
"SMFBS","2022-02-01","1955","1994","1930.1","1994","1.99","979"
"SMFBS","2022-01-31","1966.1","1966.1","1920.8","1955","-0.51","1504"
"SMFBS","2022-01-30","2000.2","2040.2","1921.8","1965","0.20","781"
"SMFBS","2022-01-27","1998","1998","1960","1961","-1.85","224"
"SMFBS","2022-01-26","1960","1998","1921","1998","-0.10","186"
"SMFBS","2022-01-25","1960","2014.5","1960","2000","0.91","362"
"SMFBS","2022-01-24","2058","2060","1939.2","1982","-5.62","1045"
"SMFBS","2022-01-23","2105","2125","2065","2100","0.00","367"
"SMFBS","2022-01-20","1941","2111","1941","2100","6.06","859"
"SMFBS","2022-01-19","2003","2043","1980","1980","-2.94","253"
"SMFBS","2022-01-18","2030","2060","2020","2040","-0.97","896"
"SMFBS","2022-01-17","2060","2080","2050","2060","0.49","259"
"SMFBS","2022-01-16","2028","2100","2050","2050","1.08","2310"
"SMFBS","2022-01-13","2000","2028","1995","2028","1.91","353"
"SMFBS","2022-01-12","2015","2015","1980","1990","-1.24","230"
"SMFBS","2022-01-11","1999.1","2057.9","1990","2015","1.77","1491"
"SMFBS","2022-01-10","1961","1999","1950","1980","0.10","620"
"SMFBS","2022-01-09","2000","2000","1970","1978","0.41","184"
"SMFBS","2022-01-06","1897.4","1970","1897.3","1970","1.76","178"
"SMFBS","2022-01-05","1961","1961","1933","1936","-3.20","249"
"SMFBS","2022-01-04","1920","2100","1920","2000","4.17","1181"
"SMFBS","2022-01-03","1852","1920","1846","1920","3.67","885"
"SMFBS","2022-01-02","1888","1888.2","1813","1852","0.04","394"
"SMFBS","2021-12-29","1815","1852.1","1815","1851.3","0.00","828"
"SMFBS","2021-12-28","1783","1851.3","1780","1851.3","1.77","110"
"SMFBS","2021-12-27","1920","1920","1819.1","1819.1","-4.26","536"
"SMFBS","2021-12-26","1915","1925","1887","1900","-0.78","199"
"SMFBS","2021-12-23","1895","1915","1853.6","1915","-0.78","825"
"SMFBS","2021-12-22","1730","1930","1730","1930","9.97","640"
"SMFBS","2021-12-21","1750","1782","1750","1755","0.29","1003"
"SMFBS","2021-12-20","1800","1800","1729","1750","-4.37","131"
"SMFBS","2021-12-16","1750","1830","1740","1830","5.35","633"
"SMFBS","2021-12-15","1831.1","1876.8","1737","1737","-3.24","371"
"SMFBS","2021-12-14","1695","1795.2","1670","1795.2","5.98","275"
"SMFBS","2021-12-13","1845","1845","1693.9","1693.9","-9.99","1494"
"SMFBS","2021-12-12","1809","1881.9","1670","1881.9","2.00","1535"
"SMFBS","2021-12-09","1882","1882","1809","1845","-3.90","775"
"SMFBS","2021-12-08","2619","2620","2495","2540","-3.02","2681"
"SMFBS","2021-12-07","2612","2660","2555.4","2619","0.34","828"
"SMFBS","2021-12-06","2500","2610","2440","2610","2.47","938"
"SMFBS","2021-12-05","2512","2548","2470","2547","-0.31","2069"
"SMFBS","2021-12-02","2561","2660","2555","2555","-2.11","1454"
"SMFBS","2021-12-01","2605","2655","2605","2610","2.19","771"
"SMFBS","2021-11-30","2629","2629","2554","2554","-1.77","370"
"SMFBS","2021-11-29","2520","2716.6","2508","2600","3.59","1248"
"SMFBS","2021-11-28","2548.1","2598","2500","2510","-3.46","1125"
"SMFBS","2021-11-25","2580","2600","2580","2600","-0.54","593"
"SMFBS","2021-11-24","2615","2651","2613","2614","-1.95","445"
"SMFBS","2021-11-23","2632","2670","2565","2666","-0.49","530"
"SMFBS","2021-11-22","2651","2695","2651","2679","1.06","499"
"SMFBS","2021-11-21","2650","2670","2650","2651","-1.08","397"
"SMFBS","2021-11-18","2647","2679.9","2647","2679.9","-0.63","160"
"SMFBS","2021-11-17","2663","2700","2655","2697","1.28","529"
"SMFBS","2021-11-16","2686","2695","2661","2663","-0.86","299"
"SMFBS","2021-11-15","2640","2686","2640","2686","1.74","126"
"SMFBS","2021-11-14","2655","2679.9","2640","2640","-0.30","258"
"SMFBS","2021-11-11","2607","2659.1","2557","2648","-0.45","279"
"SMFBS","2021-11-09","2675","2680","2613","2660","-2.21","853"
"SMFBS","2021-11-08","2725","2779.5","2700","2720","0.74","503"
"SMFBS","2021-11-03","2754","2754","2690","2700","0.00","384"
"SMFBS","2021-11-02","2742","2743","2688.1","2700","-1.56","1149"
"SMFBS","2021-11-01","2848","2848","2689.2","2742.9","-2.04","1621"
"SMFBS","2021-10-31","2700","2800","2700","2800","3.55","1264"
"SMFBS","2021-10-28","2705","2720","2661","2704","0.11","2657"
"SMFBS","2021-10-27","2685.9","2720","2674","2701","0.48","2434"
"SMFBS","2021-10-26","2705","2718","2675","2688","0.67","1302"
"SMFBS","2021-10-25","2700","2700","2660","2670","0.75","858"
"SMFBS","2021-10-24","2650","2680","2595","2650","0.00","954"
"SMFBS","2021-10-21","2660","2660","2640","2650","-0.38","964"
"SMFBS","2021-10-20","2660","2815","2623","2660","1.99","760"
"SMFBS","2021-10-19","2563","2608","2475","2608","-0.27","1071"
"SMFBS","2021-10-18","2715","2715","2600","2615","-3.68","1504"
"SMFBS","2021-10-17","2685","2743","2662","2715","1.12","776"
"SMFBS","2021-10-11","2650","2686","2597","2685","-0.56","1370"
"SMFBS","2021-10-10","2820","2825","2685.2","2700","-3.57","3844"
"SMFBS","2021-10-06","2780","2800","2735","2800","2.38","4132"
"SMFBS","2021-10-05","2653","2760","2653","2735","5.11","3226"
"SMFBS","2021-10-04","2531","2641","2499","2602","4.85","9511"
"SMFBS","2021-10-03","2386","2481.6","2256.2","2481.6","6.05","1023"
"SMFBS","2021-09-30","2340","2461","2274.1","2340","0.04","621"
"SMFBS","2021-09-29","2371","2371","2280","2339","0.60","206"
"SMFBS","2021-09-28","2310","2325","2200","2325","0.65","1170"
"SMFBS","2021-09-27","2435","2435","2291","2310","-5.13","877"
"SMFBS","2021-09-26","2465","2465","2352","2435","-1.22","1351"
"SMFBS","2021-09-23","2494.1","2494.1","2430.1","2465","-3.14","669"
"SMFBS","2021-09-22","2361","2545","2350","2545","7.79","1636"
"SMFBS","2021-09-21","2350","2369","2270","2361","0.47","1809"
"SMFBS","2021-09-20","2387","2395","2331","2350","-3.49","635"
"SMFBS","2021-09-16","2499","2499","2360","2435","-1.70","1300"
"SMFBS","2021-09-15","2481","2482.1","2477","2477","-1.98","304"
"SMFBS","2021-09-14","2495","2535","2450","2527","-0.71","486"
"SMFBS","2021-09-13","2580","2599","2454","2545","0.39","1634"
"SMFBS","2021-09-12","2482","2535","2482","2535","0.20","592"
"SMFBS","2021-09-09","2520.4","2550","2451","2530","2.39","875"
"SMFBS","2021-09-08","2560","2560","2460","2471","-2.24","547"
"SMFBS","2021-09-07","2579","2579","2527.5","2527.5","-2.00","145"
"SMFBS","2021-09-06","2440","2580","2433","2579","3.99","946"
"SMFBS","2021-09-05","2490","2490","2394","2480","-2.36","902"
"SMFBS","2021-09-02","2520","2540","2475","2540","0.59","1254"
"SMFBS","2021-09-01","2500","2525","2500","2525","1.53","432"
"SMFBS","2021-08-31","2512","2512","2452","2487","-2.93","1275"
"SMFBS","2021-08-29","2611","2635","2560","2562","-1.88","1974"
"SMFBS","2021-08-26","2665.2","2718.5","2580","2611","-0.08","980"
"SMFBS","2021-08-25","2630","2650","2611","2613","-0.27","2363"
"SMFBS","2021-08-24","2655","2660","2610","2620","-0.57","905"
"SMFBS","2021-08-19","2669","2669.9","2619","2635","0.04","2658"
"SMFBS","2021-08-18","2600","2635","2600","2634","1.11","1375"
"SMFBS","2021-08-17","2620","2645","2600","2605","-0.57","591"
"SMFBS","2021-08-16","2670","2720","2620","2620","-1.87","1847"
"SMFBS","2021-08-15","2621.9","2690","2600","2670","3.79","2197"
"SMFBS","2021-08-12","2645","2645","2550","2572.5","-2.74","1544"
"SMFBS","2021-08-11","2604","2656","2590","2645","1.57","949"
"SMFBS","2021-08-10","2600","2699","2600","2604","0.15","1916"
"SMFBS","2021-08-09","2600","2652","2600","2600","-1.81","896"
"SMFBS","2021-08-08","2689","2689","2607","2648","0.08","1329"
"SMFBS","2021-08-05","2768.2","2770","2645","2646","-2.51","4222"
"SMFBS","2021-08-04","2824.3","2865","2666","2714","-1.99","2937"
"SMFBS","2021-08-03","2757","2839","2720","2769","2.44","4793"
"SMFBS","2021-08-02","2630","2703","2620","2703","2.00","1933"
"SMFBS","2021-08-01","2578","2682","2575","2650","2.87","2121"
"SMFBS","2021-07-29","2710","2710","2553","2576","-3.09","1459"
"SMFBS","2021-07-28","2670","2680","2607","2658","-0.45","853"
"SMFBS","2021-07-27","2724.4","2724.4","2600","2670","-3.96","4507"
"SMFBS","2021-07-26","2754","2815","2754","2780","2.96","3856"
"SMFBS","2021-07-25","2550","2700","2510","2700","6.30","4193"
"SMFBS","2021-07-22","2500","2550","2500","2540","-0.39","710"
"SMFBS","2021-07-20","2535","2584","2534","2550","-1.35","332"
"SMFBS","2021-07-19","2630","2630","2580","2585","0.25","759"
"SMFBS","2021-07-18","2545","2585","2530","2578.5","2.81","1069"
"SMFBS","2021-07-15","2500","2524","2485","2508","0.04","2552"
