"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SMFDBP","2021-12-29","764","764","764","764","-1.93","5000"
"SMFDBP","2021-12-27","779","779","779","779","0.00","4500"
"SMFDBP","2021-12-26","779","779","779","779","0.00","5215"
"SMFDBP","2021-12-21","779","779","779","779","0.00","2000"
"SMFDBP","2021-12-02","779","779","779","779","0.00","9000"
"SMFDBP","2021-11-25","779","779","779","779","0.00","22000"
"SMFDBP","2021-08-19","907","907","907","907","0.00","3995"
"SMFDBP","2021-08-17","907","907","907","907","0.00","5000"
"SMFDBP","2021-05-11","680","680","680","680","0.00","20500"
"SMFDBP","2021-05-02","680","680","680","680","0.00","20000"
"SMFDBP","2021-04-13","680","680","680","680","0.00","3000"
"SMFDBP","2021-04-12","680","680","680","680","0.00","6400"
"SMFDBP","2021-03-30","680","680","680","680","-1.45","11500"
"SMFDBP","2021-02-16","690","690","690","690","0.00","26000"
"SMFDBP","2021-02-15","727","727","727","727","0.00","3600"
"SMFDBP","2019-07-14","380","380","380","380","0.00","1000"
"SMFDBP","2019-07-07","380","380","380","380","-1.30","6500"
"SMFDBP","2019-05-07","385","385","385","385","0.00","1000"
"SMFDBP","2019-03-10","385","385","380","385","1.32","7000"
"SMFDBP","2019-03-09","385","385","380","385","1.32","7000"
"SMFDBP","2018-12-30","500","500","500","500","0.00","2400"
"SMFDBP","2018-12-16","500","500","500","500","0.00","1000"
"SMFDBP","2018-10-11","500","500","500","500","0.00","18000"
"SMFDBP","2018-06-28","615","615","615","615","0.00","5000"
"SMFDBP","2018-06-10","615","615","615","615","0.00","1000"
"SMFDBP","2018-06-04","615","615","615","615","0.82","2000"
"SMFDBP","2017-06-14","1360","1360","1360","1360","-0.87","7875"
"SMFDBP","2017-05-11","1372","1372","1372","1372","-2.00","1000"
"SMFDBP","2017-03-30","1420","1400","1400","1400","-1.41","7300"
"SMFDBP","2016-10-24","1420","1420","1420","1420","0.00","1000"
"SMFDBP","2016-10-04","1420","1420","1420","1420","0.00","3000"
