"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SMFDB","2022-05-05","995","995","977","985","-1.89","500"
"SMFDB","2022-05-04","1025","1025","1004","1004","-2.43","285"
"SMFDB","2022-05-02","1029.1","1029.1","1009","1029","-1.99","74"
"SMFDB","2022-04-28","1102","1102","998","1049.9","-2.88","1297"
"SMFDB","2022-04-27","1053.5","1081","1032.5","1081","0.56","90"
"SMFDB","2022-04-26","1125","1125","1035","1075","-3.15","1350"
"SMFDB","2022-04-25","1110","1149","1098","1110","-1.59","480"
"SMFDB","2022-04-24","1050","1142","1040","1127.9","7.52","2018"
"SMFDB","2022-04-21","975","1049","975","1049","7.59","1165"
"SMFDB","2022-04-20","992.1","992.1","975","975","-3.47","535"
"SMFDB","2022-04-19","982","1010","980","1010","1.51","740"
"SMFDB","2022-04-18","995","995","995","995","-1.49","146"
"SMFDB","2022-04-17","1024.7","1024.7","1010","1010","0.53","875"
"SMFDB","2022-04-13","970","1004.7","970","1004.7","2.52","1460"
"SMFDB","2022-04-12","980","989","970","980","-0.51","1000"
"SMFDB","2022-04-11","999","1000","985","985","0.51","736"
"SMFDB","2022-04-07","985","1020","980","980","-0.71","2235"
"SMFDB","2022-04-06","987","987","980","987","-1.99","1421"
"SMFDB","2022-04-05","1025.1","1027","1000","1007","-3.64","1775"
"SMFDB","2022-04-04","1085","1085.2","1043.4","1045","-1.79","1185"
"SMFDB","2022-04-03","1085","1085","1064","1064","-3.88","823"
"SMFDB","2022-03-31","1090","1109","1069","1107","-0.09","1194"
"SMFDB","2022-03-30","1090","1111.8","1080","1108","2.88","527"
"SMFDB","2022-03-29","1097","1097","1055.6","1077","0.09","745"
"SMFDB","2022-03-28","1061.5","1077","1060","1076","-0.19","270"
"SMFDB","2022-03-27","1135","1135","1078","1078","-4.18","1341"
"SMFDB","2022-03-24","1142","1142","1112.3","1125","0.36","110"
"SMFDB","2022-03-23","1170","1170","1121","1121","-2.35","555"
"SMFDB","2022-03-22","1150","1150","1135","1148","1.64","335"
"SMFDB","2022-03-21","1128","1130","1128","1129.5","0.49","70"
"SMFDB","2022-03-20","1129.1","1151.6","1109","1124","1.54","871"
"SMFDB","2022-03-16","1134.4","1134.4","1107","1107","-1.86","310"
"SMFDB","2022-03-15","1170","1170","1128","1128","-1.91","299"
"SMFDB","2022-03-14","1150","1150","1150","1150","0.44","10"
"SMFDB","2022-03-13","1150.5","1165","1123.1","1145","1.51","1320"
"SMFDB","2022-03-10","1091.4","1128","1051","1128","5.42","1554"
"SMFDB","2022-03-09","1070","1070","1065.1","1070","-1.29","300"
"SMFDB","2022-03-07","1085","1106","1080","1084","-0.09","90"
"SMFDB","2022-03-06","1095","1100","1083","1085","-1.90","805"
"SMFDB","2022-03-02","1113.4","1113.4","1089","1106","-2.56","1134"
"SMFDB","2022-02-28","1163.8","1187","1122.2","1135","-0.53","1635"
"SMFDB","2022-02-27","1160","1160","1140","1141","-0.78","513"
"SMFDB","2022-02-24","1150.1","1152.1","1150","1150","-1.71","775"
