"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SPC","2022-05-05","455","455","425","432","-4.59","4767"
"SPC","2022-05-04","456.8","475","452.8","452.8","-2.85","934"
"SPC","2022-05-02","481","484","466.1","466.1","-4.88","3222"
"SPC","2022-04-28","500","520.2","490","490","-2.00","4249"
"SPC","2022-04-27","496","514","495","500","-1.19","2235"
"SPC","2022-04-26","512.1","517.1","495.1","506","-1.19","3690"
"SPC","2022-04-25","527","546.4","511","512.1","-4.46","5585"
"SPC","2022-04-24","502.8","542.5","476.1","536","8.28","9545"
"SPC","2022-04-21","500.9","500.9","460","495","0.65","2984"
"SPC","2022-04-20","502.1","502.1","481","491.8","-3.95","4872"
"SPC","2022-04-19","513","530.2","485","512","-0.19","2929"
"SPC","2022-04-18","521","521","496","513","-3.21","2957"
"SPC","2022-04-17","563","563","525","530","-5.69","2545"
"SPC","2022-04-13","554","574","521","562","2.74","4757"
"SPC","2022-04-12","548.8","584.4","535.2","547","-2.32","3855"
"SPC","2022-04-11","585","596.7","560","560","-4.31","5347"
"SPC","2022-04-07","570","625","570","585.2","0.90","9511"
"SPC","2022-04-06","579","597","565","580","-1.21","6103"
"SPC","2022-04-05","597.8","599","579","587.1","-3.75","7872"
"SPC","2022-04-04","616","617","596","610","-0.97","6510"
"SPC","2022-04-03","631.2","631.2","603","616","-4.35","6290"
"SPC","2022-03-31","670","688.9","633.1","644","-3.88","20000"
"SPC","2022-03-30","600","670","600","670","9.84","8797"
"SPC","2022-03-29","610","630","598","610","-1.61","4635"
"SPC","2022-03-28","620","628","602.1","620","-1.59","6717"
"SPC","2022-03-27","618","637","615","630","-0.03","4530"
"SPC","2022-03-24","650","660.9","630.2","630.2","-4.65","9005"
"SPC","2022-03-23","659.6","671","652","660.9","-1.80","11456"
"SPC","2022-03-22","670","685","663","673","-1.17","3350"
"SPC","2022-03-21","670","697.6","658","681","-0.15","17135"
"SPC","2022-03-20","680","690","673.1","682","-1.67","5372"
"SPC","2022-03-16","691","699","680","693.6","0.20","12341"
"SPC","2022-03-15","691","705","690","692.2","-1.82","11538"
"SPC","2022-03-14","730","730","687.1","705","-1.95","3191"
"SPC","2022-03-13","700.2","719","680.1","719","4.66","18353"
