"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SPDL","2022-05-05","327","338","323.4","330","-1.05","21933"
"SPDL","2022-05-04","346","348.8","333.1","333.5","-3.61","31891"
"SPDL","2022-05-02","354.1","356","343","346","-4.16","26298"
"SPDL","2022-04-28","368","374","361","361","-1.63","43686"
"SPDL","2022-04-27","365","370","353.1","367","1.10","19789"
"SPDL","2022-04-26","370","373","357.7","363","-1.89","13512"
"SPDL","2022-04-25","388","395","366","370","-2.86","39227"
"SPDL","2022-04-24","355","383.9","345.1","380.9","9.14","54194"
"SPDL","2022-04-21","342.3","360","336.2","349","0.58","18596"
"SPDL","2022-04-20","360","365","343","347","-4.41","49158"
"SPDL","2022-04-19","356","367.6","350","363","0.83","18791"
"SPDL","2022-04-18","368","374.9","356","360","-4.00","23365"
"SPDL","2022-04-17","393.8","401","373","375","-2.90","12070"
"SPDL","2022-04-13","382.9","390.4","375","386.2","0.86","20303"
"SPDL","2022-04-12","390","391","377","382.9","-1.82","24829"
"SPDL","2022-04-11","406","414","390","390","-2.03","29179"
"SPDL","2022-04-07","392","408","392","398.1","0.78","37512"
"SPDL","2022-04-06","391","401","390","395","-0.25","16035"
"SPDL","2022-04-05","398","399","388","396","-1.25","33314"
"SPDL","2022-04-04","405","413","399","401","-0.96","25614"
"SPDL","2022-04-03","415","415","401.8","404.9","-1.84","17273"
"SPDL","2022-03-31","425.1","425.2","411","412.5","-2.92","17800"
"SPDL","2022-03-30","409","425","406","424.9","4.09","27218"
"SPDL","2022-03-29","421","421","405","408.2","-1.38","48959"
"SPDL","2022-03-28","420","427","411.6","413.9","-1.45","27052"
"SPDL","2022-03-27","444","444","414","420","-3.69","52381"
"SPDL","2022-03-24","463","463","436.1","436.1","-3.94","37591"
"SPDL","2022-03-23","457","461","452","454","-1.52","12938"
"SPDL","2022-03-22","460.1","474","458.4","461","-1.43","34871"
"SPDL","2022-03-21","457","468","443","467.7","4.05","56603"
"SPDL","2022-03-20","444","459","444","449.5","1.24","38622"
"SPDL","2022-03-16","447.6","453","444","444","-2.63","24483"
"SPDL","2022-03-15","462.7","462.7","444","456","0.44","61077"
"SPDL","2022-03-14","465","466","450","454","-1.73","18706"
"SPDL","2022-03-13","459","467","450","462","2.67","62305"
"SPDL","2022-03-10","432","453","418","450","5.88","96183"
"SPDL","2022-03-09","448","448","418","425","-3.63","34515"
"SPDL","2022-03-07","445","456","438","441","-1.78","32386"
"SPDL","2022-03-06","462","469","445","449","-0.88","32409"
"SPDL","2022-03-02","465","469","450","453","-3.62","69001"
"SPDL","2022-02-28","497.6","505","466","470","-3.67","69929"
"SPDL","2022-02-27","483","500","483","487.9","1.41","44706"
"SPDL","2022-02-24","496","499","480","481.1","-4.16","62275"
"SPDL","2022-02-23","500","508","491","502","0.80","82727"
"SPDL","2022-02-22","500","509","493","498","1.01","71083"
"SPDL","2022-02-21","492.9","499","485.5","493","1.86","50955"
"SPDL","2022-02-20","476.3","500","466.8","484","-0.41","81206"
"SPDL","2022-02-17","489","497","479.3","486","-0.41","42175"
"SPDL","2022-02-16","510","512","482","488","-2.98","74938"
"SPDL","2022-02-15","477","506","472","503","7.48","63964"
"SPDL","2022-02-14","471","482.9","460","468","0.00","68108"
"SPDL","2022-02-13","490.9","490.9","467.1","468","-6.40","156256"
"SPDL","2022-02-10","510","512","499","500","-1.19","48933"
"SPDL","2022-02-09","511","515","502","506","-1.94","83263"
"SPDL","2022-02-08","538.5","555","511","516","0.00","182095"
"SPDL","2022-02-07","530","549","519.4","528","-0.36","193688"
"SPDL","2022-02-06","520","534","510","529.9","1.90","290432"
"SPDL","2022-02-03","513","525.3","509","520","3.36","330339"
"SPDL","2022-02-01","481","509","480","503.1","3.63","167330"
"SPDL","2022-01-31","500","501.9","481","485.5","-1.52","72564"
"SPDL","2022-01-30","468.1","495","468.1","493","7.41","140689"
"SPDL","2022-01-27","449","469","449","459","0.20","46075"
"SPDL","2022-01-26","465","478","450","458.1","-2.53","82329"
"SPDL","2022-01-25","474.2","485.1","457.7","470","1.08","90104"
"SPDL","2022-01-24","498","498","465","465","-6.63","147611"
"SPDL","2022-01-23","522","524","495","498","-3.11","110279"
"SPDL","2022-01-20","488.1","514","488.1","514","4.05","102960"
"SPDL","2022-01-19","510","512","490","494","-1.59","97323"
"SPDL","2022-01-18","524","530","499","502","-2.90","179475"
"SPDL","2022-01-17","505","525","487","517","3.42","171643"
"SPDL","2022-01-16","488","512","491","499.9","2.44","155149"
"SPDL","2022-01-13","460.1","493","460.1","488","4.05","104544"
"SPDL","2022-01-12","485","495","461.1","469","-1.68","158461"
"SPDL","2022-01-11","466.1","486","461","477","2.80","71521"
"SPDL","2022-01-10","475.2","483","455","464","-0.41","114789"
"SPDL","2022-01-09","446.7","471","446","465.9","6.37","126171"
"SPDL","2022-01-06","410.4","440","410.4","438","4.63","88984"
"SPDL","2022-01-05","410.1","430","407.1","418.6","2.40","88887"
"SPDL","2022-01-04","408.9","411","395","408.8","1.72","34763"
"SPDL","2022-01-03","401","408.9","395","401.9","0.22","32334"
"SPDL","2022-01-02","397","402.5","390","401","1.26","22742"
"SPDL","2021-12-29","403","403","390","396","-0.25","19705"
"SPDL","2021-12-28","390.1","407.9","385","397","-0.25","37367"
"SPDL","2021-12-27","421.9","422","392","398","-4.10","53295"
"SPDL","2021-12-26","418.2","425.9","414","415","-0.74","50995"
"SPDL","2021-12-23","435","442","418","418.1","-2.54","51662"
