"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SRBLD83","2022-04-11","955.5","955.5","955.5","955.5","-2.00","50"
"SRBLD83","2022-04-06","975","975","975","975","0.00","425"
"SRBLD83","2022-04-04","975","975","975","975","0.00","200"
"SRBLD83","2022-03-28","989.4","989.4","975","975","-1.46","625"
"SRBLD83","2022-03-23","970","989.4","970","989.4","4.04","100"
"SRBLD83","2022-03-22","951","951","951","951","0.00","350"
"SRBLD83","2022-03-21","952","952","951","951","0.00","800"
"SRBLD83","2022-03-16","951","951","951","951","-0.42","400"
"SRBLD83","2022-03-13","946.2","955","946.2","955","-1.07","75"
"SRBLD83","2022-02-24","965.3","965.3","965.3","965.3","-2.00","25"
"SRBLD83","2022-02-20","985","985","985","985","-0.30","450"
"SRBLD83","2022-02-16","988","988","988","988","0.04","335"
"SRBLD83","2022-02-08","987.6","987.6","987.6","987.6","0.00","25"
"SRBLD83","2022-01-30","987.6","987.6","987.6","987.6","1.99","100"
"SRBLD83","2022-01-26","985.7","985.7","968.3","968.3","0.20","35"
"SRBLD83","2022-01-25","967.3","967.3","966.4","966.4","-1.99","200"
"SRBLD83","2022-01-17","986.1","986.1","986","986","-1.84","250"
"SRBLD83","2022-01-16","1025","1004.5","1004.5","1004.5","-2.00","25"
"SRBLD83","2022-01-09","1025","1025","1025","1025","0.00","50"
"SRBLD83","2022-01-06","1025","1025","1025","1025","1.49","100"
"SRBLD83","2022-01-05","1010","1010","1010","1010","0.00","25"
"SRBLD83","2022-01-04","1010","1010","1010","1010","0.00","100"
"SRBLD83","2021-12-29","1010","1010","1010","1010","-0.98","50"
"SRBLD83","2021-12-28","1020","1020","1020","1020","0.11","120"
"SRBLD83","2021-12-27","1018.9","1018.9","1018.9","1018.9","1.99","75"
"SRBLD83","2021-12-22","999","999","999","999","-0.03","700"
"SRBLD83","2021-12-20","1019.6","1019.6","999.3","999.3","-3.95","20"
"SRBLD83","2021-11-14","1040.4","1040.4","1040.4","1040.4","2.00","10"
"SRBLD83","2021-11-01","1020","1020","1020","1020","0.49","25"
"SRBLD83","2021-10-31","1015","1015","1015","1015","0.79","25"
"SRBLD83","2021-10-27","1007","1007","1007","1007","0.00","25"
"SRBLD83","2021-10-11","1007","1007","1007","1007","-0.72","50"
"SRBLD83","2021-10-10","1014.3","1014.3","1014.3","1014.3","-2.00","50"
"SRBLD83","2021-10-03","1035","1035","1035","1035","0.00","910"
"SRBLD83","2021-09-30","1035","1035","1035","1035","0.00","425"
"SRBLD83","2021-09-29","1035","1035","1035","1035","0.00","1000"
"SRBLD83","2021-09-23","1040","1040","1035","1035","-0.67","1000"
"SRBLD83","2021-09-21","1042","1042","1042","1042","-0.76","1100"
"SRBLD83","2021-09-20","1050","1050","1050","1050","0.95","25"
"SRBLD83","2021-09-16","1040.1","1040.1","1040.1","1040.1","-0.48","50"
"SRBLD83","2021-09-12","1045","1047","1045","1045.1","-0.28","535"
"SRBLD83","2021-09-08","1055","1055","1048","1048","0.67","525"
"SRBLD83","2021-09-05","1040.1","1045","1040.1","1041","0.10","1140"
"SRBLD83","2021-09-02","1040","1040","1040","1040","0.96","850"
"SRBLD83","2021-09-01","1030.1","1030.1","1030.1","1030.1","-0.95","50"
"SRBLD83","2021-08-31","1036.9","1040","1036.9","1040","-1.70","375"
"SRBLD83","2021-08-29","1058","1058","1058","1058","0.00","830"
"SRBLD83","2021-08-25","1060","1060","1058","1058","-0.19","1075"
"SRBLD83","2021-08-16","1060","1060","1060","1060","0.00","80"
"SRBLD83","2021-08-12","1060","1060","1060","1060","0.00","100"
"SRBLD83","2021-08-11","1060","1060","1060","1060","0.93","200"
"SRBLD83","2021-08-08","1050.2","1050.2","1050.2","1050.2","0.02","275"
"SRBLD83","2021-08-05","1040","1050","1040","1050","0.48","400"
"SRBLD83","2021-08-03","1045","1045","1045","1045","-0.48","500"
"SRBLD83","2021-08-02","1050","1050","1050","1050","0.00","450"
"SRBLD83","2021-08-01","1050","1050","1050","1050","-0.26","50"
"SRBLD83","2021-07-27","1033","1052.7","1033","1052.7","2.00","300"
"SRBLD83","2021-07-25","1032.1","1032.1","1032.1","1032.1","0.15","30"
"SRBLD83","2021-07-22","1051.6","1051.6","1030.6","1030.6","-0.04","50"
"SRBLD83","2021-07-19","1064.3","1064.3","1031","1031","-5.06","200"
"SRBLD83","2021-07-12","1086","1086","1086","1086","1.97","40"
"SRBLD83","2021-07-06","1065","1065","1065","1065","0.09","25"
"SRBLD83","2021-07-04","1064","1064","1064","1064","-1.75","25"
"SRBLD83","2021-07-01","1083","1083","1083","1083","1.98","145"
"SRBLD83","2021-06-28","1062","1062","1062","1062","0.19","25"
"SRBLD83","2021-06-27","1070","1070","1060","1060","-1.85","1075"
"SRBLD83","2021-06-22","1080","1080","1080","1080","0.00","100"
"SRBLD83","2021-06-21","1080","1090","1080","1080","1.89","500"
"SRBLD83","2021-06-17","1065","1065","1060","1060","0.00","340"
"SRBLD83","2021-06-16","1060","1060","1060","1060","0.00","50"
