"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SRBLPO","2021-12-28","162","162","162","187","15.43","9000"
"SRBLPO","2021-09-21","211","211","211","211","-1.86","48864"
"SRBLPO","2021-08-16","215","215","215","215","0.00","283786"
"SRBLPO","2021-05-06","161","161","161","161","0.00","130122"
"SRBLPO","2021-03-03","161","161","161","161","-0.62","260000"
"SRBLPO","2019-11-14","162","162","162","162","0.00","29316"
"SRBLPO","2019-11-11","162","162","162","162","-1.82","17748"
"SRBLPO","2019-08-15","165","165","165","165","0.00","292635"
"SRBLPO","2019-05-08","165","165","165","165","0.00","19666"
"SRBLPO","2018-12-23","165","165","165","165","0.00","495443"
"SRBLPO","2018-01-22","365","365","365","365","0.83","44737"
"SRBLPO","2017-10-31","362","362","362","362","0.00","9514"
"SRBLPO","2017-10-29","362","362","362","362","0.00","7869"
"SRBLPO","2017-07-31","364","364","362","362","-2.16","45922"
"SRBLPO","2017-07-24","370","370","370","370","0.00","28861"
"SRBLPO","2017-03-05","369","369","369","369","1.93","65000"
"SRBLPO","2016-12-22","362","362","362","362","0.00","122337"
"SRBLPO","2016-11-30","362","362","362","362","0.00","4670"
"SRBLPO","2016-07-05","362","362","362","362","0.00","20092"
"SRBLPO","2016-07-04","358","158","158","158","0.00","20092"
"SRBLPO","2015-03-31","159","156","144","144","-9.43","127193"
"SRBLPO","2015-03-30","176","173","159","159","-9.66","120"
"SRBLPO","2015-03-29","194","194","176","176","-9.28","160"
"SRBLPO","2013-12-01","101","100","100","100","-0.99","150150"
"SRBLPO","2013-10-02","101","101","101","101","0.00","9375"
"SRBLPO","2013-06-06","101","101","101","101","0.00","4030"
"SRBLPO","2013-03-21","101","101","101","101","0.00","20150"
"SRBLPO","2012-12-09","0","101","101","101","0.00","16250"
