"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SRBL","2022-05-05","230.1","234","227","229","-1.72","37315"
"SRBL","2022-05-04","230.1","235","230","233","0.22","10866"
"SRBL","2022-05-02","239.9","239.9","232.5","232.5","-1.65","19247"
"SRBL","2022-04-28","235.1","239","235.1","236.4","-1.09","12598"
"SRBL","2022-04-27","235","240.7","231.1","239","-0.29","7071"
"SRBL","2022-04-26","238","240","234","239.7","0.71","9418"
"SRBL","2022-04-25","240","242","237","238","-0.83","5984"
"SRBL","2022-04-24","235","245","233.1","240","3.00","15442"
"SRBL","2022-04-21","232","236.6","231","233","-1.44","14267"
"SRBL","2022-04-20","242.7","242.7","236.4","236.4","-0.67","27474"
"SRBL","2022-04-19","236","240","232.1","238","-0.42","14181"
"SRBL","2022-04-18","241.1","242.9","235.5","239","-2.05","12137"
"SRBL","2022-04-17","255.7","255.7","242.9","244","-2.67","14287"
"SRBL","2022-04-13","242","250.7","236","250.7","4.02","24962"
"SRBL","2022-04-12","238","241","237","241","0.21","14174"
"SRBL","2022-04-11","248","251","240.3","240.5","-1.84","22861"
"SRBL","2022-04-07","241","245","240","245","1.49","17690"
"SRBL","2022-04-06","242","246","239","241.4","-1.87","11223"
"SRBL","2022-04-05","253.9","253.9","242","246","-1.20","26395"
"SRBL","2022-04-04","255.9","255.9","246.2","249","-0.76","11373"
"SRBL","2022-04-03","250","254","248","250.9","-0.04","14570"
"SRBL","2022-03-31","255","255","250.2","251","-0.40","16248"
"SRBL","2022-03-30","250","254","249.5","252","0.04","15902"
"SRBL","2022-03-29","255","255","249","251.9","-0.79","12244"
"SRBL","2022-03-28","251","255.3","250.3","253.9","-0.43","25563"
"SRBL","2022-03-27","258","259.1","254","255","-1.20","36223"
"SRBL","2022-03-24","262.6","264.4","258.1","258.1","-1.71","25763"
"SRBL","2022-03-23","265","266.9","262.3","262.6","-1.61","12655"
"SRBL","2022-03-22","262","272","260.1","266.9","1.87","45853"
"SRBL","2022-03-21","262","263","257","262","0.89","14569"
"SRBL","2022-03-20","253.4","262.5","253.4","259.7","0.46","16043"
"SRBL","2022-03-16","261","263","257","258.5","-0.96","31888"
"SRBL","2022-03-15","263.5","263.5","258.3","261","-0.95","37082"
"SRBL","2022-03-14","263.9","264","260","263.5","0.96","9902"
"SRBL","2022-03-13","256","262.5","254","261","3.16","29375"
"SRBL","2022-03-10","246.6","254","245.1","253","2.02","26571"
"SRBL","2022-03-09","252","252","248","248","-1.59","26043"
"SRBL","2022-03-07","253","255","250","252","0.40","14129"
"SRBL","2022-03-06","255","255","250.3","251","-0.59","15105"
"SRBL","2022-03-02","257.1","257.1","250.2","252.5","-1.71","41583"
"SRBL","2022-02-28","263","263","255","256.9","-1.19","22972"
"SRBL","2022-02-27","258","262","258","260","0.35","29096"
"SRBL","2022-02-24","265","265","258","259.1","-2.96","39372"
"SRBL","2022-02-23","270","272.7","266.3","267","-1.11","19831"
"SRBL","2022-02-22","266","274","263.1","270","1.73","44680"
"SRBL","2022-02-21","267","270","260","265.4","0.19","41952"
"SRBL","2022-02-20","269","269","261.4","264.9","-1.89","29935"
"SRBL","2022-02-17","271","275","270","270","-0.92","14685"
"SRBL","2022-02-16","274","276.8","269","272.5","-0.69","13318"
"SRBL","2022-02-15","269","274.4","267.2","274.4","1.25","27675"
"SRBL","2022-02-14","272","275","266","271","-0.33","25942"
"SRBL","2022-02-13","274","275","268","271.9","-2.26","54846"
"SRBL","2022-02-10","283.9","284","278","278.2","-0.64","18591"
"SRBL","2022-02-09","280.5","283","278.4","280","-0.74","13629"
"SRBL","2022-02-08","287","294","281.2","282.1","0.00","28077"
"SRBL","2022-02-07","285","285","280.3","284","0.00","29409"
"SRBL","2022-02-06","288.9","288.9","281.1","284","-1.11","22615"
"SRBL","2022-02-03","290","295","287.2","287.2","-0.93","42612"
"SRBL","2022-02-01","285","290","284","289.9","1.72","28681"
"SRBL","2022-01-31","285","290","284.2","285","-1.35","24193"
"SRBL","2022-01-30","286.7","297","286","288.9","2.77","45005"
"SRBL","2022-01-27","280.2","289","280.2","281.1","-0.99","39875"
"SRBL","2022-01-26","285","289","283.3","283.9","-1.25","37769"
"SRBL","2022-01-25","296.7","296.7","285","287.5","-1.17","33100"
"SRBL","2022-01-24","309","309","290","290.9","-3.99","118457"
"SRBL","2022-01-23","310","310","300","303","-0.98","116654"
"SRBL","2022-01-20","307","310","303.2","306","-0.97","46054"
"SRBL","2022-01-19","315.1","315.1","306.3","309","0.00","58413"
"SRBL","2022-01-18","309","319","300.6","309","0.98","171346"
"SRBL","2022-01-17","303","308","300.3","306","2.00","59197"
"SRBL","2022-01-16","300","305","298.9","300","0.00","92493"
"SRBL","2022-01-13","288.5","306","288.5","300","1.94","41879"
"SRBL","2022-01-12","297","303","294","294.3","-2.19","46528"
"SRBL","2022-01-11","300","303","295","300.9","-0.03","31100"
"SRBL","2022-01-10","307","307","296","301","-1.28","44904"
"SRBL","2022-01-09","299.9","307","295","304.9","3.36","74422"
"SRBL","2022-01-06","292","296","287","295","1.72","35954"
"SRBL","2022-01-05","297","297","285.2","290","-2.36","53827"
"SRBL","2022-01-04","280","297.1","280","297","4.50","67962"
"SRBL","2022-01-03","276","287","275","284.2","1.97","70852"
"SRBL","2022-01-02","277.4","278.7","270","278.7","2.46","26768"
"SRBL","2021-12-29","269","272","265","272","1.12","17665"
"SRBL","2021-12-28","263.1","270","263","269","0.37","18129"
"SRBL","2021-12-27","277","277","266","268","-2.55","44689"
"SRBL","2021-12-26","272","278.5","272","275","1.10","35820"
"SRBL","2021-12-23","279.4","279.4","268.1","272","-0.73","47171"
"SRBL","2021-12-22","272.2","276","266.8","274","2.66","58272"
"SRBL","2021-12-21","260","267","257.5","266.9","4.22","29266"
"SRBL","2021-12-20","259.1","260","250","256.1","0.79","35371"
"SRBL","2021-12-16","272","275","268.2","271","1.08","105750"
"SRBL","2021-12-15","279","279","268","268.1","-2.15","30981"
"SRBL","2021-12-14","272","276.9","267","274","2.58","11765"
"SRBL","2021-12-13","270","273.2","265","267.1","-2.52","74621"
"SRBL","2021-12-12","283","283","272","274","-2.32","83851"
"SRBL","2021-12-09","275","285.9","274.4","280.5","0.18","94109"
"SRBL","2021-12-08","287.8","287.8","275.5","280","-0.96","40424"
"SRBL","2021-12-07","285","288.7","282.7","282.7","-1.15","29756"
"SRBL","2021-12-06","280","287.9","274.4","286","0.39","61508"
"SRBL","2021-12-05","286.6","289","281","284.9","-2.10","84214"
"SRBL","2021-12-02","286.7","292.1","286.7","291","0.00","42061"
"SRBL","2021-12-01","295","297","289.5","291","-0.68","79180"
"SRBL","2021-11-30","286","295","286","293","0.65","51807"
"SRBL","2021-11-29","297","297.5","291","291.1","-1.62","42751"
"SRBL","2021-11-28","290","301.7","289","295.9","0.31","69286"
"SRBL","2021-11-25","299","301","290.7","295","0.34","52551"
"SRBL","2021-11-24","291","300","286.2","294","1.03","57165"
"SRBL","2021-11-23","288.1","293","288","291","1.04","89647"
"SRBL","2021-11-22","291","293","287.1","288","0.03","34054"
"SRBL","2021-11-21","292","292","287.7","287.9","-1.40","27857"
"SRBL","2021-11-18","290","295","289.1","292","-1.02","33589"
"SRBL","2021-11-17","301","301","291.1","295","-0.67","62154"
