"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SRD80","2022-05-04","953","953","953","953","-1.96","100"
"SRD80","2022-04-25","972.1","972.1","972.1","972.1","1.99","10"
"SRD80","2022-04-12","953.1","953.1","953.1","953.1","1.99","25"
"SRD80","2022-03-31","934.6","934.6","934.5","934.5","-1.63","50"
"SRD80","2022-03-16","950","950","950","950","0.00","25"
"SRD80","2022-03-13","950","950","950","950","-1.04","25"
"SRD80","2022-03-09","960","960","960","960","-1.54","100"
"SRD80","2022-03-07","980","980","975","975","-0.51","300"
"SRD80","2022-02-27","980","980","980","980","0.00","100"
"SRD80","2022-02-20","980","980","980","980","-0.91","1059"
"SRD80","2022-02-16","989","989","989","989","0.00","25"
"SRD80","2022-02-07","989","989","989","989","0.92","27"
"SRD80","2022-01-26","980","980","980","980","-2.00","25"
"SRD80","2022-01-24","1000","1000","1000","1000","0.00","368"
"SRD80","2022-01-20","1000","1000","1000","1000","-1.48","632"
"SRD80","2022-01-19","1015","1015","1015","1015","-0.98","1000"
"SRD80","2022-01-13","1025","1025","1025","1025","0.00","45"
"SRD80","2022-01-11","1005","1025","1005","1025","2.50","50"
"SRD80","2021-12-23","1000","1000","1000","1000","0.00","25"
"SRD80","2021-12-22","1000","1000","1000","1000","0.00","72"
"SRD80","2021-12-09","1000","1000","1000","1000","0.00","96"
"SRD80","2021-12-08","1000","1000","1000","1000","0.00","50"
"SRD80","2021-12-06","1000","1000","1000","1000","0.00","100"
"SRD80","2021-12-05","1000","1000.1","1000","1000","0.00","1150"
"SRD80","2021-12-02","1000","1000","1000","1000","0.00","125"
"SRD80","2021-11-28","1005","1005","1000","1000","-0.10","25"
"SRD80","2021-11-25","1001","1001","1001","1001","0.10","25"
"SRD80","2021-11-09","1000","1000","1000","1000","0.00","25"
"SRD80","2021-11-08","1000","1000","1000","1000","-1.67","50"
"SRD80","2021-10-28","1014","1017","1014","1017","-0.10","175"
"SRD80","2021-10-25","1018","1018","1018","1018","0.00","11"
"SRD80","2021-10-24","1005","1018","1005","1018","1.80","177"
"SRD80","2021-10-03","1002","1002","990","1000","-1.41","500"
"SRD80","2021-09-30","1014.3","1014.3","1014.3","1014.3","-1.99","50"
"SRD80","2021-09-29","1034.9","1034.9","1034.9","1034.9","1.96","20"
"SRD80","2021-09-28","1015","1015","1015","1015","1.30","25"
"SRD80","2021-09-21","1003","1003","1002","1002","-1.28","400"
"SRD80","2021-09-13","1015","1015","1015","1015","-0.10","25"
"SRD80","2021-09-09","1016","1016","1016","1016","-0.29","50"
"SRD80","2021-09-08","1019","1019","1019","1019","0.00","25"
"SRD80","2021-09-07","1019","1019","1019","1019","0.30","100"
"SRD80","2021-09-02","1016.1","1016.1","1016","1016","-1.36","825"
"SRD80","2021-08-26","1030","1030","1030","1030","-0.96","25"
"SRD80","2021-08-25","1040","1040","1040","1040","-0.95","25"
"SRD80","2021-08-18","1050","1050","1050","1050","0.38","25"
"SRD80","2021-08-16","1055","1055","1046","1046","0.58","500"
"SRD80","2021-08-12","1040.1","1040","1040","1040","-0.01","25"
"SRD80","2021-08-11","1040.1","1040.1","1040.1","1040.1","0.00","50"
"SRD80","2021-08-10","1040.1","1040.1","1040.1","1040.1","0.01","25"
"SRD80","2021-08-09","1040","1040","1040","1040","0.00","175"
"SRD80","2021-08-08","1020","1040","1020","1040","3.38","125"
"SRD80","2021-08-05","1006","1006","1006","1006","-1.85","25"
"SRD80","2021-08-04","1025","1025","1025","1025","-0.97","100"
"SRD80","2021-08-03","1030","1035","1030","1035","1.35","75"
"SRD80","2021-08-02","1021.2","1021.2","1021.2","1021.2","-0.37","25"
"SRD80","2021-08-01","1030","1030","1025","1025","-0.29","75"
"SRD80","2021-07-18","1028","1028","1028","1028","-1.91","50"
"SRD80","2021-07-15","1067","1067","1048","1048","0.10","150"
"SRD80","2021-07-12","1047","1047","1047","1047","-1.69","10"
"SRD80","2021-07-04","1065","1065","1065","1065","1.91","25"
"SRD80","2021-07-01","1045","1045","1045","1045","0.19","50"
"SRD80","2021-06-30","1043","1043","1043","1043","-0.76","25"
"SRD80","2021-06-28","1043","1051","1040","1051","0.57","1725"
"SRD80","2021-06-27","1045","1045","1041","1045","-0.19","300"
"SRD80","2021-06-24","1059","1059","1047","1047","-3.06","50"
"SRD80","2021-06-21","1080","1080","1080","1080","-0.55","25"
"SRD80","2021-06-15","1086","1086","1086","1086","1.97","1250"
"SRD80","2021-06-13","1060","1065","1065","1065","0.47","100"
"SRD80","2021-06-10","1047","1060","1060","1060","1.24","50"
"SRD80","2021-06-09","1047","1047","1047","1047","-0.00","50"
"SRD80","2021-06-07","1050","1050","1050","1050","0.48","25"
"SRD80","2021-06-03","1045","1045","1045","1045","0.48","50"
"SRD80","2021-06-02","1055","1055","1055","1040","-1.42","200"
"SRD80","2021-05-30","1050","1055","1050","1055","-0.47","92"
"SRD80","2021-05-25","1040","1060","1040","1060","1.44","70"
"SRD80","2021-05-24","1045","1045","1045","1045","0.97","50"
"SRD80","2021-05-18","1035","1035","1035","1035","0.49","25"
