"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SRS","2020-07-27","338","338","338","338","4.97","710"
"SRS","2020-07-22","310","322","310","322","6.27","120"
"SRS","2020-07-21","281","303","281","303","9.78","1040"
"SRS","2020-07-20","271","276","271","276","3.76","1000"
"SRS","2020-01-05","251","266","251","266","7.69","40"
"SRS","2020-01-01","243","247","243","247","3.35","80"
"SRS","2019-11-17","239","239","239","239","1.70","200"
"SRS","2019-11-05","235","235","235","235","1.73","1001"
"SRS","2019-07-25","227","227","227","227","4.61","10"
"SRS","2019-04-28","213","217","213","217","6.90","60"
"SRS","2019-04-16","203","203","203","203","4.64","10"
"SRS","2019-03-19","194","194","194","194","4.86","20"
"SRS","2019-03-18","185","185","185","185","4.52","100"
"SRS","2019-03-17","171","177","171","177","8.59","30"
"SRS","2019-02-20","156","163","149","163","9.40","60"
"SRS","2019-01-20","142","149","142","149","4.93","40"
"SRS","2019-01-16","136","142","136","142","4.41","20"
"SRS","2019-01-13","132","136","132","136","3.03","40"
"SRS","2018-09-17","130","132","130","132","3.12","20"
"SRS","2018-09-09","126","128","126","128","3.23","20"
"SRS","2018-04-01","124","124","124","124","1.64","10"
"SRS","2018-02-04","122","122","122","122","1.67","10"
"SRS","2017-06-21","120","120","120","120","1.69","53250"
"SRS","2017-03-23","116","118","116","118","3.51","20"
"SRS","2017-01-31","106","114","106","114","9.62","101000"
"SRS","2017-01-17","104","104","104","104","1.96","1001"
"SRS","2017-01-10","102","104","102","102","2.00","2200"
"SRS","2017-01-01","100","100","100","100","0.00","2000"
"SRS","2016-10-19","100","100","100","100","0.00","42500"
"SRS","2016-09-18","100","100","100","100","0.00","455000"
