"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"STC","2022-05-05","3925","4050","3889.7","3918","-2.05","831"
"STC","2022-05-04","4008","4050","3976","4000","-2.18","795"
"STC","2022-05-02","4100","4150","4057.3","4089","-0.90","589"
"STC","2022-04-28","4210","4210","4126.2","4126.2","-1.76","665"
"STC","2022-04-27","4282","4282","4126","4200","0.00","516"
"STC","2022-04-26","4203","4324","4181","4200","-0.07","506"
"STC","2022-04-25","4280","4305","4203","4203","-0.40","841"
"STC","2022-04-24","4250","4300","4220","4220","0.00","3218"
"STC","2022-04-21","4263","4275","4036","4220","-1.01","1520"
"STC","2022-04-20","4287","4309","4220","4263","-0.56","549"
"STC","2022-04-19","4212","4299","4170","4287","-0.02","725"
"STC","2022-04-18","4300","4310","4230","4288","-0.53","485"
"STC","2022-04-17","4291","4374","4291","4311","0.49","379"
"STC","2022-04-13","4300","4360","4260","4290","-0.23","1580"
"STC","2022-04-12","4315.1","4379","4230","4300","-1.87","845"
"STC","2022-04-11","4500","4500","4350","4382","-2.58","1231"
"STC","2022-04-07","4488","4550","4316","4498","2.23","1111"
"STC","2022-04-06","4461","4550","4380","4400","-2.98","664"
"STC","2022-04-05","4699","4699","4477","4535","-1.63","1001"
"STC","2022-04-04","4700","4700","4610","4610","-1.64","664"
"STC","2022-04-03","4760","4760","4682","4687","-1.53","773"
"STC","2022-03-31","4750","4799","4710.2","4760","1.26","1386"
"STC","2022-03-30","4785","4785","4690","4701","-0.19","1443"
"STC","2022-03-29","4757","4795","4684","4710","0.56","2765"
"STC","2022-03-28","5300","5350","5148","5152","-2.79","3798"
"STC","2022-03-27","5390.1","5400","5290","5300","-2.30","1760"
"STC","2022-03-24","5410","5489","5410","5425","-1.51","1052"
"STC","2022-03-23","5565","5565","5322","5507.9","0.78","3581"
"STC","2022-03-22","5624","5624","5450","5465","-0.94","1050"
"STC","2022-03-21","5425","5517","5377","5517","1.70","1000"
"STC","2022-03-20","5500","5599","5419","5425","-1.36","861"
"STC","2022-03-16","5501","5600","5500","5500","-1.59","940"
"STC","2022-03-15","5561","5650","5523","5589","-0.90","1201"
"STC","2022-03-14","5747.7","5747.7","5350","5640","-3.84","1926"
"STC","2022-03-13","5730","5899","5690","5865","4.40","2512"
"STC","2022-03-10","5505","5618","5505","5618","2.05","1247"
"STC","2022-03-09","5760","5760","5500","5505","-2.57","1261"
"STC","2022-03-07","5676","5739","5605","5650","-0.37","1268"
"STC","2022-03-06","5595.8","5820","5595.8","5671","-0.68","776"
"STC","2022-03-02","5900","5900","5695.1","5710","-2.39","1494"
"STC","2022-02-28","6040","6040","5822","5850","-3.15","2043"
"STC","2022-02-27","6000","6100","5950","6040","-0.17","1409"
"STC","2022-02-24","6045","6175","6045","6050","-1.91","853"
"STC","2022-02-23","6346","6346","6105.4","6168","-1.00","286"
"STC","2022-02-22","6343","6343","6210","6230","0.18","847"
"STC","2022-02-21","6220","6250","6160","6219","-0.02","1290"
"STC","2022-02-20","6218.1","6300","6200","6220","-1.97","1085"
"STC","2022-02-17","6350","6350","6271","6345","0.71","466"
"STC","2022-02-16","6300","6420","6285","6300","-1.56","951"
"STC","2022-02-15","6300","6426","6250","6400","1.59","606"
"STC","2022-02-14","6301","6426","6291","6300","-1.56","1160"
"STC","2022-02-13","6489","6497","6274","6400","-2.07","2292"
"STC","2022-02-10","6400","6549","6400","6535","2.06","2836"
"STC","2022-02-09","6385","6500","6382","6403","-1.49","621"
"STC","2022-02-08","6619.8","6750","6425","6500","0.00","1958"
"STC","2022-02-07","6500","6500","6381","6490","0.31","1511"
"STC","2022-02-06","6576","6600","6452","6470","-1.61","942"
"STC","2022-02-03","6696","6749","6575","6576","-0.71","3504"
"STC","2022-02-01","6659","6697","6570","6623.1","-0.55","3655"
"STC","2022-01-31","6565.1","6700","6565.1","6660","-0.58","1390"
"STC","2022-01-30","6469","6699","6465","6699","5.61","3044"
"STC","2022-01-27","6476","6477","6223","6343","-0.11","2005"
"STC","2022-01-26","6325","6398","6262","6350","-1.17","2545"
"STC","2022-01-25","6500","6618","6300","6425","-0.39","5763"
"STC","2022-01-24","6610","6700","6370","6450","-3.44","4315"
"STC","2022-01-23","6930.9","6930.9","6600","6680.1","-1.69","3048"
"STC","2022-01-20","6750","6800","6700","6795","1.42","3320"
"STC","2022-01-19","6870","6870","6685","6700","-2.47","2458"
"STC","2022-01-18","7001","7035","6801.2","6870","-2.55","2810"
"STC","2022-01-17","7101","7125","6935","7050","-0.25","2121"
"STC","2022-01-16","6880","7150","6900","7068","2.73","3870"
"STC","2022-01-13","6834","6968","6705","6880","2.38","2608"
"STC","2022-01-12","6680","7020","6680","6720","0.60","7141"
"STC","2022-01-11","6600","6936","6547","6680","1.21","2953"
"STC","2022-01-10","6500","6700","6370","6600","2.33","4611"
"STC","2022-01-09","6144","6469","6116","6450","7.05","6577"
"STC","2022-01-06","5951","6088","5930","6025","-0.41","2293"
"STC","2022-01-05","6250","6298.8","6050","6050","-2.73","3460"
"STC","2022-01-04","6199","6250","6150","6220","1.80","3197"
"STC","2022-01-03","5700","6215","5700","6110","8.14","4969"
"STC","2022-01-02","5490","5700","5490","5650","0.89","3533"
"STC","2021-12-29","5765","5768","5547","5600","-0.99","502"
"STC","2021-12-28","5550","5747","5505","5656","1.00","1191"
"STC","2021-12-27","5750","5835","5590","5600","-3.03","1664"
"STC","2021-12-26","5669","5896","5669","5775","1.49","3176"
"STC","2021-12-23","5811","5900","5690","5690","-0.16","3370"
"STC","2021-12-22","5345","5760","5345","5699","8.35","3799"
