"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SWBBLP","2021-12-27","782","782","782","782","0.00","4000"
"SWBBLP","2021-12-20","782","782","782","782","0.07","1190"
"SWBBLP","2021-12-15","781.45","781.45","781.45","781.45","0.00","60100"
"SWBBLP","2021-12-07","781.45","781.45","781.45","781.45","0.00","297"
"SWBBLP","2021-02-24","506","930","930","930","0.00","126000"
"SWBBLP","2021-01-19","930","930","930","930","0.00","378"
"SWBBLP","2018-12-24","1300","1300","1300","1300","0.00","450"
"SWBBLP","2016-08-29","1300","1300","1300","1300","0.00","2000"
"SWBBLP","2016-03-17","1165","1165","1165","1165","0.00","15000"
"SWBBLP","2015-12-02","866","866","805","805","-8.83","5940"
"SWBBLP","2015-12-01","980","975","883","883","-9.90","60"
