"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SWBBL","2022-05-05","1115","1115","1086","1086","-3.04","3039"
"SWBBL","2022-05-04","1120","1140","1101.1","1120","0.00","2474"
"SWBBL","2022-05-02","1180","1180","1115","1120","-3.28","3131"
"SWBBL","2022-04-28","1141.1","1163","1141.1","1158","-0.52","1703"
"SWBBL","2022-04-27","1137.2","1172.9","1137.1","1164","0.34","442"
"SWBBL","2022-04-26","1160.5","1165","1143","1160","-0.94","2638"
"SWBBL","2022-04-25","1185","1185","1134.9","1171","-0.76","6942"
"SWBBL","2022-04-24","1130","1190","1130","1180","4.42","1200"
"SWBBL","2022-04-21","1135","1160","1117","1130","-0.79","1779"
"SWBBL","2022-04-20","1170","1170","1130","1139","-0.96","1852"
"SWBBL","2022-04-19","1155","1165","1132","1150","-2.38","1422"
"SWBBL","2022-04-18","1160","1178","1135","1178","-0.17","3123"
"SWBBL","2022-04-17","1220","1220","1178","1180","-2.88","2509"
"SWBBL","2022-04-13","1130","1220","1130","1215","6.30","3328"
"SWBBL","2022-04-12","1142","1150","1120.1","1143","0.09","2892"
"SWBBL","2022-04-11","1183","1185","1142","1142","-1.55","1246"
"SWBBL","2022-04-07","1155","1160","1146","1160","2.02","1895"
"SWBBL","2022-04-06","1156","1160","1135","1137","-1.73","5533"
"SWBBL","2022-04-05","1163","1165.1","1146","1157","-2.29","2202"
"SWBBL","2022-04-04","1206","1208","1184.1","1184.1","0.08","1437"
"SWBBL","2022-04-03","1210","1219","1180","1183.1","-3.18","2930"
"SWBBL","2022-03-31","1240","1245","1222","1222","-0.24","1144"
"SWBBL","2022-03-30","1196","1250","1196","1225","0.82","3485"
"SWBBL","2022-03-29","1248","1248","1215","1215","-2.64","2264"
"SWBBL","2022-03-28","1242","1250","1210.2","1248","-0.16","6668"
"SWBBL","2022-03-27","1270","1270","1250","1250","-2.19","3470"
"SWBBL","2022-03-24","1279","1285","1275","1278","-0.07","5076"
"SWBBL","2022-03-23","1269","1284","1269","1278.9","0.78","3190"
"SWBBL","2022-03-22","1252","1287","1252","1269","-0.24","2492"
"SWBBL","2022-03-21","1300.5","1326.5","1258.5","1272","-0.24","4875"
"SWBBL","2022-03-20","1253","1275","1243","1275","1.59","3333"
"SWBBL","2022-03-16","1271","1271","1240","1255","0.56","2030"
"SWBBL","2022-03-15","1250","1253","1231","1248","-0.56","4740"
"SWBBL","2022-03-14","1215.5","1264.5","1215.5","1255","3.25","1085"
"SWBBL","2022-03-13","1190","1219","1180","1215.5","3.27","3178"
"SWBBL","2022-03-10","1180","1180","1141","1177","1.73","2399"
"SWBBL","2022-03-09","1180","1180","1157","1157","-1.36","1849"
"SWBBL","2022-03-07","1192","1192","1170","1173","-1.43","3202"
"SWBBL","2022-03-06","1200","1200","1184","1190","-0.17","2280"
"SWBBL","2022-03-02","1217","1220","1190","1192","-2.05","2763"
"SWBBL","2022-02-28","1267","1267.8","1216","1217","-2.09","3505"
"SWBBL","2022-02-27","1230","1250","1221","1243","-0.56","10133"
"SWBBL","2022-02-24","1260","1265","1240","1250","-2.57","3714"
"SWBBL","2022-02-23","1266","1285","1266","1283","0.63","4011"
"SWBBL","2022-02-22","1265","1280","1265","1275","1.03","6476"
"SWBBL","2022-02-21","1246","1264","1241","1262","0.16","3469"
"SWBBL","2022-02-20","1240","1260","1240","1260","-0.24","2686"
"SWBBL","2022-02-17","1265","1270","1260","1263","-0.63","1936"
"SWBBL","2022-02-16","1280","1294","1271","1271","-0.70","671"
"SWBBL","2022-02-15","1255","1280","1250","1280","1.99","3609"
"SWBBL","2022-02-14","1255","1285","1253","1255","0.24","2297"
"SWBBL","2022-02-13","1289","1289","1252","1252","-4.06","7022"
"SWBBL","2022-02-10","1306","1308.8","1301","1305","-0.99","4607"
"SWBBL","2022-02-09","1329","1329","1311","1318","-0.83","531"
"SWBBL","2022-02-08","1360","1361","1310","1329","0.00","5691"
"SWBBL","2022-02-07","1320","1340","1320","1335","0.44","2830"
"SWBBL","2022-02-06","1326","1352","1326","1329.1","-1.71","3118"
"SWBBL","2022-02-03","1375","1382","1352.2","1352.2","-0.57","5041"
"SWBBL","2022-02-01","1365","1379","1353","1360","-0.37","2393"
"SWBBL","2022-01-31","1390","1390","1363","1365","-0.15","8367"
"SWBBL","2022-01-30","1346.4","1373","1346.4","1367","3.56","3867"
"SWBBL","2022-01-27","1350","1351.5","1315","1320","-0.38","3691"
"SWBBL","2022-01-26","1330","1349","1323","1325","-2.21","6455"
"SWBBL","2022-01-25","1343","1370","1342","1355","-1.09","2740"
"SWBBL","2022-01-24","1397","1397","1320","1370","-2.00","10075"
"SWBBL","2022-01-23","1408","1419","1380.1","1398","-0.50","4463"
"SWBBL","2022-01-20","1400","1405","1386","1405","0.00","5279"
"SWBBL","2022-01-19","1459","1459","1391","1405","-1.82","15623"
"SWBBL","2022-01-18","1448","1449","1410","1431","0.00","13100"
"SWBBL","2022-01-17","1448","1448","1372","1431","0.35","11945"
"SWBBL","2022-01-16","1400","1467","1402","1426","1.86","11186"
"SWBBL","2022-01-13","1348","1400","1317","1400","5.66","21922"
"SWBBL","2022-01-12","1340","1378","1309","1325","-0.75","9794"
"SWBBL","2022-01-11","1299","1359.5","1299","1335","4.62","14641"
"SWBBL","2022-01-10","1267","1290","1266","1276","0.46","10404"
"SWBBL","2022-01-09","1260","1280","1255","1270.1","2.02","6869"
"SWBBL","2022-01-06","1240","1259","1230","1245","0.40","2850"
"SWBBL","2022-01-05","1279","1279","1238","1240","-1.82","7134"
"SWBBL","2022-01-04","1230","1285","1205.4","1263","2.18","9420"
"SWBBL","2022-01-03","1224","1270","1200","1236","0.98","13639"
"SWBBL","2022-01-02","1191","1225","1191","1224","2.86","6955"
"SWBBL","2021-12-29","1175.1","1209","1175","1190","-0.50","4718"
"SWBBL","2021-12-28","1175","1205","1151.2","1196","0.00","6460"
"SWBBL","2021-12-27","1222","1238","1190","1196","-0.33","11837"
"SWBBL","2021-12-26","1153","1210","1153","1200","4.08","8022"
"SWBBL","2021-12-23","1170","1170","1128","1153","0.26","8550"
"SWBBL","2021-12-22","1141","1150","1119","1150","2.77","7060"
"SWBBL","2021-12-21","1102","1119","1097","1119","1.65","6339"
"SWBBL","2021-12-20","1326","1352","1306","1310","0.77","26876"
"SWBBL","2021-12-16","1311","1323.4","1300","1300","-2.40","3439"
"SWBBL","2021-12-15","1349","1353","1292","1332","0.68","7531"
"SWBBL","2021-12-14","1270","1323","1269","1323","4.49","3329"
"SWBBL","2021-12-13","1293.6","1310","1261.1","1266.1","-2.98","10062"
"SWBBL","2021-12-12","1357","1360","1305","1305","-2.97","7412"
"SWBBL","2021-12-09","1365","1373","1340","1345","-0.75","6054"
"SWBBL","2021-12-08","1419.5","1419.5","1355.1","1355.1","-3.14","5602"
"SWBBL","2021-12-07","1435","1435","1390","1399.1","-0.96","4160"
"SWBBL","2021-12-06","1408","1418","1350","1412.6","0.90","8732"
"SWBBL","2021-12-05","1420","1425","1400","1400","-1.82","5343"
"SWBBL","2021-12-02","1470","1470","1426","1426","-2.19","6495"
"SWBBL","2021-12-01","1470","1470.3","1455.1","1458","-0.48","5165"
"SWBBL","2021-11-30","1457","1484.8","1455","1465","0.55","2655"
"SWBBL","2021-11-29","1456","1484.5","1455","1457","0.07","4472"
"SWBBL","2021-11-28","1470","1490","1440.6","1456","-2.28","6806"
"SWBBL","2021-11-25","1520","1520","1489.6","1490","-1.97","4704"
"SWBBL","2021-11-24","1480","1520","1480","1520","1.27","4541"
"SWBBL","2021-11-23","1530","1547","1486.7","1501","-2.97","9674"
"SWBBL","2021-11-22","1556","1569","1541","1547","-0.32","2673"
"SWBBL","2021-11-21","1521","1555","1521","1552","0.39","1750"
"SWBBL","2021-11-18","1570","1570","1539","1546","-0.90","8215"
"SWBBL","2021-11-17","1578","1578","1560","1560","0.13","4936"
"SWBBL","2021-11-16","1550","1560.1","1530.1","1558","0.97","3899"
"SWBBL","2021-11-15","1530","1551","1525","1543","1.10","5367"
"SWBBL","2021-11-14","1530","1536","1512.1","1526.2","-0.58","5319"
"SWBBL","2021-11-11","1540","1560","1509.3","1535.1","-2.10","6406"
"SWBBL","2021-11-09","1638","1638","1568","1568","-2.37","9475"
"SWBBL","2021-11-08","1612","1639.9","1605.3","1606","-1.29","2408"
"SWBBL","2021-11-03","1616","1630","1616","1627","0.18","3881"
"SWBBL","2021-11-02","1640","1640","1613","1624","-0.98","7770"
"SWBBL","2021-11-01","1680","1681","1625.1","1640","-1.74","12509"
"SWBBL","2021-10-31","1650","1670","1626","1669","2.14","11319"
"SWBBL","2021-10-28","1600","1635","1599","1634","2.45","10309"
"SWBBL","2021-10-27","1612","1637","1585","1595","0.13","19823"
"SWBBL","2021-10-26","1581","1611.9","1580","1593","0.76","12681"
"SWBBL","2021-10-25","1569.9","1590","1550","1581","2.46","6680"
"SWBBL","2021-10-24","1540","1555","1530","1543","0.19","7681"
"SWBBL","2021-10-21","1551.1","1555","1531","1540","-0.65","5556"
"SWBBL","2021-10-20","1570","1580","1541","1550","0.65","4155"
"SWBBL","2021-10-19","1580","1580","1520","1540","-2.84","9993"
"SWBBL","2021-10-18","1650","1650","1585","1585","-3.76","11670"
"SWBBL","2021-10-17","1655","1655","1600","1646.9","1.35","3842"
"SWBBL","2021-10-11","1660","1660","1603","1625","-3.39","16996"
"SWBBL","2021-10-10","1800","1800","1682","1682","-5.08","33013"
"SWBBL","2021-10-06","1704.4","1780","1704.4","1772","6.04","33680"
"SWBBL","2021-10-05","1635","1684","1635","1671","3.86","10581"
"SWBBL","2021-10-04","1606.5","1630","1575","1608.9","2.15","13238"
"SWBBL","2021-10-03","1598","1599","1564.2","1575","-0.19","6071"
"SWBBL","2021-09-30","1600","1615","1578","1578","-0.57","8871"
"SWBBL","2021-09-29","1580","1602","1560","1587","0.92","4530"
"SWBBL","2021-09-28","1599","1639","1571","1572.5","-1.53","8147"
"SWBBL","2021-09-27","1600","1623","1594","1597","-1.18","8253"
"SWBBL","2021-09-26","1650","1650","1614","1616","-1.76","12428"
"SWBBL","2021-09-23","1660","1685","1637","1645","-0.66","11582"
"SWBBL","2021-09-22","1637","1668","1625","1656","3.18","11500"
"SWBBL","2021-09-21","1590","1634","1550","1605","0.82","14393"
"SWBBL","2021-09-20","1635","1641","1580","1592","-2.93","19933"
"SWBBL","2021-09-16","1690","1690","1630","1640","-3.24","22770"
"SWBBL","2021-09-15","1701","1710","1693","1695","-0.59","9197"
"SWBBL","2021-09-14","1726","1736.9","1700","1705","-1.22","10318"
"SWBBL","2021-09-13","1720","1750","1720","1726","-0.25","9803"
"SWBBL","2021-09-12","1710","1740","1700","1730.3","1.78","11351"
"SWBBL","2021-09-09","1722","1730","1696","1700","-0.87","12192"
"SWBBL","2021-09-08","1749","1750","1710","1715","-1.15","17540"
"SWBBL","2021-09-07","1815","1815","1729","1735","-4.14","16157"
"SWBBL","2021-09-06","1725","1815","1715","1810","4.93","10186"
"SWBBL","2021-09-05","1740","1740","1700","1725","-2.71","15262"
"SWBBL","2021-09-02","1771","1825","1750","1773","0.17","13374"
"SWBBL","2021-09-01","1800","1800","1765","1770","-0.56","14458"
"SWBBL","2021-08-31","1806","1825","1764","1780","-3.16","25739"
"SWBBL","2021-08-29","1878","1878","1831","1838","-1.36","9370"
"SWBBL","2021-08-26","1895","1895","1860","1863.3","-0.09","10725"
"SWBBL","2021-08-25","1900","1900","1859","1865","-1.59","6381"
"SWBBL","2021-08-24","1965","1965","1894","1895.1","-1.81","13359"
"SWBBL","2021-08-19","1930","1960","1911","1930","0.84","15425"
"SWBBL","2021-08-18","1910","1929","1900.4","1914","0.21","16286"
"SWBBL","2021-08-17","1950","1950","1910","1910","-1.65","15519"
"SWBBL","2021-08-16","1960","1989","1941.5","1942","-0.66","12874"
"SWBBL","2021-08-15","1879.7","1989","1879.7","1955","1.93","26991"
"SWBBL","2021-08-12","1913","1939","1875.1","1918","0.26","23767"
"SWBBL","2021-08-11","1930","1950","1911","1913","-0.36","16588"
"SWBBL","2021-08-10","1925","1948","1891","1920","0.52","13647"
"SWBBL","2021-08-09","1968","1969","1905","1910","-1.24","11294"
"SWBBL","2021-08-08","1955","1994.1","1924","1934","-1.07","15707"
"SWBBL","2021-08-05","1965","1998","1935","1955","-0.51","23975"
"SWBBL","2021-08-04","2061.4","2090","1950","1965","-2.77","46750"
"SWBBL","2021-08-03","1876.8","2021","1876.8","2021","9.84","151829"
"SWBBL","2021-08-02","1854","1854","1832.1","1840","0.22","12819"
"SWBBL","2021-08-01","1805","1876","1805","1836","1.72","17026"
"SWBBL","2021-07-29","1798","1808","1787","1805","1.29","8921"
"SWBBL","2021-07-28","1800","1800","1775","1782","-0.50","7115"
"SWBBL","2021-07-27","1806.2","1810","1753","1791","-2.82","21989"
"SWBBL","2021-07-26","1800","1845","1800","1843","2.39","24112"
"SWBBL","2021-07-25","1750","1800","1750","1800","2.80","12468"
"SWBBL","2021-07-22","1750","1755","1735","1751","0.63","5540"
"SWBBL","2021-07-20","1740","1750","1735","1740","0.00","1796"
"SWBBL","2021-07-19","1779","1780","1740","1740","-0.63","15610"
"SWBBL","2021-07-18","1675","1751","1675","1751","5.55","11719"
"SWBBL","2021-07-15","1660","1670","1641","1659","0.42","6433"
"SWBBL","2021-07-14","1665","1665","1638","1652","-0.78","4132"
"SWBBL","2021-07-13","1665","1685","1651","1665","0.60","2853"
"SWBBL","2021-07-12","1690","1690","1651","1655","-1.66","6350"
"SWBBL","2021-07-11","1686","1695","1662","1683","1.81","5189"
"SWBBL","2021-07-08","1650","1662","1640","1653","1.10","6143"
"SWBBL","2021-07-07","1640","1655","1635","1635","-0.06","5133"
"SWBBL","2021-07-06","1625","1645","1625","1636","0.68","2913"
"SWBBL","2021-07-05","1636","1636","1615","1625","0.62","5926"
"SWBBL","2021-07-04","1590","1635","1590","1615","-0.19","3964"
"SWBBL","2021-07-01","1701","1701","1602","1618","-0.12","6173"
"SWBBL","2021-06-30","1614","1620","1601","1620","-0.31","2661"
"SWBBL","2021-06-29","1630","1660","1616","1625","0.93","7466"
"SWBBL","2021-06-28","1625","1630","1590","1610","0.75","10417"
"SWBBL","2021-06-27","1583","1614","1581","1598","0.13","3830"
"SWBBL","2021-06-24","1630","1630","1590","1596","-1.36","6259"
"SWBBL","2021-06-23","1656","1664","1618","1618","-2.59","6231"
"SWBBL","2021-06-22","1676","1680","1645","1661","0.91","8614"
"SWBBL","2021-06-21","1671","1690","1646","1646","-2.02","6201"
"SWBBL","2021-06-20","1720","1754","1670","1680","-0.88","12247"
"SWBBL","2021-06-17","1745","1745","1666","1695","-1.22","8904"
"SWBBL","2021-06-16","1577","1770","1577","1716","3.44","25488"
"SWBBL","2021-06-15","1660","1675","1655","1659","-0.54","10704"
"SWBBL","2021-06-14","1680","1699","1647","1668","-0.71","13272"
"SWBBL","2021-06-13","1717","1717","1673","1680","-0.77","15968"
"SWBBL","2021-06-10","1721","1739","1692","1693","-1.63","10159"
"SWBBL","2021-06-09","1740","1740","1715","1721","0.00","6300"
"SWBBL","2021-06-08","1715","1725","1709","1714","-0.64","10034"
"SWBBL","2021-06-07","1730","1735","1723","1725","-0.17","15906"
"SWBBL","2021-06-06","1735","1750","1722","1728","-0.40","9159"
"SWBBL","2021-06-03","1752","1775","1730","1735","-0.34","8843"
"SWBBL","2021-06-02","1713","1740","1710","1741","1.63","6417"
"SWBBL","2021-06-01","1710","1740","1710","1713","-0.98","9769"
"SWBBL","2021-05-31","1741","1760","1730","1730","-0.57","34635"
"SWBBL","2021-05-30","1758","1793","1726","1740","-1.02","17694"
"SWBBL","2021-05-27","1723","1785","1690","1758","-3.03","31998"
"SWBBL","2021-05-25","1820","1830","1810","1813","-0.82","9755"
"SWBBL","2021-05-24","1805","1854","1805","1828","0.44","19546"
"SWBBL","2021-05-23","1800","1820","1762","1820","0.00","21230"
"SWBBL","2021-05-20","1895","1895","1801","1820","0.83","25138"
"SWBBL","2021-05-19","1821","1830","1791","1805","-0.11","30957"
"SWBBL","2021-05-18","1801","1808","1760","1807","1.80","41133"
"SWBBL","2021-05-17","1705","1800","1705","1775","0.62","23069"
"SWBBL","2021-05-16","1749","1767","1719","1764","2.80","19985"
"SWBBL","2021-05-13","1711","1724","1710","1716","0.35","15130"
"SWBBL","2021-05-12","1760","1760","1700","1710","0.18","22510"
"SWBBL","2021-05-11","1765","1765","1667","1707","1.55","17084"
"SWBBL","2021-05-10","1683","1697","1640","1681","-0.12","23271"
"SWBBL","2021-05-09","1664","1710","1660","1683","-3.88","47267"
"SWBBL","2021-05-06","1800","1800","1750","1751","-2.34","15644"
